1_msg:445 good:238 bad:23 Date:2016-04-30
2_msg:162 good:63 bad:13 Date:2016-05-01
3_msg:144 good:78 bad:7 Date:2016-05-02
4_msg:134 good:101 bad:3 Date:2016-05-03
5_msg:110 good:59 bad:9 Date:2016-05-04
6_msg:243 good:146 bad:15 Date:2016-05-07
7_msg:160 good:86 bad:13 Date:2016-05-08
8_msg:113 good:71 bad:2 Date:2016-05-09
9_msg:171 good:81 bad:16 Date:2016-05-10
10_msg:181 good:105 bad:7 Date:2016-05-11
11_msg:376 good:171 bad:29 Date:2016-05-14
12_msg:129 good:63 bad:10 Date:2016-05-15
13_msg:120 good:70 bad:3 Date:2016-05-16
14_msg:103 good:50 bad:7 Date:2016-05-17
15_msg:168 good:110 bad:6 Date:2016-05-18
16_msg:203 good:109 bad:9 Date:2016-05-21
17_msg:98 good:57 bad:5 Date:2016-05-23
18_msg:93 good:47 bad:0 Date:2016-05-24
19_msg:94 good:51 bad:4 Date:2016-05-25
20_msg:234 good:149 bad:4 Date:2016-05-28
21_msg:107 good:61 bad:4 Date:2016-05-29
22_msg:69 good:44 bad:4 Date:2016-05-30
23_msg:82 good:34 bad:2 Date:2016-05-31
24_msg:173 good:85 bad:11 Date:2016-06-01
25_msg:246 good:134 bad:6 Date:2016-06-05
26_msg:95 good:65 bad:3 Date:2016-06-06
27_msg:57 good:21 bad:5 Date:2016-06-07
28_msg:96 good:43 bad:7 Date:2016-06-08
29_msg:166 good:75 bad:12 Date:2016-06-11
30_msg:103 good:36 bad:8 Date:2016-06-12
31_msg:57 good:19 bad:5 Date:2016-06-13
32_msg:80 good:17 bad:5 Date:2016-06-14
33_msg:194 good:71 bad:16 Date:2016-06-15
34_msg:166 good:107 bad:8 Date:2016-06-18
35_msg:103 good:33 bad:5 Date:2016-06-19
36_msg:145 good:63 bad:22 Date:2016-06-20
37_msg:135 good:55 bad:13 Date:2016-06-21
38_msg:134 good:85 bad:8 Date:2016-06-22
39_msg:339 good:141 bad:39 Date:2016-06-25
40_msg:97 good:51 bad:5 Date:2016-06-26
41_msg:164 good:98 bad:4 Date:2016-06-28
42_msg:101 good:55 bad:7 Date:2016-06-29
43_msg:299 good:157 bad:18 Date:2016-07-02
44_msg:88 good:47 bad:6 Date:2016-07-03
45_msg:92 good:27 bad:1 Date:2016-07-04
46_msg:131 good:50 bad:7 Date:2016-07-05
47_msg:223 good:116 bad:11 Date:2016-07-09
48_msg:136 good:53 bad:11 Date:2016-07-10
49_msg:140 good:87 bad:2 Date:2016-07-11
50_msg:521 good:223 bad:29 Date:2016-07-17
51_msg:86 good:44 bad:10 Date:2016-07-18
52_msg:42 good:23 bad:0 Date:2016-07-19
53_msg:481 good:272 bad:21 Date:2016-07-25
54_msg:119 good:46 bad:13 Date:2016-07-26
55_msg:110 good:40 bad:6 Date:2016-07-27
56_msg:217 good:103 bad:5 Date:2016-07-31
57_msg:51 good:27 bad:2 Date:2016-08-01
58_msg:75 good:20 bad:4 Date:2016-08-02
59_msg:92 good:54 bad:3 Date:2016-08-03
60_msg:180 good:92 bad:16 Date:2016-08-06
61_msg:60 good:20 bad:2 Date:2016-08-07
62_msg:74 good:26 bad:9 Date:2016-08-08
63_msg:53 good:17 bad:1 Date:2016-08-09
64_msg:58 good:34 bad:0 Date:2016-08-10
65_msg:119 good:40 bad:5 Date:2016-08-13
66_msg:37 good:17 bad:0 Date:2016-08-14
67_msg:61 good:27 bad:3 Date:2016-08-15
68_msg:59 good:19 bad:3 Date:2016-08-16
69_msg:38 good:16 bad:1 Date:2016-08-17
70_msg:145 good:61 bad:8 Date:2016-08-20
71_msg:53 good:16 bad:1 Date:2016-08-21
72_msg:35 good:15 bad:2 Date:2016-08-22
73_msg:47 good:16 bad:4 Date:2016-08-23
74_msg:44 good:15 bad:1 Date:2016-08-24
75_msg:108 good:38 bad:5 Date:2016-08-27
76_msg:37 good:14 bad:3 Date:2016-08-28
