1_msg:323 good:158 bad:16 Date:2016-04-30
2_msg:45 good:27 bad:0 Date:2016-05-01
3_msg:49 good:25 bad:1 Date:2016-05-02
4_msg:44 good:22 bad:4 Date:2016-05-03
5_msg:51 good:24 bad:9 Date:2016-05-04
6_msg:145 good:69 bad:13 Date:2016-05-07
7_msg:63 good:40 bad:0 Date:2016-05-08
8_msg:37 good:19 bad:2 Date:2016-05-09
9_msg:47 good:19 bad:6 Date:2016-05-10
10_msg:28 good:11 bad:2 Date:2016-05-11
11_msg:138 good:84 bad:4 Date:2016-05-14
12_msg:35 good:24 bad:2 Date:2016-05-15
13_msg:44 good:20 bad:4 Date:2016-05-16
14_msg:68 good:38 bad:2 Date:2016-05-17
15_msg:63 good:40 bad:3 Date:2016-05-18
16_msg:99 good:51 bad:5 Date:2016-05-21
17_msg:48 good:32 bad:0 Date:2016-05-23
18_msg:14 good:7 bad:1 Date:2016-05-24
19_msg:23 good:13 bad:1 Date:2016-05-25
20_msg:92 good:45 bad:2 Date:2016-05-28
21_msg:34 good:15 bad:1 Date:2016-05-29
22_msg:29 good:12 bad:1 Date:2016-05-30
23_msg:37 good:13 bad:1 Date:2016-05-31
24_msg:37 good:22 bad:2 Date:2016-06-01
25_msg:73 good:36 bad:5 Date:2016-06-05
26_msg:320 good:140 bad:20 Date:2016-06-11
27_msg:50 good:12 bad:5 Date:2016-06-12
28_msg:14 good:7 bad:0 Date:2016-06-13
29_msg:25 good:8 bad:1 Date:2016-06-14
30_msg:33 good:7 bad:1 Date:2016-06-15
31_msg:102 good:61 bad:4 Date:2016-06-18
32_msg:25 good:7 bad:0 Date:2016-06-19
33_msg:33 good:10 bad:3 Date:2016-06-20
34_msg:64 good:20 bad:7 Date:2016-06-21
35_msg:22 good:12 bad:1 Date:2016-06-22
36_msg:123 good:48 bad:17 Date:2016-06-25
37_msg:30 good:15 bad:1 Date:2016-06-26
38_msg:54 good:24 bad:1 Date:2016-06-28
39_msg:42 good:27 bad:1 Date:2016-06-29
40_msg:77 good:34 bad:2 Date:2016-07-02
41_msg:14 good:6 bad:0 Date:2016-07-03
42_msg:32 good:12 bad:0 Date:2016-07-04
43_msg:15 good:6 bad:1 Date:2016-07-05
44_msg:45 good:13 bad:4 Date:2016-07-09
45_msg:16 good:3 bad:2 Date:2016-07-10
46_msg:22 good:13 bad:0 Date:2016-07-11
47_msg:31 good:13 bad:2 Date:2016-07-12
48_msg:20 good:7 bad:0 Date:2016-07-13
49_msg:40 good:15 bad:1 Date:2016-07-16
50_msg:47 good:19 bad:1 Date:2016-07-17
51_msg:22 good:4 bad:2 Date:2016-07-18
52_msg:136 good:42 bad:5 Date:2016-07-24
53_msg:17 good:5 bad:0 Date:2016-07-25
54_msg:20 good:7 bad:1 Date:2016-07-26
55_msg:30 good:5 bad:2 Date:2016-07-27
56_msg:83 good:34 bad:2 Date:2016-07-31
57_msg:29 good:11 bad:1 Date:2016-08-01
58_msg:21 good:7 bad:1 Date:2016-08-02
59_msg:32 good:13 bad:3 Date:2016-08-03
60_msg:91 good:34 bad:5 Date:2016-08-06
61_msg:34 good:16 bad:1 Date:2016-08-07
62_msg:17 good:3 bad:0 Date:2016-08-08
63_msg:17 good:4 bad:0 Date:2016-08-09
64_msg:14 good:4 bad:1 Date:2016-08-10
65_msg:74 good:39 bad:1 Date:2016-08-13
66_msg:14 good:8 bad:0 Date:2016-08-14
67_msg:13 good:8 bad:1 Date:2016-08-15
68_msg:21 good:5 bad:2 Date:2016-08-16
69_msg:27 good:8 bad:0 Date:2016-08-17
70_msg:55 good:16 bad:2 Date:2016-08-20
71_msg:26 good:13 bad:2 Date:2016-08-21
72_msg:19 good:5 bad:1 Date:2016-08-22
73_msg:18 good:6 bad:1 Date:2016-08-23
74_msg:26 good:12 bad:0 Date:2016-08-24
75_msg:51 good:22 bad:2 Date:2016-08-27
76_msg:10 good:2 bad:1 Date:2016-08-28
