<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>
khodro,20161211,2799.0,2829.0,2722.0,2776.0,40452630303,14572373,1385,D,2829.0
khodro,20161210,2873.0,2923.0,2755.0,2829.0,58342666808,20622467,1768,D,2839.0
khodro,20161207,2712.0,2846.0,2710.0,2839.0,135994584283,47896225,2580,D,2711.0
khodro,20161206,2721.0,2767.0,2699.0,2711.0,70437384866,25986818,2022,D,2756.0
khodro,20161205,2758.0,2800.0,2700.0,2756.0,39947594105,14493885,1649,D,2719.0
khodro,20161204,2700.0,2785.0,2668.0,2719.0,63978020677,23532014,2684,D,2755.0
khodro,20161203,2801.0,2828.0,2750.0,2755.0,84631785434,30716044,2377,D,2894.0
khodro,20161129,2970.0,2972.0,2856.0,2894.0,69495003091,24013025,2957,D,2983.0
khodro,20161127,2960.0,3035.0,2953.0,2983.0,36658201569,12287150,1563,D,2987.0
khodro,20161126,3028.0,3030.0,2952.0,2987.0,46592741632,15599427,2114,D,3039.0
khodro,20161123,3050.0,3078.0,3028.0,3039.0,19615754469,6455549,1048,D,3038.0
khodro,20161122,3100.0,3100.0,3026.0,3038.0,37531554606,12354609,1404,D,3075.0
khodro,20161121,3120.0,3127.0,3059.0,3075.0,17903108604,5821793,926,D,3101.0
khodro,20161119,3118.0,3139.0,3075.0,3101.0,21290196801,6865186,1125,D,3076.0
khodro,20161116,3098.0,3119.0,3060.0,3076.0,32504681786,10566784,1531,D,3124.0
khodro,20161115,3186.0,3230.0,3040.0,3124.0,35715066249,11434229,1435,D,3181.0
khodro,20161114,3120.0,3239.0,3120.0,3181.0,45667744744,14357155,1668,D,3115.0
khodro,20161113,3101.0,3155.0,3090.0,3115.0,33637655649,10798448,1329,D,3106.0
khodro,20161112,3200.0,3240.0,3070.0,3106.0,123999733482,39926960,3867,D,3231.0
khodro,20161109,3231.0,3246.0,3231.0,3231.0,167472892166,51831253,2523,D,3401.0
khodro,20161108,3418.0,3450.0,3361.0,3401.0,50530618172,14858947,1640,D,3338.0
khodro,20161107,3210.0,3360.0,3210.0,3338.0,68072971187,20393192,1728,D,3200.0
khodro,20161106,3180.0,3245.0,3155.0,3200.0,20953134861,6548347,980,D,3211.0
khodro,20161105,3280.0,3280.0,3172.0,3211.0,47173101463,14690941,1839,D,3254.0
khodro,20161102,3282.0,3300.0,3240.0,3254.0,37011274414,11372363,1378,D,3292.0
khodro,20161101,3330.0,3350.0,3270.0,3292.0,37191487419,11298989,1536,D,3355.0
khodro,20161031,3321.0,3410.0,3301.0,3355.0,56903688682,16962919,1986,D,3325.0
khodro,20161030,3310.0,3360.0,3298.0,3325.0,44170465858,13283746,1445,D,3354.0
khodro,20161029,3350.0,3433.0,3295.0,3354.0,70373624943,20979399,2075,D,3338.0
khodro,20161026,3350.0,3390.0,3320.0,3338.0,41771405319,12515589,1441,D,3338.0
khodro,20161025,3325.0,3397.0,3311.0,3338.0,36542403327,10946237,1500,D,3332.0
khodro,20161024,3324.0,3400.0,3301.0,3332.0,49636309171,14898115,1785,D,3369.0
khodro,20161023,3411.0,3430.0,3332.0,3369.0,43702154355,12972197,1671,D,3437.0
khodro,20161022,3430.0,3540.0,3382.0,3437.0,67940447173,19770021,1798,D,3486.0
khodro,20161019,3365.0,3545.0,3365.0,3486.0,66325383953,19028302,1821,D,3413.0
khodro,20161018,3385.0,3476.0,3382.0,3413.0,30061766818,8807706,916,D,3382.0
khodro,20161017,3335.0,3450.0,3285.0,3382.0,47586053750,14071528,1556,D,3371.0
khodro,20161016,3430.0,3459.0,3339.0,3371.0,51912530381,15398381,1768,D,3490.0
khodro,20161015,3560.0,3579.0,3450.0,3490.0,51886903689,14865262,1423,D,3507.0
khodro,20161010,3405.0,3569.0,3405.0,3507.0,64502961811,18394585,1696,D,3466.0
khodro,20161009,3421.0,3530.0,3421.0,3466.0,51080831158,14738659,1568,D,3513.0
khodro,20161008,3550.0,3648.0,3450.0,3513.0,118829553530,33824840,2991,D,3525.0
khodro,20161005,3405.0,3610.0,3372.0,3525.0,239936837428,68067239,5971,D,3452.0
khodro,20161004,3410.0,3477.0,3333.0,3452.0,513740674989,148812645,6704,D,3312.0
khodro,20161003,3187.0,3326.0,3150.0,3312.0,406225264572,122653021,5262,D,3168.0
khodro,20161002,3136.0,3215.0,3129.0,3168.0,57869246700,18269445,1749,D,3217.0
khodro,20161001,3242.0,3290.0,3157.0,3217.0,65322188955,20303644,2164,D,3153.0
khodro,20160928,3070.0,3200.0,3070.0,3153.0,48784611666,15472169,1776,D,3077.0
khodro,20160927,3089.0,3144.0,3061.0,3077.0,31691635444,10297913,1094,D,3123.0
khodro,20160926,3130.0,3184.0,3080.0,3123.0,32384579313,10371272,1241,D,3203.0
khodro,20160925,3250.0,3280.0,3152.0,3203.0,75959306485,23714357,2245,D,3149.0
khodro,20160924,3040.0,3166.0,3039.0,3149.0,58937983986,18717733,1395,D,3016.0
khodro,20160921,3007.0,3059.0,2994.0,3016.0,20338210914,6743728,948,D,3026.0
khodro,20160919,2999.0,3080.0,2978.0,3026.0,41258741252,13635378,1119,D,2989.0
khodro,20160918,3020.0,3024.0,2971.0,2989.0,17075529888,5712175,675,D,2985.0
khodro,20160917,3046.0,3046.0,2969.0,2985.0,35342743994,11841304,1275,D,3034.0
