<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>
shapna,20161211,2847.0,2889.0,2816.0,2843.0,17619901034,6197146,743,D,2806.0
shapna,20161210,2785.0,2849.0,2779.0,2806.0,14905460230,5311116,609,D,2744.0
shapna,20161207,2750.0,2783.0,2718.0,2744.0,18536583571,6755952,687,D,2771.0
shapna,20161206,2750.0,2818.0,2735.0,2771.0,9927465276,3581722,453,D,2759.0
shapna,20161205,2760.0,2830.0,2739.0,2759.0,12714888143,4608434,499,D,2829.0
shapna,20161204,2866.0,2866.0,2790.0,2829.0,16479517803,5824536,659,D,2862.0
shapna,20161203,2869.0,2869.0,2810.0,2862.0,115758316895,40452258,2036,D,2733.0
shapna,20161129,2750.0,2780.0,2720.0,2733.0,7380624755,2695742,309,D,2717.0
shapna,20161127,2717.0,2781.0,2700.0,2717.0,14104201976,5191224,559,D,2762.0
shapna,20161126,2837.0,2837.0,2720.0,2762.0,12026986779,4354722,454,D,2838.0
shapna,20161123,2858.0,2860.0,2795.0,2838.0,12140790735,4277710,547,D,2835.0
shapna,20161122,2801.0,2874.0,2793.0,2835.0,22706208120,8010423,863,D,2775.0
shapna,20161121,2791.0,2840.0,2740.0,2775.0,5291002503,1899896,350,D,2760.0
shapna,20161119,2790.0,2790.0,2706.0,2760.0,3429517603,1253461,238,D,2773.0
shapna,20161116,2799.0,2869.0,2717.0,2773.0,19747189197,7120526,575,D,2803.0
shapna,20161115,2850.0,2850.0,2755.0,2803.0,18923027143,6751923,666,D,2773.0
shapna,20161114,2680.0,2781.0,2680.0,2773.0,26705118436,9632052,772,D,2649.0
shapna,20161113,2620.0,2687.0,2620.0,2649.0,6581868834,2470247,411,D,2619.0
shapna,20161112,2700.0,2700.0,2594.0,2619.0,11824674432,4515481,582,D,2634.0
shapna,20161109,2620.0,2720.0,2619.0,2634.0,39678405048,15063727,1115,D,2756.0
shapna,20161108,2779.0,2779.0,2722.0,2756.0,15295578470,5549894,434,D,2755.0
shapna,20161107,2751.0,2790.0,2721.0,2755.0,16484518969,5984379,548,D,2726.0
shapna,20161106,2730.0,2785.0,2700.0,2726.0,16007104988,5871388,720,D,2736.0
shapna,20161105,2811.0,2811.0,2732.0,2736.0,48739329187,17816097,1331,D,2875.0
shapna,20161102,2855.0,2924.0,2830.0,2875.0,20809712012,7238947,892,D,2889.0
shapna,20161101,2940.0,2948.0,2860.0,2889.0,24849326917,8600839,1037,D,3005.0
shapna,20161031,3089.0,3090.0,2950.0,3005.0,29843411256,9932478,1094,D,3069.0
shapna,20161030,3021.0,3148.0,2978.0,3069.0,40292293137,13129364,1286,D,3077.0
shapna,20161029,3093.0,3170.0,3000.0,3077.0,58849752382,19124300,1795,D,3052.0
shapna,20161026,2931.0,3070.0,2931.0,3052.0,128241619714,42013491,2582,D,2924.0
shapna,20161025,2970.0,2981.0,2851.0,2924.0,54102204577,18500141,1843,D,2945.0
shapna,20161024,2870.0,2956.0,2850.0,2945.0,183448965163,62295664,3648,D,2816.0
shapna,20161023,2800.0,2833.0,2750.0,2816.0,143775788350,51052594,2765,D,2699.0
shapna,20161022,2640.0,2710.0,2630.0,2699.0,63378274026,23482727,1146,D,2581.0
shapna,20161019,2610.0,2626.0,2552.0,2581.0,7673156928,2972383,315,D,2581.0
shapna,20161018,2620.0,2659.0,2541.0,2581.0,9679525231,3755466,659,D,2643.0
shapna,20161017,2610.0,2695.0,2580.0,2643.0,6566370765,2482499,455,D,2639.0
shapna,20161016,2662.0,2703.0,2595.0,2639.0,19694396703,7462011,797,D,2636.0
shapna,20161015,2543.0,2644.0,2523.0,2636.0,83754208866,31776707,1822,D,2519.0
shapna,20161010,2520.0,2550.0,2492.0,2519.0,7991421120,3176145,405,D,2530.0
shapna,20161009,2530.0,2539.0,2490.0,2530.0,3833605980,1532642,250,D,2548.0
shapna,20161008,2520.0,2574.0,2490.0,2548.0,15863422132,6225541,714,D,2513.0
shapna,20161005,2550.0,2550.0,2487.0,2513.0,7361142219,2935471,291,D,2528.0
shapna,20161004,2548.0,2560.0,2500.0,2528.0,8981549153,3550957,344,D,2517.0
shapna,20161003,2495.0,2550.0,2462.0,2517.0,17661540655,7017786,546,D,2500.0
shapna,20161002,2550.0,2550.0,2460.0,2500.0,6679084575,2697268,343,D,2548.0
shapna,20161001,2540.0,2589.0,2516.0,2548.0,13423236034,5268402,562,D,2472.0
shapna,20160928,2460.0,2498.0,2460.0,2472.0,5645850648,2284834,286,D,2474.0
shapna,20160927,2470.0,2474.0,2450.0,2474.0,5848123918,2376520,376,D,2493.0
shapna,20160926,2501.0,2503.0,2462.0,2493.0,3264966156,1317439,250,D,2500.0
shapna,20160925,2503.0,2535.0,2475.0,2500.0,9493557595,3795947,499,D,2489.0
shapna,20160924,2497.0,2537.0,2471.0,2489.0,3636789915,1450201,252,D,2479.0
shapna,20160921,2450.0,2480.0,2450.0,2479.0,2674688347,1086979,239,D,2486.0
shapna,20160919,2500.0,2520.0,2457.0,2486.0,1458076048,588350,149,D,2487.0
shapna,20160918,2494.0,2540.0,2401.0,2487.0,7742398978,3115762,472,D,2496.0
shapna,20160917,2500.0,2500.0,2455.0,2496.0,2952774468,1194126,178,D,2506.0
shapna,20160914,2484.0,2545.0,2450.0,2506.0,12886819245,5142293,515,D,2464.0
shapna,20160913,2482.0,2493.0,2428.0,2464.0,6673664524,2732369,402,D,2512.0
shapna,20160911,2472.0,2499.0,2460.0,2512.0,3067729863,1240686,243,D,2530.0
shapna,20160910,2550.0,2560.0,2472.0,2530.0,3159298965,1265916,261,D,2547.0
shapna,20160907,2601.0,2612.0,2496.0,2547.0,8364591609,3288493,438,D,2563.0
shapna,20160906,2594.0,2640.0,2530.0,2563.0,15090640894,5887000,710,D,2524.0
shapna,20160905,2461.0,2580.0,2460.0,2524.0,4441750049,1736301,356,D,2497.0
shapna,20160904,2511.0,2530.0,2475.0,2497.0,7923208833,3189848,404,D,2555.0
shapna,20160903,2528.0,2550.0,2505.0,2555.0,4190135904,1659889,219,D,2578.0
shapna,20160831,2550.0,2600.0,2541.0,2578.0,2967460831,1156473,151,D,2584.0
shapna,20160830,2596.0,2610.0,2540.0,2584.0,2199558802,855133,167,D,2587.0
shapna,20160829,2588.0,2677.0,2550.0,2587.0,7961672332,3082551,401,D,2607.0
shapna,20160828,2670.0,2683.0,2582.0,2607.0,10748628731,4123465,383,D,2660.0
shapna,20160827,2660.0,2670.0,2623.0,2660.0,6664508693,2520345,317,D,2692.0
shapna,20160824,2711.0,2711.0,2651.0,2692.0,5291424363,1978379,254,D,2711.0
shapna,20160823,2685.0,2708.0,2675.0,2711.0,5070436723,1884298,286,D,2732.0
shapna,20160822,2760.0,2760.0,2694.0,2732.0,7348193348,2711108,387,D,2790.0
shapna,20160821,2801.0,2850.0,2734.0,2790.0,22374883373,8018860,914,D,2784.0
shapna,20160820,2670.0,2825.0,2670.0,2784.0,35369607460,12706795,1304,D,2702.0
shapna,20160817,2700.0,2720.0,2655.0,2702.0,15238124758,5639864,229,D,2700.0
shapna,20160816,2660.0,2700.0,2655.0,2700.0,3258929688,1216830,163,D,2710.0
shapna,20160815,2701.0,2704.0,2663.0,2710.0,5511780045,2049597,245,D,2736.0
shapna,20160814,2750.0,2788.0,2701.0,2736.0,10253892129,3747846,447,D,2720.0
shapna,20160813,2725.0,2758.0,2662.0,2720.0,12437850446,4572822,446,D,2679.0
shapna,20160810,2711.0,2745.0,2650.0,2679.0,9482350040,3540085,451,D,2749.0
shapna,20160809,2680.0,2797.0,2680.0,2749.0,12185458999,4432141,444,D,2723.0
shapna,20160808,2701.0,2751.0,2654.0,2723.0,6597271087,2441164,404,D,2767.0
shapna,20160807,2828.0,2850.0,2701.0,2767.0,13945264974,5040689,677,D,2800.0
shapna,20160806,2721.0,2880.0,2705.0,2800.0,29915865495,10683601,976,D,2789.0
shapna,20160803,2733.0,2821.0,2715.0,2789.0,37699855708,13515915,949,D,2687.0
shapna,20160802,2581.0,2727.0,2581.0,2687.0,32443042529,12073688,1213,D,2598.0
shapna,20160801,2600.0,2630.0,2550.0,2598.0,10854980438,4177439,402,D,2635.0
shapna,20160731,2699.0,2729.0,2582.0,2635.0,22750940749,8634322,957,D,2717.0
shapna,20160727,2688.0,2770.0,2640.0,2717.0,26595094006,9787812,816,D,2679.0
shapna,20160726,2670.0,2723.0,2614.0,2679.0,9858356681,3679940,402,D,2696.0
shapna,20160725,2738.0,2739.0,2656.0,2696.0,7633424224,2831713,302,D,2594.0
shapna,20160718,2785.0,2863.0,2668.0,2794.0,46939936324,16800096,728,D,2808.0
shapna,20160717,2750.0,2828.0,2740.0,2808.0,36344016618,12943428,1106,D,2694.0
shapna,20160716,2560.0,2734.0,2522.0,2694.0,26593106242,9872064,820,D,2604.0
shapna,20160713,2511.0,2639.0,2500.0,2604.0,14889341857,5718581,229,D,2588.0
shapna,20160712,2599.0,2620.0,2442.0,2588.0,28580940422,11044341,379,D,2570.0
shapna,20160711,2584.0,2608.0,2550.0,2570.0,9010691416,3517919,258,D,2679.0
shapna,20160710,2588.0,2707.0,2522.0,2679.0,33246362365,12409412,272,D,2629.0
shapna,20160709,2641.0,2641.0,2571.0,2629.0,2066701504,800639,122,D,2642.0
shapna,20160705,2576.0,2650.0,2576.0,2642.0,1603753201,617518,125,D,2651.0
shapna,20160704,2601.0,2678.0,2571.0,2651.0,17557378948,6622967,237,D,2600.0
shapna,20160703,2610.0,2630.0,2599.0,2600.0,5519008471,2112109,217,D,2584.0
shapna,20160702,2555.0,2604.0,2552.0,2584.0,5464869305,2110783,237,D,2579.0
shapna,20160629,2639.0,2639.0,2540.0,2579.0,7303708453,2847498,327,D,2625.0
shapna,20160628,2581.0,2696.0,2580.0,2625.0,7975841903,3042714,307,D,2643.0
shapna,20160626,2630.0,2660.0,2576.0,2643.0,3923774210,1492589,236,D,2653.0
shapna,20160625,2644.0,2644.0,2565.0,2653.0,3465213200,1337028,246,D,2688.0
shapna,20160622,2652.0,2730.0,2648.0,2688.0,7879322727,2921677,255,D,2652.0
shapna,20160621,2630.0,2700.0,2570.0,2652.0,2117955035,801702,181,D,2655.0
shapna,20160620,2630.0,2671.0,2561.0,2655.0,4078038321,1567599,171,D,2695.0
shapna,20160619,2670.0,2700.0,2622.0,2695.0,2969607767,1116785,201,D,2710.0
shapna,20160618,2660.0,2710.0,2629.0,2710.0,2419466735,902418,156,D,2719.0
shapna,20160615,2600.0,2766.0,2552.0,2719.0,27493982399,10110211,420,D,2686.0
shapna,20160614,2701.0,2701.0,2633.0,2686.0,6046024400,2287364,279,D,2771.0
shapna,20160613,2741.0,2780.0,2701.0,2771.0,2297902367,844573,172,D,2787.0
shapna,20160612,2780.0,2780.0,2699.0,2787.0,4377360383,1605253,260,D,2839.0
shapna,20160611,2821.0,2892.0,2762.0,2839.0,4903638996,1767157,298,D,2907.0
shapna,20160608,2880.0,2945.0,2831.0,2907.0,3345849427,1162720,316,D,2923.0
shapna,20160607,2930.0,2930.0,2853.0,2923.0,2881462826,999776,172,D,2940.0
shapna,20160606,2910.0,2927.0,2890.0,2940.0,3022326551,1041044,171,D,2956.0
shapna,20160605,2940.0,2999.0,2885.0,2956.0,34366457376,11626548,448,D,2970.0
shapna,20160601,2919.0,2955.0,2892.0,2970.0,2719917227,933537,176,D,2992.0
shapna,20160531,2902.0,3020.0,2875.0,2992.0,22792871796,7617105,230,D,2974.0
shapna,20160530,2905.0,2969.0,2905.0,2974.0,5309517920,1812959,224,D,3026.0
shapna,20160529,2887.0,3043.0,2876.0,3026.0,60804264999,20091849,407,D,2954.0
shapna,20160528,2941.0,2988.0,2882.0,2954.0,2709986762,930688,273,D,2970.0
shapna,20160525,2897.0,2990.0,2896.0,2970.0,34584327789,11645251,559,D,2897.0
shapna,20160524,2889.0,2900.0,2850.0,2897.0,5265207360,1834075,305,D,2929.0
shapna,20160523,2942.0,2969.0,2880.0,2929.0,7958193488,2724017,429,D,2963.0
shapna,20160521,2950.0,3000.0,2879.0,2963.0,31646584898,10678979,794,D,2987.0
shapna,20160518,2970.0,3040.0,2870.0,2987.0,90700838070,30365533,1874,D,2907.0
shapna,20160517,2814.0,2914.0,2801.0,2907.0,93210112512,32063761,1736,D,2776.0
shapna,20160516,2630.0,2800.0,2630.0,2776.0,94655868475,34092755,559,D,2698.0
shapna,20160515,2620.0,2709.0,2545.0,2698.0,93279445894,34570320,470,D,2605.0
shapna,20160514,2531.0,2660.0,2531.0,2605.0,12808720244,4917772,341,D,2597.0
shapna,20160511,2598.0,2636.0,2485.0,2597.0,21939295858,8448025,393,D,2601.0
shapna,20160510,2640.0,2640.0,2548.0,2601.0,7404195064,2869291,417,D,2679.0
shapna,20160509,2679.0,2700.0,2632.0,2679.0,3681231435,1380101,260,D,2686.0
shapna,20160508,2664.0,2700.0,2633.0,2686.0,6712603850,2526148,373,D,2750.0
shapna,20160507,2725.0,2828.0,2610.0,2750.0,29533392530,10739547,601,D,2745.0
shapna,20160504,2729.0,2760.0,2718.0,2745.0,6100255508,2229494,385,D,2760.0
shapna,20160503,2814.0,2814.0,2728.0,2760.0,9764038916,3537302,649,D,2834.0
shapna,20160502,2836.0,2880.0,2806.0,2834.0,7573704130,2681478,391,D,2868.0
shapna,20160501,2906.0,2906.0,2832.0,2868.0,7409572353,2594587,503,D,2906.0
