<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>
vnaft,20161211,2019.0,2050.0,2007.0,2020.0,4638738705,2296293,393,D,2008.0
vnaft,20161210,2022.0,2029.0,1997.0,2008.0,6680020070,3327401,470,D,1995.0
vnaft,20161207,2039.0,2039.0,1975.0,1995.0,9587293481,4806719,722,D,2018.0
vnaft,20161206,2039.0,2047.0,2005.0,2018.0,4889961439,2423133,449,D,2016.0
vnaft,20161205,2040.0,2060.0,2000.0,2016.0,6338755738,3144620,563,D,2038.0
vnaft,20161204,2080.0,2088.0,2010.0,2038.0,3163333420,1552484,375,D,2107.0
vnaft,20161203,2144.0,2147.0,2066.0,2107.0,13021755213,6179224,770,D,2059.0
vnaft,20161129,2051.0,2090.0,2030.0,2059.0,5241257554,2546016,403,D,2064.0
vnaft,20161127,2042.0,2080.0,2040.0,2064.0,3084197905,1494435,300,D,2053.0
vnaft,20161126,2075.0,2080.0,2041.0,2053.0,2575974339,1255023,293,D,2089.0
vnaft,20161123,2115.0,2115.0,2070.0,2089.0,3402413834,1628365,287,D,2095.0
vnaft,20161122,2100.0,2121.0,2073.0,2095.0,6133241075,2927092,426,D,2076.0
vnaft,20161121,2050.0,2074.0,2040.0,2076.0,3106682665,1506414,310,D,2026.0
vnaft,20161119,2040.0,2046.0,2011.0,2026.0,5560047994,2744727,559,D,2053.0
vnaft,20161116,2081.0,2099.0,2030.0,2053.0,10937480191,5328488,728,D,2088.0
vnaft,20161115,2111.0,2128.0,2075.0,2088.0,4343021419,2080387,318,D,2111.0
vnaft,20161114,2075.0,2145.0,2075.0,2111.0,6888626581,3263607,489,D,2072.0
vnaft,20161113,2085.0,2100.0,2056.0,2072.0,3928757579,1896229,397,D,2085.0
vnaft,20161112,2100.0,2150.0,2060.0,2085.0,6622254456,3176886,604,D,2098.0
vnaft,20161109,2135.0,2135.0,2092.0,2098.0,16390292288,7813021,1074,D,2202.0
vnaft,20161108,2185.0,2222.0,2185.0,2202.0,4504274882,2045726,296,D,2182.0
vnaft,20161107,2155.0,2197.0,2155.0,2182.0,5770961406,2644234,370,D,2155.0
vnaft,20161106,2152.0,2190.0,2142.0,2155.0,6932063994,3216105,568,D,2181.0
vnaft,20161105,2208.0,2210.0,2153.0,2181.0,10203385034,4678351,893,D,2208.0
vnaft,20161102,2215.0,2230.0,2201.0,2208.0,8236558203,3730304,577,D,2214.0
vnaft,20161101,2223.0,2234.0,2203.0,2214.0,6556341001,2961338,503,D,2229.0
vnaft,20161031,2250.0,2268.0,2211.0,2229.0,14850430807,6662016,788,D,2254.0
vnaft,20161030,2260.0,2263.0,2240.0,2254.0,12396976387,5500577,675,D,2278.0
vnaft,20161029,2289.0,2314.0,2256.0,2278.0,10360717524,4547283,714,D,2292.0
vnaft,20161026,2270.0,2330.0,2250.0,2292.0,15939786301,6955964,893,D,2268.0
vnaft,20161025,2300.0,2300.0,2250.0,2268.0,10659059836,4699574,707,D,2314.0
vnaft,20161024,2308.0,2368.0,2270.0,2314.0,31598667505,13655638,1585,D,2307.0
vnaft,20161023,2240.0,2335.0,2240.0,2307.0,95079952770,41220492,3837,D,2224.0
vnaft,20161022,2200.0,2254.0,2182.0,2224.0,16130999520,7251905,905,D,2198.0
vnaft,20161019,2200.0,2220.0,2191.0,2198.0,12577671436,5722837,817,D,2214.0
vnaft,20161018,2209.0,2250.0,2199.0,2214.0,12706833151,5739323,642,D,2207.0
vnaft,20161017,2229.0,2250.0,2200.0,2207.0,13537895100,6133743,732,D,2224.0
vnaft,20161016,2223.0,2261.0,2206.0,2224.0,11230332576,5048521,655,D,2256.0
vnaft,20161015,2231.0,2287.0,2225.0,2256.0,20493485681,9084447,976,D,2211.0
vnaft,20161010,2212.0,2240.0,2200.0,2211.0,8314538543,3761312,518,D,2214.0
vnaft,20161009,2239.0,2240.0,2205.0,2214.0,5184620617,2342201,366,D,2251.0
vnaft,20161008,2230.0,2276.0,2220.0,2251.0,18234733977,8101063,924,D,2203.0
vnaft,20161005,2232.0,2232.0,2190.0,2203.0,18257928239,8287150,982,D,2231.0
vnaft,20161004,2255.0,2270.0,2211.0,2231.0,10248316751,4592811,607,D,2233.0
vnaft,20161003,2255.0,2255.0,2222.0,2233.0,7165535180,3208588,545,D,2243.0
vnaft,20161002,2278.0,2280.0,2227.0,2243.0,5370296838,2393942,307,D,2273.0
vnaft,20161001,2261.0,2299.0,2250.0,2273.0,12350974455,5432706,920,D,2215.0
