<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,Date
Zamyad,20160427,1290.0,1360.0,1285.0,1341.0,72263574407,53890656,3015,D,1298.0,2016-04-27
Zamyad,20160426,1290.0,1333.0,1257.0,1298.0,30992318082,23881701,1903,D,1319.0,2016-04-26
Zamyad,20160425,1370.0,1383.0,1270.0,1319.0,82372170719,62445195,3602,D,1331.0,2016-04-25
Zamyad,20160424,1273.0,1333.0,1273.0,1331.0,58124629751,43679456,1751,D,1270.0,2016-04-24
Zamyad,20160423,1240.0,1273.0,1240.0,1270.0,66038002456,51990171,2293,D,1213.0,2016-04-23
Zamyad,20160420,1270.0,1279.0,1196.0,1213.0,36482823569,30082146,1980,D,1258.0,2016-04-20
Zamyad,20160419,1300.0,1306.0,1194.0,1258.0,52088090146,41410782,2450,D,1247.0,2016-04-19
Zamyad,20160418,1248.0,1248.0,1232.0,1247.0,27804452448,22288377,1130,D,1189.0,2016-04-18
Zamyad,20160417,1138.0,1253.0,1135.0,1189.0,60779096226,51116276,3478,D,1194.0,2016-04-17
Zamyad,20160416,1221.0,1249.0,1191.0,1194.0,23186360290,19426345,1238,D,1253.0,2016-04-16
Zamyad,20160413,1290.0,1321.0,1248.0,1253.0,44014687923,35135600,2157,D,1313.0,2016-04-13
Zamyad,20160412,1386.0,1386.0,1302.0,1313.0,33355527882,25406926,2034,D,1370.0,2016-04-12
Zamyad,20160411,1380.0,1400.0,1325.0,1370.0,26851984479,19602709,1536,D,1386.0,2016-04-11
Zamyad,20160410,1430.0,1453.0,1360.0,1386.0,65560586139,47298959,3533,D,1431.0,2016-04-10
Zamyad,20160409,1399.0,1441.0,1380.0,1431.0,53285703202,37243454,2397,D,1373.0,2016-04-09
Zamyad,20160406,1400.0,1430.0,1325.0,1373.0,51910549188,37818505,3041,D,1389.0,2016-04-06
Zamyad,20160405,1364.0,1419.0,1340.0,1389.0,59439121220,42803898,3406,D,1353.0,2016-04-05
Zamyad,20160404,1390.0,1440.0,1342.0,1353.0,135600037385,100187412,6428,D,1412.0,2016-04-04
Zamyad,20160403,1420.0,1453.0,1400.0,1412.0,17594151863,12460959,857,D,1473.0,2016-04-03
Zamyad,20160402,1501.0,1540.0,1461.0,1473.0,44976829586,30543112,2198,D,1537.0,2016-04-02
Zamyad,20160330,1512.0,1540.0,1490.0,1537.0,51798074006,33711723,2427,D,1467.0,2016-03-30
Zamyad,20160329,1423.0,1548.0,1423.0,1467.0,131592084380,89694615,6207,D,1497.0,2016-03-29
Zamyad,20160328,1497.0,1497.0,1497.0,1497.0,4771618638,3187454,252,D,1575.0,2016-03-28
Zamyad,20160327,1598.0,1630.0,1558.0,1575.0,27915854140,17728000,1503,D,1639.0,2016-03-27
Zamyad,20160326,1700.0,1700.0,1633.0,1639.0,25182281116,15361556,1231,D,1718.0,2016-03-26
Zamyad,20160316,1780.0,1810.0,1645.0,1718.0,197241255485,114803200,8822,D,1731.0,2016-03-16
Zamyad,20160315,1680.0,1764.0,1677.0,1731.0,302908564526,174965820,9863,D,976.0,2016-03-15
Zamyad,20160221,2330.0,2390.0,2230.0,2251.0,158786596374,70528237,4565,D,2347.0,2016-02-21
Zamyad,20160220,2450.0,2489.0,2284.0,2347.0,332631057743,141726919,9717,D,2404.0,2016-02-20
Zamyad,20160217,2404.0,2404.0,2404.0,2404.0,39046546896,16242324,476,D,2290.0,2016-02-17
Zamyad,20160216,2294.0,2294.0,2201.0,2290.0,281296327589,122842536,4590,D,2185.0,2016-02-16
Zamyad,20160215,2185.0,2185.0,2170.0,2185.0,135314174505,61934361,2153,D,2081.0,2016-02-15
Zamyad,20160214,2100.0,2180.0,2025.0,2081.0,147125565318,70696821,5442,D,2129.0,2016-02-14
Zamyad,20160213,2150.0,2229.0,2113.0,2129.0,111179897738,52212292,2834,D,2224.0,2016-02-13
Zamyad,20160210,2142.0,2327.0,2141.0,2224.0,226412582699,101818591,6541,D,2253.0,2016-02-10
Zamyad,20160209,2300.0,2300.0,2120.0,2253.0,153460891829,68105166,3688,D,2191.0,2016-02-09
Zamyad,20160208,2148.0,2196.0,2140.0,2191.0,114468761501,52240378,2499,D,2092.0,2016-02-08
Zamyad,20160207,2070.0,2119.0,2052.0,2092.0,208836855274,99830019,6887,D,2019.0,2016-02-07
Zamyad,20160206,2039.0,2065.0,1930.0,2019.0,474993079085,235204819,12800,D,1967.0,2016-02-06
Zamyad,20160203,1901.0,2004.0,1870.0,1967.0,148237108517,75360244,3417,D,1909.0,2016-02-03
Zamyad,20160202,1965.0,1986.0,1821.0,1909.0,117619627640,61627283,3614,D,1892.0,2016-02-02
Zamyad,20160201,1890.0,1892.0,1870.0,1892.0,74212181808,39233635,1248,D,1802.0,2016-02-01
Zamyad,20160131,1780.0,1869.0,1726.0,1802.0,146905367340,81532567,4269,D,1816.0,2016-01-31
Zamyad,20160130,1820.0,1900.0,1786.0,1816.0,136996430527,75440578,3907,D,1880.0,2016-01-30
Zamyad,20160127,1905.0,1905.0,1732.0,1880.0,262649637463,139706163,5480,D,1815.0,2016-01-27
Zamyad,20160126,1815.0,1815.0,1790.0,1815.0,62068433491,34206866,981,D,1729.0,2016-01-26
