<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,Date
Iran.Khodro,20160427,3480.0,3580.0,3451.0,3571.0,140222656411,39265089,1787,D,3410.0,2016-04-27
Iran.Khodro,20160426,3390.0,3480.0,3303.0,3410.0,200217775319,58720349,4053,D,3431.0,2016-04-26
Iran.Khodro,20160425,3519.0,3550.0,3301.0,3431.0,271947429498,79271879,6352,D,3386.0,2016-04-25
Iran.Khodro,20160424,3270.0,3413.0,3270.0,3386.0,81611333445,24104338,1951,D,3251.0,2016-04-24
Iran.Khodro,20160423,3181.0,3400.0,3150.0,3251.0,238331809995,73305214,6756,D,3293.0,2016-04-23
Iran.Khodro,20160420,3352.0,3420.0,3276.0,3293.0,76144208388,23121671,1811,D,3448.0,2016-04-20
Iran.Khodro,20160419,3638.0,3638.0,3424.0,3448.0,127860228424,37077490,2552,D,3604.0,2016-04-19
Iran.Khodro,20160418,3530.0,3694.0,3530.0,3604.0,198919971878,55192429,5081,D,3536.0,2016-04-18
Iran.Khodro,20160417,3531.0,3599.0,3531.0,3536.0,389832490404,110242780,7271,D,3716.0,2016-04-17
Iran.Khodro,20160416,3761.0,3849.0,3682.0,3716.0,53037397691,14273578,1162,D,3875.0,2016-04-16
Iran.Khodro,20160413,3950.0,4050.0,3856.0,3875.0,365673676131,94372709,7015,D,4058.0,2016-04-13
Iran.Khodro,20160412,4210.0,4270.0,4017.0,4058.0,257721256557,63510213,5874,D,4228.0,2016-04-12
Iran.Khodro,20160411,4182.0,4350.0,4122.0,4228.0,201689586101,47699941,5124,D,4321.0,2016-04-11
Iran.Khodro,20160410,4395.0,4453.0,4276.0,4321.0,369475781922,85507940,7364,D,4501.0,2016-04-10
Iran.Khodro,20160409,4470.0,4575.0,4396.0,4501.0,288328118917,64055867,6777,D,4371.0,2016-04-09
Iran.Khodro,20160406,4420.0,4532.0,4200.0,4371.0,313377427110,71694247,7444,D,4326.0,2016-04-06
Iran.Khodro,20160405,4230.0,4373.0,4212.0,4326.0,343693439593,79439555,5623,D,4165.0,2016-04-05
Iran.Khodro,20160404,4170.0,4262.0,4060.0,4165.0,381714544629,91652574,7524,D,4085.0,2016-04-04
Iran.Khodro,20160403,4222.0,4291.0,4008.0,4085.0,363144283275,88901659,6727,D,4218.0,2016-04-03
Iran.Khodro,20160402,4280.0,4389.0,4051.0,4218.0,382789288979,90761525,7831,D,4234.0,2016-04-02
Iran.Khodro,20160330,4234.0,4234.0,4234.0,4234.0,144867008610,34215165,704,D,4033.0,2016-03-30
Iran.Khodro,20160329,3865.0,4271.0,3865.0,4033.0,584411350340,144905516,10356,D,4068.0,2016-03-29
Iran.Khodro,20160328,4066.0,4149.0,4066.0,4068.0,68252521719,16776728,1331,D,4280.0,2016-03-28
Iran.Khodro,20160327,4300.0,4490.0,4233.0,4280.0,176485040966,41231912,3228,D,4455.0,2016-03-27
Iran.Khodro,20160326,4580.0,4630.0,4412.0,4455.0,158468048307,35567119,2863,D,4644.0,2016-03-26
Iran.Khodro,20160316,4638.0,4784.0,4351.0,4644.0,776054834579,167126567,11662,D,4558.0,2016-03-16
Iran.Khodro,20160315,4565.0,4565.0,4470.0,4558.0,1139677733679,250040294,12022,D,4348.0,2016-03-15
Iran.Khodro,20160314,4348.0,4348.0,4348.0,4348.0,407629448004,93751023,1892,D,4141.0,2016-03-14
Iran.Khodro,20160308,4050.0,4236.0,4001.0,4141.0,429408347258,103690869,8865,D,4125.0,2016-03-08
Iran.Khodro,20160307,4152.0,4152.0,3993.0,4125.0,974050526015,236128463,11934,D,3955.0,2016-03-07
Iran.Khodro,20160306,3955.0,3955.0,3955.0,3955.0,122227056245,30904439,1040,D,3767.0,2016-03-06
Iran.Khodro,20160305,3700.0,3780.0,3681.0,3767.0,166821064414,44289988,2027,D,3600.0,2016-03-05
Iran.Khodro,20160302,3620.0,3680.0,3420.0,3600.0,410168447537,113950118,7608,D,3565.0,2016-03-02
Iran.Khodro,20160301,3520.0,3615.0,3505.0,3565.0,299240423724,83949736,6224,D,3445.0,2016-03-01
Iran.Khodro,20160229,3450.0,3540.0,3331.0,3445.0,258710952936,75097402,6200,D,3430.0,2016-02-29
Iran.Khodro,20160228,3590.0,3598.0,3384.0,3430.0,256195568176,74695267,6572,D,3562.0,2016-02-28
Iran.Khodro,20160227,3544.0,3580.0,3500.0,3562.0,460641925574,129317516,7785,D,3410.0,2016-02-27
Iran.Khodro,20160224,3260.0,3499.0,3250.0,3410.0,353527915509,103682720,7719,D,3376.0,2016-02-24
Iran.Khodro,20160223,3432.0,3432.0,3252.0,3376.0,627971662428,185997164,10194,D,3269.0,2016-02-23
Iran.Khodro,20160222,3269.0,3269.0,3220.0,3269.0,312705896094,95668296,3100,D,3114.0,2016-02-22
Iran.Khodro,20160221,3155.0,3230.0,3097.0,3114.0,329298517072,105739299,5503,D,3260.0,2016-02-21
Iran.Khodro,20160220,3389.0,3400.0,3230.0,3260.0,379355153738,116368906,7021,D,3399.0,2016-02-20
Iran.Khodro,20160217,3350.0,3406.0,3312.0,3399.0,149401491173,43955205,1946,D,3244.0,2016-02-17
Iran.Khodro,20160216,3240.0,3266.0,3120.0,3244.0,422206129905,130161896,7276,D,3111.0,2016-02-16
Iran.Khodro,20160215,3000.0,3117.0,2989.0,3111.0,463064468201,148860968,5022,D,2969.0,2016-02-15
Iran.Khodro,20160214,2930.0,3079.0,2882.0,2969.0,225299007152,75884227,5366,D,2934.0,2016-02-14
Iran.Khodro,20160213,2955.0,2973.0,2831.0,2934.0,662130121373,225671310,11330,D,2832.0,2016-02-13
Iran.Khodro,20160210,2832.0,2832.0,2832.0,2832.0,76518581136,27019273,622,D,2698.0,2016-02-10
Iran.Khodro,20160208,2803.0,2803.0,2803.0,2698.0,2415140481,861627,50,D,2670.0,2016-02-08
Iran.Khodro,20160207,2670.0,2670.0,2670.0,2670.0,19120641630,7161289,272,D,2543.0,2016-02-07
Iran.Khodro,20160206,2495.0,2551.0,2471.0,2543.0,102861925939,40446256,1656,D,2430.0,2016-02-06
Iran.Khodro,20160203,2372.0,2479.0,2302.0,2430.0,104075579663,42830749,3615,D,2420.0,2016-02-03
Iran.Khodro,20160202,2490.0,2530.0,2323.0,2420.0,96200749375,39759380,3673,D,2440.0,2016-02-02
Iran.Khodro,20160201,2397.0,2452.0,2371.0,2440.0,144114702315,59063678,3890,D,2336.0,2016-02-01
Iran.Khodro,20160131,2351.0,2380.0,2318.0,2336.0,132201354869,56592662,3690,D,2440.0,2016-01-31
Iran.Khodro,20160130,2470.0,2568.0,2394.0,2440.0,186088351489,76254295,5660,D,2519.0,2016-01-30
Iran.Khodro,20160127,2574.0,2574.0,2400.0,2519.0,283235572104,112422927,6692,D,2452.0,2016-01-27
Iran.Khodro,20160126,2440.0,2460.0,2420.0,2452.0,117548120128,47937523,3322,D,2343.0,2016-01-26
Iran.Khodro,20160125,2280.0,2374.0,2241.0,2343.0,123131581870,52555472,3986,D,2261.0,2016-01-25
Iran.Khodro,20160124,2220.0,2273.0,2190.0,2261.0,106261150522,46996199,3042,D,2165.0,2016-01-24
Iran.Khodro,20160123,2143.0,2220.0,2061.0,2165.0,122976303766,56801514,3881,D,2115.0,2016-01-23
Iran.Khodro,20160120,2110.0,2123.0,2070.0,2115.0,122128705346,57754935,3290,D,2022.0,2016-01-20
Iran.Khodro,20160119,2022.0,2024.0,1982.0,2022.0,25877285837,12797558,612,D,1928.0,2016-01-19
Iran.Khodro,20160118,1899.0,2029.0,1866.0,1928.0,76107742039,39481495,2538,D,1964.0,2016-01-18
Iran.Khodro,20160117,2054.0,2054.0,1860.0,1964.0,71038519276,36161755,2694,D,1957.0,2016-01-17
Iran.Khodro,20160116,1940.0,1959.0,1902.0,1957.0,45394503460,23198425,1502,D,1866.0,2016-01-16
Iran.Khodro,20160113,1835.0,1891.0,1801.0,1866.0,37633707014,20164115,1582,D,1838.0,2016-01-13
Iran.Khodro,20160112,1830.0,1870.0,1800.0,1838.0,48522608227,26405862,2148,D,1789.0,2016-01-12
Iran.Khodro,20160111,1706.0,1791.0,1706.0,1789.0,34739711902,19417710,812,D,1706.0,2016-01-11
Iran.Khodro,20160110,1687.0,1760.0,1633.0,1706.0,14331336429,8398748,827,D,1707.0,2016-01-10
Iran.Khodro,20160109,1748.0,1749.0,1668.0,1707.0,20027198084,11730403,1123,D,1701.0,2016-01-09
Iran.Khodro,20160106,1700.0,1704.0,1660.0,1701.0,30737959716,18070306,1167,D,1623.0,2016-01-06
Iran.Khodro,20160105,1541.0,1646.0,1541.0,1623.0,9715824391,5981162,623,D,1568.0,2016-01-05
Iran.Khodro,20160104,1550.0,1578.0,1540.0,1568.0,53573286256,34169856,458,D,1558.0,2016-01-04
Iran.Khodro,20160103,1554.0,1578.0,1523.0,1558.0,4373992042,2816879,348,D,1562.0,2016-01-03
Iran.Khodro,20160102,1571.0,1589.0,1544.0,1562.0,4910722252,3142317,425,D,1562.0,2016-01-02
Iran.Khodro,20151230,1539.0,1580.0,1513.0,1562.0,12623870194,8081181,645,D,1531.0,2015-12-30
Iran.Khodro,20151228,1575.0,1575.0,1500.0,1531.0,12957093298,8462671,732,D,1551.0,2015-12-28
Iran.Khodro,20151227,1496.0,1579.0,1490.0,1551.0,11979117913,7724806,790,D,1507.0,2015-12-27
Iran.Khodro,20151226,1504.0,1520.0,1501.0,1507.0,8827700601,5856781,468,D,1504.0,2015-12-26
Iran.Khodro,20151223,1519.0,1520.0,1496.0,1504.0,9128279793,6070203,492,D,1486.0,2015-12-23
Iran.Khodro,20151222,1506.0,1525.0,1458.0,1486.0,7487040050,5034748,477,D,1482.0,2015-12-22
Iran.Khodro,20151221,1470.0,1525.0,1453.0,1482.0,6623692227,4464022,436,D,1477.0,2015-12-21
Iran.Khodro,20151220,1530.0,1540.0,1463.0,1477.0,17277530240,11697625,841,D,1539.0,2015-12-20
Iran.Khodro,20151219,1598.0,1598.0,1535.0,1539.0,12760577443,8293618,696,D,1615.0,2015-12-19
Iran.Khodro,20151216,1678.0,1678.0,1576.0,1615.0,10319273053,6389591,616,D,1632.0,2015-12-16
Iran.Khodro,20151215,1632.0,1660.0,1610.0,1632.0,7872184178,4806748,622,D,1613.0,2015-12-15
Iran.Khodro,20151214,1582.0,1635.0,1580.0,1613.0,7370822943,4552923,591,D,1597.0,2015-12-14
Iran.Khodro,20151213,1619.0,1633.0,1572.0,1597.0,5887321010,3698741,477,D,1604.0,2015-12-13
Iran.Khodro,20151209,1590.0,1619.0,1572.0,1604.0,10128310473,6314188,684,D,1579.0,2015-12-09
Iran.Khodro,20151208,1562.0,1594.0,1550.0,1579.0,6342231561,4022269,503,D,1584.0,2015-12-08
Iran.Khodro,20151207,1593.0,1627.0,1550.0,1584.0,9436123671,5956122,846,D,1581.0,2015-12-07
Iran.Khodro,20151206,1631.0,1631.0,1558.0,1581.0,17957818407,11356758,1487,D,1640.0,2015-12-06
Iran.Khodro,20151205,1698.0,1698.0,1614.0,1640.0,31884210214,19436429,1980,D,1703.0,2015-12-05
Iran.Khodro,20151117,1970.0,1970.0,1886.0,1897.0,40123129351,21155109,1829,D,1985.0,2015-11-17
Iran.Khodro,20151116,1902.0,2049.0,1902.0,1985.0,51135190069,25755273,2145,D,1952.0,2015-11-16
Iran.Khodro,20151115,2000.0,2000.0,1935.0,1952.0,21977517560,11259882,1220,D,2036.0,2015-11-15
Iran.Khodro,20151114,2050.0,2080.0,2015.0,2036.0,15249063162,7490937,790,D,2048.0,2015-11-14
Iran.Khodro,20151111,2090.0,2092.0,2031.0,2048.0,13416694167,6551140,564,D,2075.0,2015-11-11
Iran.Khodro,20151110,2065.0,2110.0,2050.0,2075.0,24279209614,11703224,1014,D,2022.0,2015-11-10
Iran.Khodro,20151109,2018.0,2055.0,1995.0,2022.0,16619592570,8219417,758,D,2018.0,2015-11-09
Iran.Khodro,20151108,2010.0,2020.0,1980.0,2018.0,168771047278,83626479,669,D,2018.0,2015-11-08
Iran.Khodro,20151107,1972.0,2035.0,1972.0,2018.0,259982628760,128809116,892,D,1964.0,2015-11-07
Iran.Khodro,20151104,1912.0,1967.0,1912.0,1964.0,245729320597,125091697,613,D,1950.0,2015-11-04
Iran.Khodro,20151103,1944.0,1974.0,1911.0,1950.0,6324191732,3259707,458,D,1971.0,2015-11-03
Iran.Khodro,20151102,1960.0,2014.0,1943.0,1971.0,262180254037,133021184,1366,D,1919.0,2015-11-02
Iran.Khodro,20151101,1860.0,1939.0,1842.0,1919.0,16001976547,8340703,674,D,1847.0,2015-11-01
Iran.Khodro,20151031,1850.0,1876.0,1830.0,1847.0,95864174390,51914095,848,D,1845.0,2015-10-31
Iran.Khodro,20151028,1815.0,1894.0,1810.0,1845.0,27539172798,14923969,970,D,1929.0,2015-10-28
Iran.Khodro,20151021,1965.0,1977.0,1911.0,1929.0,18110774597,9388610,881,D,2006.0,2015-10-21
Iran.Khodro,20151020,2080.0,2080.0,1971.0,2006.0,21998842680,10968453,1018,D,2074.0,2015-10-20
Iran.Khodro,20151019,2031.0,2120.0,2031.0,2074.0,25166203877,12134155,1256,D,2065.0,2015-10-19
Iran.Khodro,20151018,2068.0,2068.0,2025.0,2065.0,88250386616,42745823,2333,D,1970.0,2015-10-18
Iran.Khodro,20151017,1950.0,1992.0,1930.0,1970.0,34830619054,17683848,1351,D,1898.0,2015-10-17
Iran.Khodro,20151014,1856.0,1902.0,1856.0,1898.0,22509266917,11859379,826,D,1812.0,2015-10-14
Iran.Khodro,20151013,1756.0,1839.0,1731.0,1812.0,15374044606,8485662,861,D,1752.0,2015-10-13
Iran.Khodro,20151012,1705.0,1777.0,1705.0,1752.0,11669423741,6660895,728,D,1699.0,2015-10-12
Iran.Khodro,20151011,1718.0,1734.0,1662.0,1699.0,19239503084,11322931,1013,D,1735.0,2015-10-11
Iran.Khodro,20151010,1749.0,1787.0,1711.0,1735.0,10832265361,6243183,738,D,1780.0,2015-10-10
Iran.Khodro,20151007,1779.0,1821.0,1750.0,1780.0,19095769898,10728480,1042,D,1799.0,2015-10-07
Iran.Khodro,20151006,1850.0,1850.0,1788.0,1799.0,21958009074,12203337,1145,D,1882.0,2015-10-06
Iran.Khodro,20151005,1902.0,1929.0,1850.0,1882.0,12975662282,6894619,866,D,1880.0,2015-10-05
Iran.Khodro,20151004,1898.0,1925.0,1859.0,1880.0,52905476326,28140436,2260,D,1956.0,2015-10-04
Iran.Khodro,20151003,2019.0,2019.0,1937.0,1956.0,20250252785,10353955,866,D,2038.0,2015-10-03
Iran.Khodro,20150930,2057.0,2060.0,2011.0,2038.0,5968975245,2945035,447,D,2058.0,2015-09-30
Iran.Khodro,20150929,2052.0,2099.0,2044.0,2058.0,10828145224,5262404,477,D,2038.0,2015-09-29
Iran.Khodro,20150928,2030.0,2070.0,2025.0,2038.0,7167200736,3514972,390,D,2036.0,2015-09-28
Iran.Khodro,20150927,2038.0,2079.0,1980.0,2036.0,16314646539,8014602,831,D,2064.0,2015-09-27
Iran.Khodro,20150926,2100.0,2108.0,2036.0,2064.0,11494847385,5570247,624,D,2133.0,2015-09-26
Iran.Khodro,20150923,2115.0,2160.0,2106.0,2133.0,15999544287,7500368,792,D,2109.0,2015-09-23
Iran.Khodro,20150922,2110.0,2131.0,2050.0,2109.0,14500290021,6875265,734,D,2067.0,2015-09-22
Iran.Khodro,20150921,2090.0,2149.0,2059.0,2067.0,36802727745,17802890,1337,D,2167.0,2015-09-21
Iran.Khodro,20150920,2238.0,2238.0,2158.0,2167.0,10633665379,4907041,544,D,2271.0,2015-09-20
Iran.Khodro,20150919,2267.0,2320.0,2240.0,2271.0,9641005699,4244987,512,D,2266.0,2015-09-19
Iran.Khodro,20150916,2259.0,2318.0,2247.0,2266.0,11129794265,4911497,813,D,2275.0,2015-09-16
Iran.Khodro,20150915,2325.0,2330.0,2245.0,2275.0,13841774697,6085395,813,D,2351.0,2015-09-15
Iran.Khodro,20150914,2356.0,2390.0,2327.0,2351.0,14945860446,6357707,702,D,2345.0,2015-09-14
Iran.Khodro,20150913,2416.0,2417.0,2337.0,2345.0,42169221394,17984678,1644,D,2459.0,2015-09-13
Iran.Khodro,20150912,2490.0,2514.0,2415.0,2459.0,8867477746,3605891,553,D,2461.0,2015-09-12
Iran.Khodro,20150909,2463.0,2490.0,2445.0,2461.0,20552173618,8352030,805,D,2466.0,2015-09-09
Iran.Khodro,20150908,2485.0,2490.0,2451.0,2466.0,11221681227,4550478,597,D,2493.0,2015-09-08
Iran.Khodro,20150907,2480.0,2515.0,2460.0,2493.0,14218342013,5704310,566,D,2508.0,2015-09-07
Iran.Khodro,20150906,2521.0,2550.0,2487.0,2508.0,14774585022,5891193,641,D,2545.0,2015-09-06
Iran.Khodro,20150905,2505.0,2593.0,2505.0,2545.0,13556536564,5326703,705,D,2500.0,2015-09-05
