<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,Date
Isf..Oil.Ref..Co.,20160427,2850.0,2940.0,2850.0,2898.0,10979097914,3788906,531,D,2898.0,2016-04-27
Isf..Oil.Ref..Co.,20160426,2969.0,2975.0,2856.0,2898.0,11304774176,3900567,448,D,2947.0,2016-04-26
Isf..Oil.Ref..Co.,20160425,3070.0,3080.0,2900.0,2947.0,33165510495,11252810,898,D,3014.0,2016-04-25
Isf..Oil.Ref..Co.,20160424,2995.0,3089.0,2900.0,3014.0,12135903178,4026140,606,D,2983.0,2016-04-24
Isf..Oil.Ref..Co.,20160423,3000.0,3038.0,2921.0,2983.0,7603141243,2557488,342,D,3019.0,2016-04-23
Isf..Oil.Ref..Co.,20160420,3040.0,3097.0,2950.0,3019.0,9183568232,3039892,472,D,2956.0,2016-04-20
Isf..Oil.Ref..Co.,20160419,2950.0,3049.0,2825.0,2956.0,14472783237,4896636,637,D,2944.0,2016-04-19
Isf..Oil.Ref..Co.,20160418,2918.0,3030.0,2900.0,2944.0,16161367810,5488668,684,D,2955.0,2016-04-18
Isf..Oil.Ref..Co.,20160417,2913.0,3028.0,2882.0,2955.0,12031075572,4071859,533,D,3032.0,2016-04-17
Isf..Oil.Ref..Co.,20160416,3150.0,3150.0,3022.0,3032.0,14232280574,4694691,364,D,3181.0,2016-04-16
Isf..Oil.Ref..Co.,20160413,3178.0,3240.0,3122.0,3181.0,13135660753,4129979,596,D,3160.0,2016-04-13
Isf..Oil.Ref..Co.,20160412,3198.0,3200.0,3150.0,3160.0,14482153128,4582676,402,D,3155.0,2016-04-12
Isf..Oil.Ref..Co.,20160411,3160.0,3198.0,3147.0,3155.0,7263697588,2303878,338,D,3161.0,2016-04-11
Isf..Oil.Ref..Co.,20160410,3200.0,3210.0,3145.0,3161.0,11026930832,3488838,531,D,3204.0,2016-04-10
Isf..Oil.Ref..Co.,20160409,3252.0,3285.0,3181.0,3204.0,8626708212,2691106,450,D,3192.0,2016-04-09
Isf..Oil.Ref..Co.,20160406,3227.0,3227.0,3180.0,3192.0,10382199206,3253020,476,D,3227.0,2016-04-06
Isf..Oil.Ref..Co.,20160405,3210.0,3279.0,3190.0,3227.0,10864910676,3366906,499,D,3205.0,2016-04-05
Isf..Oil.Ref..Co.,20160404,3187.0,3300.0,3116.0,3205.0,25350476888,7910662,916,D,3175.0,2016-04-04
Isf..Oil.Ref..Co.,20160403,3230.0,3231.0,3168.0,3175.0,24343135127,7665956,985,D,3334.0,2016-04-03
Isf..Oil.Ref..Co.,20160402,3411.0,3430.0,3230.0,3334.0,39845857428,11949855,1533,D,3335.0,2016-04-02
Isf..Oil.Ref..Co.,20160330,3160.0,3357.0,3160.0,3335.0,48885736120,14658557,1248,D,3198.0,2016-03-30
Isf..Oil.Ref..Co.,20160329,3212.0,3225.0,3151.0,3198.0,9719551156,3041615,485,D,3262.0,2016-03-29
Isf..Oil.Ref..Co.,20160328,3215.0,3290.0,3215.0,3262.0,5624140017,1738300,306,D,3294.0,2016-03-28
Isf..Oil.Ref..Co.,20160327,3330.0,3400.0,3250.0,3294.0,7634048948,2315950,426,D,3289.0,2016-03-27
Isf..Oil.Ref..Co.,20160326,3161.0,3328.0,3161.0,3289.0,15539050803,4724897,644,D,3170.0,2016-03-26
Isf..Oil.Ref..Co.,20160316,3289.0,3289.0,3147.0,3170.0,23248452345,7332904,1142,D,3297.0,2016-03-16
Isf..Oil.Ref..Co.,20160315,3180.0,3310.0,3175.0,3297.0,132316848653,40137313,956,D,3196.0,2016-03-15
Isf..Oil.Ref..Co.,20160314,3240.0,3300.0,3120.0,3196.0,38637074519,12090317,1910,D,3280.0,2016-03-14
Isf..Oil.Ref..Co.,20160312,3302.0,3370.0,3220.0,3280.0,131178334485,39994866,1683,D,3339.0,2016-03-12
Isf..Oil.Ref..Co.,20160309,3360.0,3430.0,3294.0,3339.0,38229147448,11450945,1167,D,3381.0,2016-03-09
Isf..Oil.Ref..Co.,20160308,3348.0,3440.0,3301.0,3381.0,41506661895,12274931,1550,D,3318.0,2016-03-08
Isf..Oil.Ref..Co.,20160307,3330.0,3409.0,3247.0,3318.0,31786802931,9578952,1188,D,3348.0,2016-03-07
Isf..Oil.Ref..Co.,20160306,3460.0,3460.0,3268.0,3348.0,43434759990,12973461,1649,D,3407.0,2016-03-06
Isf..Oil.Ref..Co.,20160305,3307.0,3420.0,3282.0,3407.0,84013499685,24658962,2443,D,3258.0,2016-03-05
Isf..Oil.Ref..Co.,20160302,3272.0,3399.0,3199.0,3258.0,38215329912,11730658,1388,D,3350.0,2016-03-02
Isf..Oil.Ref..Co.,20160301,3275.0,3450.0,3226.0,3350.0,145726614880,43494572,2460,D,3395.0,2016-03-01
Isf..Oil.Ref..Co.,20160229,3500.0,3560.0,3374.0,3395.0,52411989998,15438761,1682,D,3551.0,2016-02-29
Isf..Oil.Ref..Co.,20160228,3645.0,3645.0,3400.0,3551.0,128163296513,36092929,2944,D,3472.0,2016-02-28
Isf..Oil.Ref..Co.,20160227,3333.0,3480.0,3320.0,3472.0,82260330749,23694044,1484,D,3315.0,2016-02-27
Isf..Oil.Ref..Co.,20160224,3189.0,3437.0,3130.0,3315.0,80847925183,24391091,2377,D,3279.0,2016-02-24
Isf..Oil.Ref..Co.,20160223,3313.0,3313.0,3129.0,3279.0,134537017140,41035487,2658,D,3156.0,2016-02-23
Isf..Oil.Ref..Co.,20160222,3130.0,3159.0,3072.0,3156.0,76756222031,24319887,1264,D,3009.0,2016-02-22
Isf..Oil.Ref..Co.,20160221,2900.0,3037.0,2783.0,3009.0,139007615035,46194396,1582,D,2893.0,2016-02-21
Isf..Oil.Ref..Co.,20160220,3011.0,3030.0,2836.0,2893.0,45464249382,15713796,1385,D,2985.0,2016-02-20
Isf..Oil.Ref..Co.,20160217,2910.0,3060.0,2891.0,2985.0,48810179597,16350313,1596,D,3006.0,2016-02-17
Isf..Oil.Ref..Co.,20160216,3157.0,3157.0,2956.0,3006.0,33388213069,11106291,1254,D,3111.0,2016-02-16
Isf..Oil.Ref..Co.,20160215,3000.0,3150.0,2985.0,3111.0,85122242128,27363643,1699,D,3259.0,2016-02-15
Isf..Oil.Ref..Co.,20160213,3359.0,3379.0,3126.0,3259.0,8018381171,2465670,358,D,3288.0,2016-02-13
Isf..Oil.Ref..Co.,20160210,3150.0,3322.0,3140.0,3288.0,101164462500,30772139,2149,D,3164.0,2016-02-10
Isf..Oil.Ref..Co.,20160209,3169.0,3169.0,3070.0,3164.0,89033947717,28135317,1366,D,3019.0,2016-02-09
Isf..Oil.Ref..Co.,20160208,2929.0,3061.0,2890.0,3019.0,101284978209,33552627,2204,D,2916.0,2016-02-08
Isf..Oil.Ref..Co.,20160207,2900.0,2986.0,2850.0,2916.0,45735483072,15683037,1678,D,2903.0,2016-02-07
Isf..Oil.Ref..Co.,20160206,2860.0,2995.0,2810.0,2903.0,54723072012,18852293,2145,D,2939.0,2016-02-06
Isf..Oil.Ref..Co.,20160203,3000.0,3000.0,2822.0,2939.0,131750590475,44822327,3616,D,2943.0,2016-02-03
Isf..Oil.Ref..Co.,20160202,2943.0,2943.0,2943.0,2943.0,28873746513,9810991,323,D,2803.0,2016-02-02
Isf..Oil.Ref..Co.,20160201,2780.0,2812.0,2755.0,2803.0,31342708158,11181830,640,D,2679.0,2016-02-01
Isf..Oil.Ref..Co.,20160131,2650.0,2719.0,2510.0,2679.0,87362398748,32611344,2342,D,2590.0,2016-01-31
Isf..Oil.Ref..Co.,20160130,2510.0,2594.0,2506.0,2590.0,56813529049,21936685,1029,D,2471.0,2016-01-30
Isf..Oil.Ref..Co.,20160127,2472.0,2540.0,2381.0,2471.0,36594895853,14808622,1219,D,2424.0,2016-01-27
Isf..Oil.Ref..Co.,20160126,2427.0,2427.0,2372.0,2424.0,23904014769,9862322,420,D,2312.0,2016-01-26
Isf..Oil.Ref..Co.,20160125,2280.0,2364.0,2228.0,2312.0,25130785423,10867897,862,D,2252.0,2016-01-25
Isf..Oil.Ref..Co.,20160124,2200.0,2285.0,2190.0,2252.0,30243131207,13429390,1247,D,2187.0,2016-01-24
