<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,Date
Oil.Ind..Inv.,20160427,2550.0,2665.0,2530.0,2642.0,78770236981,29812455,2003,D,2539.0,2016-04-27
Oil.Ind..Inv.,20160426,2560.0,2579.0,2505.0,2539.0,14040224767,5529976,771,D,2604.0,2016-04-26
Oil.Ind..Inv.,20160425,2663.0,2669.0,2550.0,2604.0,36266068020,13929200,1540,D,2573.0,2016-04-25
Oil.Ind..Inv.,20160424,2447.0,2605.0,2446.0,2573.0,62574362123,24317752,2283,D,2481.0,2016-04-24
Oil.Ind..Inv.,20160423,2537.0,2548.0,2451.0,2481.0,15007515701,6048793,656,D,2530.0,2016-04-23
Oil.Ind..Inv.,20160420,2481.0,2552.0,2450.0,2530.0,57252363310,22629584,1892,D,2431.0,2016-04-20
Oil.Ind..Inv.,20160419,2480.0,2485.0,2390.0,2431.0,31074012879,12781151,1255,D,2490.0,2016-04-19
Oil.Ind..Inv.,20160418,2468.0,2551.0,2447.0,2490.0,33459970200,13438273,1477,D,2443.0,2016-04-18
Oil.Ind..Inv.,20160417,2341.0,2510.0,2301.0,2443.0,36349674357,14880286,1673,D,2412.0,2016-04-17
Oil.Ind..Inv.,20160416,2524.0,2587.0,2352.0,2412.0,56644784414,23488291,2189,D,2475.0,2016-04-16
Oil.Ind..Inv.,20160413,2400.0,2516.0,2386.0,2475.0,64855303069,26204834,2280,D,2397.0,2016-04-13
Oil.Ind..Inv.,20160412,2400.0,2424.0,2360.0,2397.0,18746184659,7820757,842,D,2426.0,2016-04-12
Oil.Ind..Inv.,20160411,2420.0,2468.0,2380.0,2426.0,23637685523,9743581,1345,D,2411.0,2016-04-11
Oil.Ind..Inv.,20160410,2320.0,2431.0,2300.0,2411.0,70409957794,29197934,2683,D,2316.0,2016-04-10
Oil.Ind..Inv.,20160409,2349.0,2369.0,2300.0,2316.0,14713913333,6352148,900,D,2296.0,2016-04-09
Oil.Ind..Inv.,20160406,2330.0,2339.0,2270.0,2296.0,8000706577,3484459,608,D,2320.0,2016-04-06
Oil.Ind..Inv.,20160405,2310.0,2350.0,2300.0,2320.0,18764663604,8088225,938,D,2292.0,2016-04-05
