<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPEN>,FIRST_1,FIRST_2,FIRST_3,FIRST_4,FIRST_5,FIRST_6,FIRST_7,FIRST_8,FIRST_9,FIRST_10,FIRST_11,FIRST_12,FIRST_13,FIRST_14,FIRST_15,FIRST_16,FIRST_17,FIRST_18,FIRST_19,FIRST_20,FIRST_21,FIRST_22,FIRST_23,FIRST_24,FIRST_25,FIRST_26,FIRST_27,FIRST_28,FIRST_29,FIRST_30,FIRST_31,FIRST_32,FIRST_33,FIRST_34,FIRST_35,FIRST_36,FIRST_37,FIRST_38,FIRST_39,FIRST_40,FIRST_41,FIRST_42,FIRST_43,FIRST_44,FIRST_45,FIRST_46,FIRST_47,FIRST_48,FIRST_49,FIRST_50,FIRST_51,FIRST_52,FIRST_53,FIRST_54,FIRST_55,FIRST_56,FIRST_57,FIRST_58,FIRST_59,FIRST_60,FIRST_61,FIRST_62,FIRST_63,FIRST_64,FIRST_65,FIRST_66,FIRST_67,FIRST_68,FIRST_69,FIRST_70
20160824,3238.0,3279.0,3201.0,3244.0,11909598,3240.0,3224.0,3180.0,3103.0,3112.0,3120.0,3058.0,2937.0,2970.0,2966.0,3080.0,3035.0,3049.0,3098.0,3031.0,3046.0,3020.0,2999.0,3007.0,3040.0,3250.0,3130.0,3089.0,3070.0,3242.0,3136.0,3187.0,3410.0,3405.0,3550.0,3421.0,3405.0,3560.0,3430.0,3335.0,3385.0,3365.0,3430.0,3411.0,3324.0,3325.0,3350.0,3350.0,3310.0,3321.0,3330.0,3282.0,3280.0,3180.0,3210.0,3418.0,3231.0,3200.0,3101.0,3120.0,3186.0,3098.0,3118.0,3120.0,3100.0,3050.0,3028.0,2960.0,2970.0,2801.0,2700.0,2758.0,2721.0,2712.0,2873.0,2799.0
20160823,3267.0,3280.0,3217.0,3240.0,13095816,3259.0,3238.0,3224.0,3180.0,3103.0,3112.0,3120.0,3058.0,2937.0,2970.0,2966.0,3080.0,3035.0,3049.0,3098.0,3031.0,3046.0,3020.0,2999.0,3007.0,3040.0,3250.0,3130.0,3089.0,3070.0,3242.0,3136.0,3187.0,3410.0,3405.0,3550.0,3421.0,3405.0,3560.0,3430.0,3335.0,3385.0,3365.0,3430.0,3411.0,3324.0,3325.0,3350.0,3350.0,3310.0,3321.0,3330.0,3282.0,3280.0,3180.0,3210.0,3418.0,3231.0,3200.0,3101.0,3120.0,3186.0,3098.0,3118.0,3120.0,3100.0,3050.0,3028.0,2960.0,2970.0,2801.0,2700.0,2758.0,2721.0,2712.0,2873.0
20160822,3150.0,3302.0,3150.0,3259.0,37232355,3147.0,3267.0,3238.0,3224.0,3180.0,3103.0,3112.0,3120.0,3058.0,2937.0,2970.0,2966.0,3080.0,3035.0,3049.0,3098.0,3031.0,3046.0,3020.0,2999.0,3007.0,3040.0,3250.0,3130.0,3089.0,3070.0,3242.0,3136.0,3187.0,3410.0,3405.0,3550.0,3421.0,3405.0,3560.0,3430.0,3335.0,3385.0,3365.0,3430.0,3411.0,3324.0,3325.0,3350.0,3350.0,3310.0,3321.0,3330.0,3282.0,3280.0,3180.0,3210.0,3418.0,3231.0,3200.0,3101.0,3120.0,3186.0,3098.0,3118.0,3120.0,3100.0,3050.0,3028.0,2960.0,2970.0,2801.0,2700.0,2758.0,2721.0,2712.0
20160821,3121.0,3170.0,3120.0,3147.0,15238372,3145.0,3150.0,3267.0,3238.0,3224.0,3180.0,3103.0,3112.0,3120.0,3058.0,2937.0,2970.0,2966.0,3080.0,3035.0,3049.0,3098.0,3031.0,3046.0,3020.0,2999.0,3007.0,3040.0,3250.0,3130.0,3089.0,3070.0,3242.0,3136.0,3187.0,3410.0,3405.0,3550.0,3421.0,3405.0,3560.0,3430.0,3335.0,3385.0,3365.0,3430.0,3411.0,3324.0,3325.0,3350.0,3350.0,3310.0,3321.0,3330.0,3282.0,3280.0,3180.0,3210.0,3418.0,3231.0,3200.0,3101.0,3120.0,3186.0,3098.0,3118.0,3120.0,3100.0,3050.0,3028.0,2960.0,2970.0,2801.0,2700.0,2758.0,2721.0
20160820,3190.0,3196.0,3125.0,3145.0,14700306,3157.0,3121.0,3150.0,3267.0,3238.0,3224.0,3180.0,3103.0,3112.0,3120.0,3058.0,2937.0,2970.0,2966.0,3080.0,3035.0,3049.0,3098.0,3031.0,3046.0,3020.0,2999.0,3007.0,3040.0,3250.0,3130.0,3089.0,3070.0,3242.0,3136.0,3187.0,3410.0,3405.0,3550.0,3421.0,3405.0,3560.0,3430.0,3335.0,3385.0,3365.0,3430.0,3411.0,3324.0,3325.0,3350.0,3350.0,3310.0,3321.0,3330.0,3282.0,3280.0,3180.0,3210.0,3418.0,3231.0,3200.0,3101.0,3120.0,3186.0,3098.0,3118.0,3120.0,3100.0,3050.0,3028.0,2960.0,2970.0,2801.0,2700.0,2758.0
20160817,3170.0,3199.0,3145.0,3157.0,10210168,3158.0,3190.0,3121.0,3150.0,3267.0,3238.0,3224.0,3180.0,3103.0,3112.0,3120.0,3058.0,2937.0,2970.0,2966.0,3080.0,3035.0,3049.0,3098.0,3031.0,3046.0,3020.0,2999.0,3007.0,3040.0,3250.0,3130.0,3089.0,3070.0,3242.0,3136.0,3187.0,3410.0,3405.0,3550.0,3421.0,3405.0,3560.0,3430.0,3335.0,3385.0,3365.0,3430.0,3411.0,3324.0,3325.0,3350.0,3350.0,3310.0,3321.0,3330.0,3282.0,3280.0,3180.0,3210.0,3418.0,3231.0,3200.0,3101.0,3120.0,3186.0,3098.0,3118.0,3120.0,3100.0,3050.0,3028.0,2960.0,2970.0,2801.0,2700.0
20160816,3170.0,3200.0,3145.0,3158.0,9406838,3174.0,3170.0,3190.0,3121.0,3150.0,3267.0,3238.0,3224.0,3180.0,3103.0,3112.0,3120.0,3058.0,2937.0,2970.0,2966.0,3080.0,3035.0,3049.0,3098.0,3031.0,3046.0,3020.0,2999.0,3007.0,3040.0,3250.0,3130.0,3089.0,3070.0,3242.0,3136.0,3187.0,3410.0,3405.0,3550.0,3421.0,3405.0,3560.0,3430.0,3335.0,3385.0,3365.0,3430.0,3411.0,3324.0,3325.0,3350.0,3350.0,3310.0,3321.0,3330.0,3282.0,3280.0,3180.0,3210.0,3418.0,3231.0,3200.0,3101.0,3120.0,3186.0,3098.0,3118.0,3120.0,3100.0,3050.0,3028.0,2960.0,2970.0,2801.0
20160815,3175.0,3200.0,3156.0,3174.0,11653874,3214.0,3170.0,3170.0,3190.0,3121.0,3150.0,3267.0,3238.0,3224.0,3180.0,3103.0,3112.0,3120.0,3058.0,2937.0,2970.0,2966.0,3080.0,3035.0,3049.0,3098.0,3031.0,3046.0,3020.0,2999.0,3007.0,3040.0,3250.0,3130.0,3089.0,3070.0,3242.0,3136.0,3187.0,3410.0,3405.0,3550.0,3421.0,3405.0,3560.0,3430.0,3335.0,3385.0,3365.0,3430.0,3411.0,3324.0,3325.0,3350.0,3350.0,3310.0,3321.0,3330.0,3282.0,3280.0,3180.0,3210.0,3418.0,3231.0,3200.0,3101.0,3120.0,3186.0,3098.0,3118.0,3120.0,3100.0,3050.0,3028.0,2960.0,2970.0
20160814,3249.0,3297.0,3170.0,3214.0,14441843,3229.0,3175.0,3170.0,3170.0,3190.0,3121.0,3150.0,3267.0,3238.0,3224.0,3180.0,3103.0,3112.0,3120.0,3058.0,2937.0,2970.0,2966.0,3080.0,3035.0,3049.0,3098.0,3031.0,3046.0,3020.0,2999.0,3007.0,3040.0,3250.0,3130.0,3089.0,3070.0,3242.0,3136.0,3187.0,3410.0,3405.0,3550.0,3421.0,3405.0,3560.0,3430.0,3335.0,3385.0,3365.0,3430.0,3411.0,3324.0,3325.0,3350.0,3350.0,3310.0,3321.0,3330.0,3282.0,3280.0,3180.0,3210.0,3418.0,3231.0,3200.0,3101.0,3120.0,3186.0,3098.0,3118.0,3120.0,3100.0,3050.0,3028.0,2960.0
20160813,3199.0,3262.0,3171.0,3229.0,14942656,3203.0,3249.0,3175.0,3170.0,3170.0,3190.0,3121.0,3150.0,3267.0,3238.0,3224.0,3180.0,3103.0,3112.0,3120.0,3058.0,2937.0,2970.0,2966.0,3080.0,3035.0,3049.0,3098.0,3031.0,3046.0,3020.0,2999.0,3007.0,3040.0,3250.0,3130.0,3089.0,3070.0,3242.0,3136.0,3187.0,3410.0,3405.0,3550.0,3421.0,3405.0,3560.0,3430.0,3335.0,3385.0,3365.0,3430.0,3411.0,3324.0,3325.0,3350.0,3350.0,3310.0,3321.0,3330.0,3282.0,3280.0,3180.0,3210.0,3418.0,3231.0,3200.0,3101.0,3120.0,3186.0,3098.0,3118.0,3120.0,3100.0,3050.0,3028.0
