DTYYYYMMDD,FIRST,HIGH,LOW,CLOSE,VOL,OPEN,FIRST_1,FIRST_2,FIRST_3,FIRST_4,FIRST_5,FIRST_6,FIRST_7,FIRST_8,FIRST_9,FIRST_10,FIRST_11,FIRST_12,FIRST_13,FIRST_14,FIRST_15,FIRST_16,FIRST_17,FIRST_18,FIRST_19,FIRST_20,FIRST_21,FIRST_22,FIRST_23,FIRST_24,FIRST_25,FIRST_26,FIRST_27,FIRST_28,FIRST_29,FIRST_30,FIRST_31,FIRST_32,FIRST_33,FIRST_34,FIRST_35,FIRST_36,FIRST_37,FIRST_38,FIRST_39,FIRST_40,FIRST_41,FIRST_42,FIRST_43,FIRST_44,FIRST_45,FIRST_46,FIRST_47,FIRST_48,FIRST_49,FIRST_50,FIRST_51,FIRST_52,FIRST_53,FIRST_54,FIRST_55,FIRST_56,FIRST_57,FIRST_58,FIRST_59,FIRST_60,FIRST_61,FIRST_62,FIRST_63,FIRST_64,FIRST_65,FIRST_66,FIRST_67,FIRST_68,FIRST_69,FIRST_70,Date,Average_Polarity
20150103,2690.0,2748.0,2666.0,2696.0,24614273,2660.0,2692.0,2700.0,2670.0,2560.0,2601.0,2435.0,2500.0,2627.0,2600.0,2612.0,2607.0,2501.0,2520.0,2399.0,2362.0,2378.0,2449.0,2429.0,2495.0,2589.0,2690.0,2659.0,2724.0,2733.0,2770.0,2751.0,2699.0,2624.0,2705.0,2730.0,2741.0,2798.0,2796.0,2680.0,2622.0,2600.0,2680.0,2601.0,2577.0,2530.0,2675.0,2620.0,2600.0,2500.0,2461.0,2531.0,2719.0,2780.0,2639.0,2749.0,2810.0,2789.0,2937.0,2920.0,2790.0,2998.0,3117.0,3241.0,3120.0,3060.0,3100.0,3001.0,2945.0,3001.0,2960.0,2950.0,2860.0,2900.0,2801.0,2880.0,,0.0
20150104,2692.0,2752.0,2690.0,2730.0,5708040,2696.0,2700.0,2670.0,2560.0,2601.0,2435.0,2500.0,2627.0,2600.0,2612.0,2607.0,2501.0,2520.0,2399.0,2362.0,2378.0,2449.0,2429.0,2495.0,2589.0,2690.0,2659.0,2724.0,2733.0,2770.0,2751.0,2699.0,2624.0,2705.0,2730.0,2741.0,2798.0,2796.0,2680.0,2622.0,2600.0,2680.0,2601.0,2577.0,2530.0,2675.0,2620.0,2600.0,2500.0,2461.0,2531.0,2719.0,2780.0,2639.0,2749.0,2810.0,2789.0,2937.0,2920.0,2790.0,2998.0,3117.0,3241.0,3120.0,3060.0,3100.0,3001.0,2945.0,3001.0,2960.0,2950.0,2860.0,2900.0,2801.0,2880.0,2938.0,,0.0
20150105,2700.0,2750.0,2625.0,2670.0,5333646,2730.0,2670.0,2560.0,2601.0,2435.0,2500.0,2627.0,2600.0,2612.0,2607.0,2501.0,2520.0,2399.0,2362.0,2378.0,2449.0,2429.0,2495.0,2589.0,2690.0,2659.0,2724.0,2733.0,2770.0,2751.0,2699.0,2624.0,2705.0,2730.0,2741.0,2798.0,2796.0,2680.0,2622.0,2600.0,2680.0,2601.0,2577.0,2530.0,2675.0,2620.0,2600.0,2500.0,2461.0,2531.0,2719.0,2780.0,2639.0,2749.0,2810.0,2789.0,2937.0,2920.0,2790.0,2998.0,3117.0,3241.0,3120.0,3060.0,3100.0,3001.0,2945.0,3001.0,2960.0,2950.0,2860.0,2900.0,2801.0,2880.0,2938.0,2842.0,,0.0
20150106,2670.0,2670.0,2570.0,2588.0,14217548,2670.0,2560.0,2601.0,2435.0,2500.0,2627.0,2600.0,2612.0,2607.0,2501.0,2520.0,2399.0,2362.0,2378.0,2449.0,2429.0,2495.0,2589.0,2690.0,2659.0,2724.0,2733.0,2770.0,2751.0,2699.0,2624.0,2705.0,2730.0,2741.0,2798.0,2796.0,2680.0,2622.0,2600.0,2680.0,2601.0,2577.0,2530.0,2675.0,2620.0,2600.0,2500.0,2461.0,2531.0,2719.0,2780.0,2639.0,2749.0,2810.0,2789.0,2937.0,2920.0,2790.0,2998.0,3117.0,3241.0,3120.0,3060.0,3100.0,3001.0,2945.0,3001.0,2960.0,2950.0,2860.0,2900.0,2801.0,2880.0,2938.0,2842.0,2848.0,,0.0
20150107,2560.0,2623.0,2540.0,2589.0,17130949,2588.0,2601.0,2435.0,2500.0,2627.0,2600.0,2612.0,2607.0,2501.0,2520.0,2399.0,2362.0,2378.0,2449.0,2429.0,2495.0,2589.0,2690.0,2659.0,2724.0,2733.0,2770.0,2751.0,2699.0,2624.0,2705.0,2730.0,2741.0,2798.0,2796.0,2680.0,2622.0,2600.0,2680.0,2601.0,2577.0,2530.0,2675.0,2620.0,2600.0,2500.0,2461.0,2531.0,2719.0,2780.0,2639.0,2749.0,2810.0,2789.0,2937.0,2920.0,2790.0,2998.0,3117.0,3241.0,3120.0,3060.0,3100.0,3001.0,2945.0,3001.0,2960.0,2950.0,2860.0,2900.0,2801.0,2880.0,2938.0,2842.0,2848.0,2770.0,,0.0
20150110,2601.0,2613.0,2486.0,2499.0,9888322,2589.0,2435.0,2500.0,2627.0,2600.0,2612.0,2607.0,2501.0,2520.0,2399.0,2362.0,2378.0,2449.0,2429.0,2495.0,2589.0,2690.0,2659.0,2724.0,2733.0,2770.0,2751.0,2699.0,2624.0,2705.0,2730.0,2741.0,2798.0,2796.0,2680.0,2622.0,2600.0,2680.0,2601.0,2577.0,2530.0,2675.0,2620.0,2600.0,2500.0,2461.0,2531.0,2719.0,2780.0,2639.0,2749.0,2810.0,2789.0,2937.0,2920.0,2790.0,2998.0,3117.0,3241.0,3120.0,3060.0,3100.0,3001.0,2945.0,3001.0,2960.0,2950.0,2860.0,2900.0,2801.0,2880.0,2938.0,2842.0,2848.0,2770.0,2848.0,,0.0
20150111,2435.0,2522.0,2400.0,2435.0,20358077,2499.0,2500.0,2627.0,2600.0,2612.0,2607.0,2501.0,2520.0,2399.0,2362.0,2378.0,2449.0,2429.0,2495.0,2589.0,2690.0,2659.0,2724.0,2733.0,2770.0,2751.0,2699.0,2624.0,2705.0,2730.0,2741.0,2798.0,2796.0,2680.0,2622.0,2600.0,2680.0,2601.0,2577.0,2530.0,2675.0,2620.0,2600.0,2500.0,2461.0,2531.0,2719.0,2780.0,2639.0,2749.0,2810.0,2789.0,2937.0,2920.0,2790.0,2998.0,3117.0,3241.0,3120.0,3060.0,3100.0,3001.0,2945.0,3001.0,2960.0,2950.0,2860.0,2900.0,2801.0,2880.0,2938.0,2842.0,2848.0,2770.0,2848.0,2831.0,,0.0
20150112,2500.0,2532.0,2500.0,2526.0,3961029,2435.0,2627.0,2600.0,2612.0,2607.0,2501.0,2520.0,2399.0,2362.0,2378.0,2449.0,2429.0,2495.0,2589.0,2690.0,2659.0,2724.0,2733.0,2770.0,2751.0,2699.0,2624.0,2705.0,2730.0,2741.0,2798.0,2796.0,2680.0,2622.0,2600.0,2680.0,2601.0,2577.0,2530.0,2675.0,2620.0,2600.0,2500.0,2461.0,2531.0,2719.0,2780.0,2639.0,2749.0,2810.0,2789.0,2937.0,2920.0,2790.0,2998.0,3117.0,3241.0,3120.0,3060.0,3100.0,3001.0,2945.0,3001.0,2960.0,2950.0,2860.0,2900.0,2801.0,2880.0,2938.0,2842.0,2848.0,2770.0,2848.0,2831.0,2706.0,,0.0
20150113,2627.0,2627.0,2510.0,2601.0,19639862,2526.0,2600.0,2612.0,2607.0,2501.0,2520.0,2399.0,2362.0,2378.0,2449.0,2429.0,2495.0,2589.0,2690.0,2659.0,2724.0,2733.0,2770.0,2751.0,2699.0,2624.0,2705.0,2730.0,2741.0,2798.0,2796.0,2680.0,2622.0,2600.0,2680.0,2601.0,2577.0,2530.0,2675.0,2620.0,2600.0,2500.0,2461.0,2531.0,2719.0,2780.0,2639.0,2749.0,2810.0,2789.0,2937.0,2920.0,2790.0,2998.0,3117.0,3241.0,3120.0,3060.0,3100.0,3001.0,2945.0,3001.0,2960.0,2950.0,2860.0,2900.0,2801.0,2880.0,2938.0,2842.0,2848.0,2770.0,2848.0,2831.0,2706.0,2667.0,,0.0
20150114,2600.0,2649.0,2572.0,2611.0,7397761,2601.0,2612.0,2607.0,2501.0,2520.0,2399.0,2362.0,2378.0,2449.0,2429.0,2495.0,2589.0,2690.0,2659.0,2724.0,2733.0,2770.0,2751.0,2699.0,2624.0,2705.0,2730.0,2741.0,2798.0,2796.0,2680.0,2622.0,2600.0,2680.0,2601.0,2577.0,2530.0,2675.0,2620.0,2600.0,2500.0,2461.0,2531.0,2719.0,2780.0,2639.0,2749.0,2810.0,2789.0,2937.0,2920.0,2790.0,2998.0,3117.0,3241.0,3120.0,3060.0,3100.0,3001.0,2945.0,3001.0,2960.0,2950.0,2860.0,2900.0,2801.0,2880.0,2938.0,2842.0,2848.0,2770.0,2848.0,2831.0,2706.0,2667.0,2701.0,,0.0
