DTYYYYMMDD,CURRENT_FIRST,CURRENT_HIGH,CURRENT_LOW,CURRENT_CLOSE,CURRENT_VOL,CURRENT_OPEN,CURRENT_Action,CURRENT_Moving_Average,CURRENT_Exponential_Moving_Average,CURRENT_Return_Rate,PREVIOUS_1_FIRST,PREVIOUS_1_HIGH,PREVIOUS_1_LOW,PREVIOUS_1_CLOSE,PREVIOUS_1_VOL,PREVIOUS_1_OPEN,PREVIOUS_1_Action,PREVIOUS_1_Moving_Average,PREVIOUS_1_Exponential_Moving_Average,PREVIOUS_1_Return_Rate,PREVIOUS_2_FIRST,PREVIOUS_2_HIGH,PREVIOUS_2_LOW,PREVIOUS_2_CLOSE,PREVIOUS_2_VOL,PREVIOUS_2_OPEN,PREVIOUS_2_Action,PREVIOUS_2_Moving_Average,PREVIOUS_2_Exponential_Moving_Average,PREVIOUS_2_Return_Rate,PREVIOUS_3_FIRST,PREVIOUS_3_HIGH,PREVIOUS_3_LOW,PREVIOUS_3_CLOSE,PREVIOUS_3_VOL,PREVIOUS_3_OPEN,PREVIOUS_3_Action,PREVIOUS_3_Moving_Average,PREVIOUS_3_Exponential_Moving_Average,PREVIOUS_3_Return_Rate,PREVIOUS_4_FIRST,PREVIOUS_4_HIGH,PREVIOUS_4_LOW,PREVIOUS_4_CLOSE,PREVIOUS_4_VOL,PREVIOUS_4_OPEN,PREVIOUS_4_Action,PREVIOUS_4_Moving_Average,PREVIOUS_4_Exponential_Moving_Average,PREVIOUS_4_Return_Rate,PREVIOUS_5_FIRST,PREVIOUS_5_HIGH,PREVIOUS_5_LOW,PREVIOUS_5_CLOSE,PREVIOUS_5_VOL,PREVIOUS_5_OPEN,PREVIOUS_5_Action,PREVIOUS_5_Moving_Average,PREVIOUS_5_Exponential_Moving_Average,PREVIOUS_5_Return_Rate,PREVIOUS_6_FIRST,PREVIOUS_6_HIGH,PREVIOUS_6_LOW,PREVIOUS_6_CLOSE,PREVIOUS_6_VOL,PREVIOUS_6_OPEN,PREVIOUS_6_Action,PREVIOUS_6_Moving_Average,PREVIOUS_6_Exponential_Moving_Average,PREVIOUS_6_Return_Rate
20150317.0,4650.0,4690.0,4464.0,4510.0,34786774.0,8927.0,1.0,0.0,4650.0,-0.4947910832306486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20150318.0,4650.0,4690.0,4570.0,4679.0,13916539.0,4510.0,1.0,0.0,4650.0,0.0374722838137472,4650.0,4690.0,4464.0,4510.0,34786774.0,8927.0,1.0,0.0,4650.0,-0.4947910832306486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20150325.0,4866.0,4866.0,4866.0,4800.0,1382859.0,4679.0,1.0,0.0,4693.2,0.0258602265441333,4650.0,4690.0,4570.0,4679.0,13916539.0,4510.0,1.0,0.0,4650.0,0.0374722838137472,4650.0,4690.0,4464.0,4510.0,34786774.0,8927.0,1.0,0.0,4650.0,-0.4947910832306486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20150328.0,4992.0,4992.0,4992.0,4988.0,2045286.0,4800.0,1.0,0.0,4752.96,0.0391666666666666,4866.0,4866.0,4866.0,4800.0,1382859.0,4679.0,1.0,0.0,4693.2,0.0258602265441333,4650.0,4690.0,4570.0,4679.0,13916539.0,4510.0,1.0,0.0,4650.0,0.0374722838137472,4650.0,4690.0,4464.0,4510.0,34786774.0,8927.0,1.0,0.0,4650.0,-0.4947910832306486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20150329.0,5187.0,5187.0,5187.0,5187.0,2961941.0,4988.0,1.0,0.0,4839.768,0.0398957497995188,4992.0,4992.0,4992.0,4988.0,2045286.0,4800.0,1.0,0.0,4752.96,0.0391666666666666,4866.0,4866.0,4866.0,4800.0,1382859.0,4679.0,1.0,0.0,4693.2,0.0258602265441333,4650.0,4690.0,4570.0,4679.0,13916539.0,4510.0,1.0,0.0,4650.0,0.0374722838137472,4650.0,4690.0,4464.0,4510.0,34786774.0,8927.0,1.0,0.0,4650.0,-0.4947910832306486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20150330.0,5394.0,5394.0,5394.0,5394.0,2604627.0,5187.0,1.0,0.0,4950.6144,0.0399074609600925,5187.0,5187.0,5187.0,5187.0,2961941.0,4988.0,1.0,0.0,4839.768,0.0398957497995188,4992.0,4992.0,4992.0,4988.0,2045286.0,4800.0,1.0,0.0,4752.96,0.0391666666666666,4866.0,4866.0,4866.0,4800.0,1382859.0,4679.0,1.0,0.0,4693.2,0.0258602265441333,4650.0,4690.0,4570.0,4679.0,13916539.0,4510.0,1.0,0.0,4650.0,0.0374722838137472,4650.0,4690.0,4464.0,4510.0,34786774.0,8927.0,1.0,0.0,4650.0,-0.4947910832306486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20150331.0,5609.0,5609.0,5609.0,5609.0,2419495.0,5394.0,1.0,5049.714285714285,5082.291520000001,0.0398591027067111,5394.0,5394.0,5394.0,5394.0,2604627.0,5187.0,1.0,0.0,4950.6144,0.0399074609600925,5187.0,5187.0,5187.0,5187.0,2961941.0,4988.0,1.0,0.0,4839.768,0.0398957497995188,4992.0,4992.0,4992.0,4988.0,2045286.0,4800.0,1.0,0.0,4752.96,0.0391666666666666,4866.0,4866.0,4866.0,4800.0,1382859.0,4679.0,1.0,0.0,4693.2,0.0258602265441333,4650.0,4690.0,4570.0,4679.0,13916539.0,4510.0,1.0,0.0,4650.0,0.0374722838137472,4650.0,4690.0,4464.0,4510.0,34786774.0,8927.0,1.0,0.0,4650.0,-0.4947910832306486
20150404.0,5833.0,5833.0,5833.0,5833.0,1927511.0,5609.0,1.0,5218.714285714285,5232.433216000001,0.0399358174362631,5609.0,5609.0,5609.0,5609.0,2419495.0,5394.0,1.0,5049.714285714285,5082.291520000001,0.0398591027067111,5394.0,5394.0,5394.0,5394.0,2604627.0,5187.0,1.0,0.0,4950.6144,0.0399074609600925,5187.0,5187.0,5187.0,5187.0,2961941.0,4988.0,1.0,0.0,4839.768,0.0398957497995188,4992.0,4992.0,4992.0,4988.0,2045286.0,4800.0,1.0,0.0,4752.96,0.0391666666666666,4866.0,4866.0,4866.0,4800.0,1382859.0,4679.0,1.0,0.0,4693.2,0.0258602265441333,4650.0,4690.0,4570.0,4679.0,13916539.0,4510.0,1.0,0.0,4650.0,0.0374722838137472
20150405.0,6066.0,6066.0,6066.0,6065.0,1799378.0,5833.0,1.0,5421.0,5399.146572800001,0.0397737013543631,5833.0,5833.0,5833.0,5833.0,1927511.0,5609.0,1.0,5218.714285714285,5232.433216000001,0.0399358174362631,5609.0,5609.0,5609.0,5609.0,2419495.0,5394.0,1.0,5049.714285714285,5082.291520000001,0.0398591027067111,5394.0,5394.0,5394.0,5394.0,2604627.0,5187.0,1.0,0.0,4950.6144,0.0399074609600925,5187.0,5187.0,5187.0,5187.0,2961941.0,4988.0,1.0,0.0,4839.768,0.0398957497995188,4992.0,4992.0,4992.0,4988.0,2045286.0,4800.0,1.0,0.0,4752.96,0.0391666666666666,4866.0,4866.0,4866.0,4800.0,1382859.0,4679.0,1.0,0.0,4693.2,0.0258602265441333
20150406.0,6550.0,6812.0,6320.0,6673.0,35193199.0,6065.0,1.0,5661.571428571428,5629.317258240001,0.1002473206924979,6066.0,6066.0,6066.0,6065.0,1799378.0,5833.0,1.0,5421.0,5399.146572800001,0.0397737013543631,5833.0,5833.0,5833.0,5833.0,1927511.0,5609.0,1.0,5218.714285714285,5232.433216000001,0.0399358174362631,5609.0,5609.0,5609.0,5609.0,2419495.0,5394.0,1.0,5049.714285714285,5082.291520000001,0.0398591027067111,5394.0,5394.0,5394.0,5394.0,2604627.0,5187.0,1.0,0.0,4950.6144,0.0399074609600925,5187.0,5187.0,5187.0,5187.0,2961941.0,4988.0,1.0,0.0,4839.768,0.0398957497995188,4992.0,4992.0,4992.0,4988.0,2045286.0,4800.0,1.0,0.0,4752.96,0.0391666666666666
