DTYYYYMMDD,FIRST,HIGH,LOW,CLOSE,VOL,OPEN,Action,Moving_Average,Exponential_Moving_Average,Return_Rate
20150317,4650.0,4690.0,4464.0,4510.0,34786774,8927.0,1.0,0.0,4650.0,-0.4947910832306486
20150318,4650.0,4690.0,4570.0,4679.0,13916539,4510.0,1.0,0.0,4650.0,0.03747228381374723
20150325,4866.0,4866.0,4866.0,4800.0,1382859,4679.0,1.0,0.0,4693.2,0.025860226544133363
20150328,4992.0,4992.0,4992.0,4988.0,2045286,4800.0,1.0,0.0,4752.96,0.03916666666666667
20150329,5187.0,5187.0,5187.0,5187.0,2961941,4988.0,1.0,0.0,4839.768,0.03989574979951885
20150330,5394.0,5394.0,5394.0,5394.0,2604627,5187.0,1.0,0.0,4950.6144,0.03990746096009254
20150331,5609.0,5609.0,5609.0,5609.0,2419495,5394.0,1.0,5049.714285714285,5082.291520000001,0.03985910270671116
20150404,5833.0,5833.0,5833.0,5833.0,1927511,5609.0,1.0,5218.714285714285,5232.433216000001,0.03993581743626315
20150405,6066.0,6066.0,6066.0,6065.0,1799378,5833.0,1.0,5421.0,5399.146572800001,0.03977370135436311
20150406,6550.0,6812.0,6320.0,6673.0,35193199,6065.0,1.0,5661.571428571428,5629.317258240001,0.10024732069249793
20150407,6830.0,6900.0,6500.0,6733.0,11278224,6673.0,1.0,5924.142857142857,5869.4538065920015,0.008991458114790948
20150408,6600.0,7002.0,6570.0,6898.0,9021777,6733.0,1.0,6126.0,6015.563045273601,0.024506163671468885
20150411,7100.0,7173.0,6855.0,7159.0,22400899,6898.0,1.0,6369.714285714285,6232.450436218881,0.037837054218614094
20150412,7280.0,7280.0,6873.0,7028.0,18238058,7159.0,1.0,6608.428571428572,6441.960348975105,-0.01829864506215952
20150413,6760.0,6989.0,6747.0,6787.0,5839119,7028.0,1.0,6740.857142857143,6505.568279180085,-0.03429140580535003
20150414,6745.0,6800.0,6516.0,6558.0,15242607,6787.0,1.0,6837.857142857143,6553.454623344068,-0.03374097539413585
