DTYYYYMMDD,FIRST,HIGH,LOW,CLOSE,VOL,OPEN,Action,Moving_Average,Exponential_Moving_Average,Return_Rate
20150317,3165.0,3291.0,3165.0,3231.0,8415121,9751.0,1.0,0.0,3165.0,-0.6686493692954569
20150318,3360.0,3360.0,3360.0,3290.0,1411847,3231.0,1.0,0.0,3204.0,0.018260600433302382
20150325,3421.0,3421.0,3421.0,3355.0,1503175,3290.0,1.0,0.0,3247.4000000000005,0.019756838905775075
20150328,3489.0,3489.0,3489.0,3358.0,56174,3355.0,1.0,0.0,3295.7200000000007,0.0008941877794336811
20150329,3492.0,3492.0,3492.0,3421.0,1407289,3358.0,1.0,0.0,3334.976000000001,0.01876116736152472
20150330,3557.0,3557.0,3557.0,3509.0,1928599,3421.0,1.0,0.0,3379.3808000000013,0.02572347266881029
20150331,3649.0,3649.0,3649.0,3568.0,1265893,3509.0,1.0,3447.5714285714284,3433.304640000001,0.016813907096038756
20150404,3710.0,3710.0,3710.0,3569.0,11143,3568.0,1.0,3525.4285714285716,3488.643712000001,0.0002802690582959641
20150405,3854.0,4008.0,3854.0,4008.0,219155,3569.0,1.0,3596.0,3561.714969600001,0.12300364247688428
20150406,4168.0,4168.0,4168.0,4015.0,110141,4008.0,1.0,3702.714285714286,3682.971975680001,0.001746506986027944
20150407,4175.0,4175.0,4175.0,4015.0,2061,4015.0,1.0,3800.714285714286,3781.377580544001,0.0
20150408,4175.0,4175.0,4175.0,4016.0,19046,4015.0,1.0,3898.285714285714,3860.102064435201,0.00024906600249066
20150411,4176.0,4176.0,4176.0,4020.0,67009,4016.0,1.0,3986.714285714286,3923.281651548161,0.00099601593625498
20150412,4180.0,4180.0,4180.0,4021.0,17965,4020.0,1.0,4062.5714285714284,3974.625321238529,0.0002487562189054726
20150413,4342.0,4515.0,4342.0,4514.0,45313,4021.0,1.0,4152.857142857143,4048.1002569908237,0.1226063168366078
20150414,4694.0,4694.0,4694.0,4518.0,52037,4514.0,1.0,4272.857142857143,4177.2802055926595,0.0008861320336730173
20150415,4698.0,4698.0,4698.0,4519.0,9299,4518.0,1.0,4348.571428571428,4281.424164474128,0.0002213368747233289
20150418,4699.0,4699.0,4699.0,4620.0,1240038,4519.0,1.0,4423.428571428572,4364.939331579302,0.022350077450763443
20150419,4804.0,4804.0,4804.0,4778.0,1895494,4620.0,1.0,4513.285714285715,4452.751465263442,0.0341991341991342
20150420,4969.0,4969.0,4969.0,4969.0,2965781,4778.0,1.0,4626.571428571428,4556.001172210754,0.03997488488907493
20150422,5725.0,5900.0,5496.0,5595.0,78427067,4969.0,1.0,4847.285714285715,4789.800937768603,0.1259810827128195
20150425,5744.0,5818.0,5650.0,5785.0,23146343,5595.0,1.0,5047.571428571428,4980.640750214882,0.03395889186773905
20150426,5780.0,5780.0,5554.0,5620.0,7458728,5785.0,1.0,5202.714285714285,5140.512600171905,-0.028522039757994815
20150427,5396.0,5396.0,5396.0,5448.0,1372445,5620.0,1.0,5302.428571428572,5191.610080137524,-0.030604982206405694
20150428,5231.0,5320.0,5231.0,5235.0,17405588,5448.0,1.0,5378.428571428572,5199.488064110019,-0.03909691629955947
20150429,5200.0,5394.0,5141.0,5251.0,4704629,5235.0,1.0,5435.0,5199.590451288015,0.0030563514804202484
20150503,5310.0,5310.0,5041.0,5091.0,4862711,5251.0,1.0,5483.714285714285,5221.6723610304125,-0.030470386593029898
