DTYYYYMMDD,FIRST,HIGH,LOW,CLOSE,VOL,OPEN,Action,Moving_Average,Exponential_Moving_Average,Return_Rate
20150103,3101.0,3126.0,3070.0,3119.0,6491077,3006.0,1.0,0.0,3101.0,0.03759148369926813
20150104,3243.0,3243.0,3243.0,3243.0,2238344,3119.0,1.0,0.0,3129.4,0.039756332157742866
20150105,3372.0,3372.0,3166.0,3298.0,12501573,3243.0,1.0,0.0,3177.9200000000005,0.016959605303731112
20150106,3200.0,3200.0,3167.0,3171.0,2815801,3298.0,1.0,0.0,3182.3360000000007,-0.03850818677986659
20150107,3045.0,3140.0,3045.0,3052.0,10368391,3171.0,1.0,0.0,3154.8688000000006,-0.037527593818984545
20150110,3020.0,3020.0,2930.0,2945.0,2815771,3052.0,1.0,0.0,3127.895040000001,-0.03505897771952818
20150111,2828.0,2997.0,2828.0,2870.0,8222409,2945.0,1.0,3115.5714285714284,3067.9160320000005,-0.025466893039049237
20150112,2950.0,2984.0,2900.0,2967.0,10351991,2870.0,1.0,3094.0,3044.3328256000004,0.033797909407665506
20150125,2617.0,2617.0,2540.0,2567.0,1411964,2788.0,1.0,3004.5714285714284,2958.8662604800006,-0.07926829268292683
20150126,2491.0,2655.0,2475.0,2528.0,3136548,2567.0,1.0,2878.714285714286,2865.293008384001,-0.015192832099727308
20150127,2451.0,2599.0,2451.0,2552.0,2269749,2528.0,1.0,2771.714285714286,2782.4344067072007,0.00949367088607595
20150128,2566.0,2654.0,2566.0,2648.0,933542,2552.0,1.0,2703.285714285714,2739.147525365761,0.03761755485893417
20150131,2753.0,2753.0,2753.0,2753.0,622477,2648.0,1.0,2665.1428571428573,2741.9180202926086,0.03965256797583082
20150201,2863.0,2863.0,2863.0,2863.0,1751415,2753.0,1.0,2670.1428571428573,2766.134416234087,0.03995641118779513
20150202,2977.0,2977.0,2911.0,2972.0,17304260,2863.0,1.0,2674.0,2808.30753298727,0.03807195249738037
20150203,3025.0,3090.0,3010.0,3080.0,14625990,2972.0,1.0,2732.285714285714,2851.646026389816,0.03633916554508748
20150204,3180.0,3203.0,3105.0,3186.0,10770785,3080.0,1.0,2830.714285714286,2917.316821111853,0.03441558441558441
20150207,3220.0,3299.0,3110.0,3209.0,9479650,3186.0,1.0,2940.5714285714284,2977.8534568894825,0.007219083490269931
20150208,3153.0,3198.0,3081.0,3104.0,7041154,3209.0,1.0,3024.4285714285716,3012.882765511586,-0.03272047366780929
20150209,3050.0,3069.0,2980.0,2994.0,5963812,3104.0,1.0,3066.8571428571427,3020.306212409269,-0.035438144329896906
20150210,2882.0,3113.0,2875.0,3019.0,16780879,2994.0,1.0,3069.5714285714284,2992.6449699274153,0.008350033400133601
20150214,3139.0,3139.0,3121.0,3139.0,18077943,3019.0,1.0,3092.714285714286,3021.9159759419326,0.03974826101358066
20150215,3190.0,3249.0,3130.0,3191.0,11893703,3139.0,1.0,3116.285714285714,3055.5327807535464,0.01656578528193692
20150216,3201.0,3245.0,3138.0,3191.0,9700262,3191.0,1.0,3119.285714285714,3084.6262246028373,0.0
20150217,3169.0,3229.0,3065.0,3123.0,5986209,3191.0,1.0,3112.0,3101.50097968227,-0.02130993418990912
20150218,3040.0,3120.0,2999.0,3031.0,6741581,3123.0,1.0,3095.8571428571427,3089.2007837458164,-0.02945885366634646
20150221,2981.0,3087.0,2981.0,3048.0,2656137,3031.0,1.0,3086.0,3067.560626996653,0.005608709996700759
20150222,3075.0,3075.0,2927.0,2950.0,5809796,3048.0,1.0,3113.5714285714284,3069.0485015973222,-0.03215223097112861
20150223,2900.0,2980.0,2840.0,2904.0,3296095,2950.0,1.0,3079.4285714285716,3035.238801277858,-0.015593220338983051
20150224,2870.0,2968.0,2855.0,2905.0,2153550,2904.0,1.0,3033.714285714286,3002.1910410222863,0.0003443526170798898
20150225,2894.0,2894.0,2789.0,2816.0,6010676,2905.0,1.0,2989.8571428571427,2980.5528328178293,-0.0306368330464716
20150228,2806.0,2840.0,2705.0,2747.0,3418911,2816.0,1.0,2938.0,2945.6422662542636,-0.024502840909090908
20150301,2749.0,2856.0,2711.0,2840.0,6212630,2747.0,1.0,2896.4285714285716,2906.3138130034113,0.03385511467054969
20150302,2900.0,2953.0,2880.0,2944.0,7722160,2840.0,1.0,2884.8571428571427,2905.0510504027293,0.036619718309859155
20150303,2970.0,3061.0,2961.0,3052.0,9819871,2944.0,1.0,2869.8571428571427,2918.0408403221836,0.036684782608695655
20150304,3080.0,3111.0,3000.0,3052.0,4947420,3052.0,1.0,2895.5714285714284,2950.432672257747,0.0
20150307,3000.0,3080.0,2930.0,2983.0,4407187,3052.0,1.0,2914.1428571428573,2960.346137806198,-0.022608125819134992
20150308,2900.0,2980.0,2871.0,2920.0,3077560,2983.0,1.0,2915.0,2948.2769102449583,-0.021119678176332552
20150309,2900.0,2959.0,2850.0,2902.0,1747707,2920.0,1.0,2928.4285714285716,2938.6215281959667,-0.0061643835616438354
20150310,2860.0,2860.0,2820.0,2835.0,1730347,2902.0,1.0,2944.285714285714,2922.8972225567736,-0.02308752584424535
20150311,2828.0,2932.0,2828.0,2880.0,1597618,2835.0,1.0,2934.0,2903.917778045419,0.015873015873015872
20150314,2900.0,2995.0,2880.0,2983.0,5805224,2880.0,1.0,2924.0,2903.134222436335,0.03576388888888889
20150315,3065.0,3099.0,2900.0,3011.0,6437784,2983.0,1.0,2921.8571428571427,2935.507377949068,0.009386523633925578
20150316,2932.0,2990.0,2891.0,2907.0,5548672,3011.0,1.0,2912.1428571428573,2934.8059023592546,-0.034540019926934576
20150317,2800.0,2857.0,2791.0,2800.0,5430750,2907.0,1.0,2897.8571428571427,2907.844721887404,-0.036807705538355696
20150318,2870.0,2912.0,2869.0,2910.0,5295343,2800.0,1.0,2893.5714285714284,2900.275777509923,0.039285714285714285
20150325,2851.0,3020.0,2851.0,2992.0,1761049,2910.0,1.0,2892.285714285714,2890.4206220079386,0.028178694158075602
20150328,2999.0,3097.0,2943.0,3040.0,4452361,2992.0,1.0,2916.714285714286,2912.136497606351,0.016042780748663103
20150329,3102.0,3150.0,3037.0,3110.0,8773685,3040.0,1.0,2945.5714285714284,2950.109198085081,0.023026315789473683
20150330,3030.0,3090.0,2986.0,2997.0,8132199,3110.0,1.0,2940.5714285714284,2966.087358468065,-0.036334405144694534
20150331,2899.0,3047.0,2899.0,2952.0,2544879,2997.0,1.0,2935.8571428571427,2952.669886774452,-0.015015015015015015
20150404,3070.0,3070.0,3070.0,3070.0,2029568,2952.0,1.0,2974.4285714285716,2976.135909419562,0.03997289972899729
20150405,3192.0,3192.0,3180.0,3191.0,27247677,3070.0,1.0,3020.4285714285716,3019.3087275356497,0.039413680781758956
20150406,3230.0,3270.0,3083.0,3183.0,23338017,3191.0,1.0,3074.5714285714284,3061.44698202852,-0.0025070510811657787
20150407,3101.0,3155.0,3070.0,3101.0,8547706,3183.0,1.0,3089.1428571428573,3069.3575856228163,-0.025761859880615773
20150408,3100.0,3210.0,3099.0,3175.0,7202403,3101.0,1.0,3088.8571428571427,3075.486068498253,0.023863269912931313
20150411,3070.0,3170.0,3048.0,3066.0,7261639,3175.0,1.0,3094.5714285714284,3074.3888547986026,-0.034330708661417325
20150412,3050.0,3050.0,2944.0,2954.0,6919684,3066.0,1.0,3116.1428571428573,3069.5110838388823,-0.0365296803652968
20150413,2923.0,2980.0,2836.0,2876.0,6566762,2954.0,1.0,3095.1428571428573,3040.208867071106,-0.026404874746106973
20150414,2979.0,2991.0,2950.0,2989.0,2222813,2876.0,1.0,3064.714285714286,3027.967093656885,0.03929068150208623
20150415,3108.0,3108.0,3108.0,3108.0,2331240,2989.0,1.0,3047.285714285714,3043.973674925508,0.03981264637002342
20150418,3200.0,3200.0,3000.0,3119.0,19122017,3108.0,1.0,3061.4285714285716,3075.1789399404065,0.0035392535392535394
20150419,3070.0,3150.0,3020.0,3077.0,8390179,3119.0,1.0,3057.1428571428573,3074.1431519523253,-0.01346585444052581
