DTYYYYMMDD,FIRST,HIGH,LOW,CLOSE,VOL,OPEN,FIRST_1,FIRST_2,FIRST_3,FIRST_4,FIRST_5,FIRST_6,FIRST_7,FIRST_8,FIRST_9,FIRST_10,FIRST_11,FIRST_12,FIRST_13,FIRST_14,FIRST_15,FIRST_16,FIRST_17,FIRST_18,FIRST_19,FIRST_20,FIRST_21,FIRST_22,FIRST_23,FIRST_24,FIRST_25,FIRST_26,FIRST_27,FIRST_28,FIRST_29,FIRST_30,FIRST_31,FIRST_32,FIRST_33,FIRST_34,FIRST_35,FIRST_36,FIRST_37,FIRST_38,FIRST_39,FIRST_40,FIRST_41,FIRST_42,FIRST_43,FIRST_44,FIRST_45,FIRST_46,FIRST_47,FIRST_48,FIRST_49,FIRST_50,FIRST_51,FIRST_52,FIRST_53,FIRST_54,FIRST_55,FIRST_56,FIRST_57,FIRST_58,FIRST_59,FIRST_60,FIRST_61,FIRST_62,FIRST_63,FIRST_64,FIRST_65,FIRST_66,FIRST_67,FIRST_68,FIRST_69,FIRST_70,Average_Polarity,Action
20150317,4650.0,4690.0,4464.0,4510.0,34786774,8927.0,4650.0,4866.0,4992.0,5187.0,5394.0,5609.0,5833.0,6066.0,6550.0,6830.0,6600.0,7100.0,7280.0,6760.0,6745.0,6329.0,6060.0,5851.0,4952.0,5255.0,5465.0,5465.0,5138.0,5285.0,5372.0,5249.0,4975.0,4810.0,4700.0,4503.0,4311.0,4667.0,4851.0,5036.0,4890.0,4610.0,4779.0,4799.0,4726.0,4902.0,4990.0,4930.0,4887.0,4915.0,4800.0,4900.0,4935.0,4771.0,4800.0,4777.0,4562.0,4513.0,4580.0,4500.0,4498.0,4813.0,5053.0,5305.0,5170.0,4937.0,4718.0,4972.0,5201.0,5250.0,5450.0,5400.0,5640.0,5550.0,5708.0,6084.0,0.0,1.0
20150318,4650.0,4690.0,4570.0,4679.0,13916539,4510.0,4866.0,4992.0,5187.0,5394.0,5609.0,5833.0,6066.0,6550.0,6830.0,6600.0,7100.0,7280.0,6760.0,6745.0,6329.0,6060.0,5851.0,4952.0,5255.0,5465.0,5465.0,5138.0,5285.0,5372.0,5249.0,4975.0,4810.0,4700.0,4503.0,4311.0,4667.0,4851.0,5036.0,4890.0,4610.0,4779.0,4799.0,4726.0,4902.0,4990.0,4930.0,4887.0,4915.0,4800.0,4900.0,4935.0,4771.0,4800.0,4777.0,4562.0,4513.0,4580.0,4500.0,4498.0,4813.0,5053.0,5305.0,5170.0,4937.0,4718.0,4972.0,5201.0,5250.0,5450.0,5400.0,5640.0,5550.0,5708.0,6084.0,6340.0,0.0,1.0
20150325,4866.0,4866.0,4866.0,4800.0,1382859,4679.0,4992.0,5187.0,5394.0,5609.0,5833.0,6066.0,6550.0,6830.0,6600.0,7100.0,7280.0,6760.0,6745.0,6329.0,6060.0,5851.0,4952.0,5255.0,5465.0,5465.0,5138.0,5285.0,5372.0,5249.0,4975.0,4810.0,4700.0,4503.0,4311.0,4667.0,4851.0,5036.0,4890.0,4610.0,4779.0,4799.0,4726.0,4902.0,4990.0,4930.0,4887.0,4915.0,4800.0,4900.0,4935.0,4771.0,4800.0,4777.0,4562.0,4513.0,4580.0,4500.0,4498.0,4813.0,5053.0,5305.0,5170.0,4937.0,4718.0,4972.0,5201.0,5250.0,5450.0,5400.0,5640.0,5550.0,5708.0,6084.0,6340.0,6120.0,0.0,1.0
20150328,4992.0,4992.0,4992.0,4988.0,2045286,4800.0,5187.0,5394.0,5609.0,5833.0,6066.0,6550.0,6830.0,6600.0,7100.0,7280.0,6760.0,6745.0,6329.0,6060.0,5851.0,4952.0,5255.0,5465.0,5465.0,5138.0,5285.0,5372.0,5249.0,4975.0,4810.0,4700.0,4503.0,4311.0,4667.0,4851.0,5036.0,4890.0,4610.0,4779.0,4799.0,4726.0,4902.0,4990.0,4930.0,4887.0,4915.0,4800.0,4900.0,4935.0,4771.0,4800.0,4777.0,4562.0,4513.0,4580.0,4500.0,4498.0,4813.0,5053.0,5305.0,5170.0,4937.0,4718.0,4972.0,5201.0,5250.0,5450.0,5400.0,5640.0,5550.0,5708.0,6084.0,6340.0,6120.0,5560.0,0.0,1.0
20150329,5187.0,5187.0,5187.0,5187.0,2961941,4988.0,5394.0,5609.0,5833.0,6066.0,6550.0,6830.0,6600.0,7100.0,7280.0,6760.0,6745.0,6329.0,6060.0,5851.0,4952.0,5255.0,5465.0,5465.0,5138.0,5285.0,5372.0,5249.0,4975.0,4810.0,4700.0,4503.0,4311.0,4667.0,4851.0,5036.0,4890.0,4610.0,4779.0,4799.0,4726.0,4902.0,4990.0,4930.0,4887.0,4915.0,4800.0,4900.0,4935.0,4771.0,4800.0,4777.0,4562.0,4513.0,4580.0,4500.0,4498.0,4813.0,5053.0,5305.0,5170.0,4937.0,4718.0,4972.0,5201.0,5250.0,5450.0,5400.0,5640.0,5550.0,5708.0,6084.0,6340.0,6120.0,5560.0,4060.0,0.0,1.0
20150330,5394.0,5394.0,5394.0,5394.0,2604627,5187.0,5609.0,5833.0,6066.0,6550.0,6830.0,6600.0,7100.0,7280.0,6760.0,6745.0,6329.0,6060.0,5851.0,4952.0,5255.0,5465.0,5465.0,5138.0,5285.0,5372.0,5249.0,4975.0,4810.0,4700.0,4503.0,4311.0,4667.0,4851.0,5036.0,4890.0,4610.0,4779.0,4799.0,4726.0,4902.0,4990.0,4930.0,4887.0,4915.0,4800.0,4900.0,4935.0,4771.0,4800.0,4777.0,4562.0,4513.0,4580.0,4500.0,4498.0,4813.0,5053.0,5305.0,5170.0,4937.0,4718.0,4972.0,5201.0,5250.0,5450.0,5400.0,5640.0,5550.0,5708.0,6084.0,6340.0,6120.0,5560.0,4060.0,4370.0,0.0,1.0
20150331,5609.0,5609.0,5609.0,5609.0,2419495,5394.0,5833.0,6066.0,6550.0,6830.0,6600.0,7100.0,7280.0,6760.0,6745.0,6329.0,6060.0,5851.0,4952.0,5255.0,5465.0,5465.0,5138.0,5285.0,5372.0,5249.0,4975.0,4810.0,4700.0,4503.0,4311.0,4667.0,4851.0,5036.0,4890.0,4610.0,4779.0,4799.0,4726.0,4902.0,4990.0,4930.0,4887.0,4915.0,4800.0,4900.0,4935.0,4771.0,4800.0,4777.0,4562.0,4513.0,4580.0,4500.0,4498.0,4813.0,5053.0,5305.0,5170.0,4937.0,4718.0,4972.0,5201.0,5250.0,5450.0,5400.0,5640.0,5550.0,5708.0,6084.0,6340.0,6120.0,5560.0,4060.0,4370.0,4244.0,0.0,1.0
20150404,5833.0,5833.0,5833.0,5833.0,1927511,5609.0,6066.0,6550.0,6830.0,6600.0,7100.0,7280.0,6760.0,6745.0,6329.0,6060.0,5851.0,4952.0,5255.0,5465.0,5465.0,5138.0,5285.0,5372.0,5249.0,4975.0,4810.0,4700.0,4503.0,4311.0,4667.0,4851.0,5036.0,4890.0,4610.0,4779.0,4799.0,4726.0,4902.0,4990.0,4930.0,4887.0,4915.0,4800.0,4900.0,4935.0,4771.0,4800.0,4777.0,4562.0,4513.0,4580.0,4500.0,4498.0,4813.0,5053.0,5305.0,5170.0,4937.0,4718.0,4972.0,5201.0,5250.0,5450.0,5400.0,5640.0,5550.0,5708.0,6084.0,6340.0,6120.0,5560.0,4060.0,4370.0,4244.0,4130.0,0.0,1.0
20150405,6066.0,6066.0,6066.0,6065.0,1799378,5833.0,6550.0,6830.0,6600.0,7100.0,7280.0,6760.0,6745.0,6329.0,6060.0,5851.0,4952.0,5255.0,5465.0,5465.0,5138.0,5285.0,5372.0,5249.0,4975.0,4810.0,4700.0,4503.0,4311.0,4667.0,4851.0,5036.0,4890.0,4610.0,4779.0,4799.0,4726.0,4902.0,4990.0,4930.0,4887.0,4915.0,4800.0,4900.0,4935.0,4771.0,4800.0,4777.0,4562.0,4513.0,4580.0,4500.0,4498.0,4813.0,5053.0,5305.0,5170.0,4937.0,4718.0,4972.0,5201.0,5250.0,5450.0,5400.0,5640.0,5550.0,5708.0,6084.0,6340.0,6120.0,5560.0,4060.0,4370.0,4244.0,4130.0,4057.0,0.0,1.0
20150406,6550.0,6812.0,6320.0,6673.0,35193199,6065.0,6830.0,6600.0,7100.0,7280.0,6760.0,6745.0,6329.0,6060.0,5851.0,4952.0,5255.0,5465.0,5465.0,5138.0,5285.0,5372.0,5249.0,4975.0,4810.0,4700.0,4503.0,4311.0,4667.0,4851.0,5036.0,4890.0,4610.0,4779.0,4799.0,4726.0,4902.0,4990.0,4930.0,4887.0,4915.0,4800.0,4900.0,4935.0,4771.0,4800.0,4777.0,4562.0,4513.0,4580.0,4500.0,4498.0,4813.0,5053.0,5305.0,5170.0,4937.0,4718.0,4972.0,5201.0,5250.0,5450.0,5400.0,5640.0,5550.0,5708.0,6084.0,6340.0,6120.0,5560.0,4060.0,4370.0,4244.0,4130.0,4057.0,3902.0,0.0,1.0
