DTYYYYMMDD,FIRST,HIGH,LOW,CLOSE,VOL,OPEN,FIRST_1,FIRST_2,FIRST_3,FIRST_4,FIRST_5,FIRST_6,FIRST_7,FIRST_8,FIRST_9,FIRST_10,FIRST_11,FIRST_12,FIRST_13,FIRST_14,FIRST_15,FIRST_16,FIRST_17,FIRST_18,FIRST_19,FIRST_20,FIRST_21,FIRST_22,FIRST_23,FIRST_24,FIRST_25,FIRST_26,FIRST_27,FIRST_28,FIRST_29,FIRST_30,FIRST_31,FIRST_32,FIRST_33,FIRST_34,FIRST_35,FIRST_36,FIRST_37,FIRST_38,FIRST_39,FIRST_40,FIRST_41,FIRST_42,FIRST_43,FIRST_44,FIRST_45,FIRST_46,FIRST_47,FIRST_48,FIRST_49,FIRST_50,FIRST_51,FIRST_52,FIRST_53,FIRST_54,FIRST_55,FIRST_56,FIRST_57,FIRST_58,FIRST_59,FIRST_60,FIRST_61,FIRST_62,FIRST_63,FIRST_64,FIRST_65,FIRST_66,FIRST_67,FIRST_68,FIRST_69,FIRST_70,Average_Polarity,Action
20150317,3165.0,3291.0,3165.0,3231.0,8415121,9751.0,3360.0,3421.0,3489.0,3492.0,3557.0,3649.0,3710.0,3854.0,4168.0,4175.0,4175.0,4176.0,4180.0,4342.0,4694.0,4698.0,4699.0,4804.0,4969.0,5725.0,5744.0,5780.0,5396.0,5231.0,5200.0,5310.0,5080.0,4851.0,4715.0,4650.0,4500.0,4408.0,4690.0,4782.0,4850.0,4798.0,4650.0,4670.0,4762.0,4675.0,4731.0,4880.0,4900.0,4851.0,4852.0,4800.0,4898.0,4811.0,4801.0,4848.0,4726.0,4720.0,4689.0,4697.0,4609.0,4682.0,4938.0,5184.0,5197.0,5201.0,5065.0,5000.0,5150.0,5359.0,5390.0,5498.0,5390.0,5555.0,5490.0,5739.0,0.0,1.0
20150318,3360.0,3360.0,3360.0,3290.0,1411847,3231.0,3421.0,3489.0,3492.0,3557.0,3649.0,3710.0,3854.0,4168.0,4175.0,4175.0,4176.0,4180.0,4342.0,4694.0,4698.0,4699.0,4804.0,4969.0,5725.0,5744.0,5780.0,5396.0,5231.0,5200.0,5310.0,5080.0,4851.0,4715.0,4650.0,4500.0,4408.0,4690.0,4782.0,4850.0,4798.0,4650.0,4670.0,4762.0,4675.0,4731.0,4880.0,4900.0,4851.0,4852.0,4800.0,4898.0,4811.0,4801.0,4848.0,4726.0,4720.0,4689.0,4697.0,4609.0,4682.0,4938.0,5184.0,5197.0,5201.0,5065.0,5000.0,5150.0,5359.0,5390.0,5498.0,5390.0,5555.0,5490.0,5739.0,6133.0,0.0,1.0
20150325,3421.0,3421.0,3421.0,3355.0,1503175,3290.0,3489.0,3492.0,3557.0,3649.0,3710.0,3854.0,4168.0,4175.0,4175.0,4176.0,4180.0,4342.0,4694.0,4698.0,4699.0,4804.0,4969.0,5725.0,5744.0,5780.0,5396.0,5231.0,5200.0,5310.0,5080.0,4851.0,4715.0,4650.0,4500.0,4408.0,4690.0,4782.0,4850.0,4798.0,4650.0,4670.0,4762.0,4675.0,4731.0,4880.0,4900.0,4851.0,4852.0,4800.0,4898.0,4811.0,4801.0,4848.0,4726.0,4720.0,4689.0,4697.0,4609.0,4682.0,4938.0,5184.0,5197.0,5201.0,5065.0,5000.0,5150.0,5359.0,5390.0,5498.0,5390.0,5555.0,5490.0,5739.0,6133.0,6439.0,0.0,1.0
20150328,3489.0,3489.0,3489.0,3358.0,56174,3355.0,3492.0,3557.0,3649.0,3710.0,3854.0,4168.0,4175.0,4175.0,4176.0,4180.0,4342.0,4694.0,4698.0,4699.0,4804.0,4969.0,5725.0,5744.0,5780.0,5396.0,5231.0,5200.0,5310.0,5080.0,4851.0,4715.0,4650.0,4500.0,4408.0,4690.0,4782.0,4850.0,4798.0,4650.0,4670.0,4762.0,4675.0,4731.0,4880.0,4900.0,4851.0,4852.0,4800.0,4898.0,4811.0,4801.0,4848.0,4726.0,4720.0,4689.0,4697.0,4609.0,4682.0,4938.0,5184.0,5197.0,5201.0,5065.0,5000.0,5150.0,5359.0,5390.0,5498.0,5390.0,5555.0,5490.0,5739.0,6133.0,6439.0,6488.0,0.0,1.0
20150329,3492.0,3492.0,3492.0,3421.0,1407289,3358.0,3557.0,3649.0,3710.0,3854.0,4168.0,4175.0,4175.0,4176.0,4180.0,4342.0,4694.0,4698.0,4699.0,4804.0,4969.0,5725.0,5744.0,5780.0,5396.0,5231.0,5200.0,5310.0,5080.0,4851.0,4715.0,4650.0,4500.0,4408.0,4690.0,4782.0,4850.0,4798.0,4650.0,4670.0,4762.0,4675.0,4731.0,4880.0,4900.0,4851.0,4852.0,4800.0,4898.0,4811.0,4801.0,4848.0,4726.0,4720.0,4689.0,4697.0,4609.0,4682.0,4938.0,5184.0,5197.0,5201.0,5065.0,5000.0,5150.0,5359.0,5390.0,5498.0,5390.0,5555.0,5490.0,5739.0,6133.0,6439.0,6488.0,6290.0,0.0,1.0
20150330,3557.0,3557.0,3557.0,3509.0,1928599,3421.0,3649.0,3710.0,3854.0,4168.0,4175.0,4175.0,4176.0,4180.0,4342.0,4694.0,4698.0,4699.0,4804.0,4969.0,5725.0,5744.0,5780.0,5396.0,5231.0,5200.0,5310.0,5080.0,4851.0,4715.0,4650.0,4500.0,4408.0,4690.0,4782.0,4850.0,4798.0,4650.0,4670.0,4762.0,4675.0,4731.0,4880.0,4900.0,4851.0,4852.0,4800.0,4898.0,4811.0,4801.0,4848.0,4726.0,4720.0,4689.0,4697.0,4609.0,4682.0,4938.0,5184.0,5197.0,5201.0,5065.0,5000.0,5150.0,5359.0,5390.0,5498.0,5390.0,5555.0,5490.0,5739.0,6133.0,6439.0,6488.0,6290.0,2812.0,0.0,1.0
20150331,3649.0,3649.0,3649.0,3568.0,1265893,3509.0,3710.0,3854.0,4168.0,4175.0,4175.0,4176.0,4180.0,4342.0,4694.0,4698.0,4699.0,4804.0,4969.0,5725.0,5744.0,5780.0,5396.0,5231.0,5200.0,5310.0,5080.0,4851.0,4715.0,4650.0,4500.0,4408.0,4690.0,4782.0,4850.0,4798.0,4650.0,4670.0,4762.0,4675.0,4731.0,4880.0,4900.0,4851.0,4852.0,4800.0,4898.0,4811.0,4801.0,4848.0,4726.0,4720.0,4689.0,4697.0,4609.0,4682.0,4938.0,5184.0,5197.0,5201.0,5065.0,5000.0,5150.0,5359.0,5390.0,5498.0,5390.0,5555.0,5490.0,5739.0,6133.0,6439.0,6488.0,6290.0,2812.0,2837.0,0.0,1.0
20150404,3710.0,3710.0,3710.0,3569.0,11143,3568.0,3854.0,4168.0,4175.0,4175.0,4176.0,4180.0,4342.0,4694.0,4698.0,4699.0,4804.0,4969.0,5725.0,5744.0,5780.0,5396.0,5231.0,5200.0,5310.0,5080.0,4851.0,4715.0,4650.0,4500.0,4408.0,4690.0,4782.0,4850.0,4798.0,4650.0,4670.0,4762.0,4675.0,4731.0,4880.0,4900.0,4851.0,4852.0,4800.0,4898.0,4811.0,4801.0,4848.0,4726.0,4720.0,4689.0,4697.0,4609.0,4682.0,4938.0,5184.0,5197.0,5201.0,5065.0,5000.0,5150.0,5359.0,5390.0,5498.0,5390.0,5555.0,5490.0,5739.0,6133.0,6439.0,6488.0,6290.0,2812.0,2837.0,2799.0,0.0,1.0
20150405,3854.0,4008.0,3854.0,4008.0,219155,3569.0,4168.0,4175.0,4175.0,4176.0,4180.0,4342.0,4694.0,4698.0,4699.0,4804.0,4969.0,5725.0,5744.0,5780.0,5396.0,5231.0,5200.0,5310.0,5080.0,4851.0,4715.0,4650.0,4500.0,4408.0,4690.0,4782.0,4850.0,4798.0,4650.0,4670.0,4762.0,4675.0,4731.0,4880.0,4900.0,4851.0,4852.0,4800.0,4898.0,4811.0,4801.0,4848.0,4726.0,4720.0,4689.0,4697.0,4609.0,4682.0,4938.0,5184.0,5197.0,5201.0,5065.0,5000.0,5150.0,5359.0,5390.0,5498.0,5390.0,5555.0,5490.0,5739.0,6133.0,6439.0,6488.0,6290.0,2812.0,2837.0,2799.0,2690.0,0.0,1.0
20150406,4168.0,4168.0,4168.0,4015.0,110141,4008.0,4175.0,4175.0,4176.0,4180.0,4342.0,4694.0,4698.0,4699.0,4804.0,4969.0,5725.0,5744.0,5780.0,5396.0,5231.0,5200.0,5310.0,5080.0,4851.0,4715.0,4650.0,4500.0,4408.0,4690.0,4782.0,4850.0,4798.0,4650.0,4670.0,4762.0,4675.0,4731.0,4880.0,4900.0,4851.0,4852.0,4800.0,4898.0,4811.0,4801.0,4848.0,4726.0,4720.0,4689.0,4697.0,4609.0,4682.0,4938.0,5184.0,5197.0,5201.0,5065.0,5000.0,5150.0,5359.0,5390.0,5498.0,5390.0,5555.0,5490.0,5739.0,6133.0,6439.0,6488.0,6290.0,2812.0,2837.0,2799.0,2690.0,2573.0,0.0,1.0
