DTYYYYMMDD,FIRST,HIGH,LOW,CLOSE,VOL,OPEN,FIRST_1,FIRST_2,FIRST_3,FIRST_4,FIRST_5,FIRST_6,FIRST_7,FIRST_8,FIRST_9,FIRST_10,FIRST_11,FIRST_12,FIRST_13,FIRST_14,FIRST_15,FIRST_16,FIRST_17,FIRST_18,FIRST_19,FIRST_20,FIRST_21,FIRST_22,FIRST_23,FIRST_24,FIRST_25,FIRST_26,FIRST_27,FIRST_28,FIRST_29,FIRST_30,FIRST_31,FIRST_32,FIRST_33,FIRST_34,FIRST_35,FIRST_36,FIRST_37,FIRST_38,FIRST_39,FIRST_40,FIRST_41,FIRST_42,FIRST_43,FIRST_44,FIRST_45,FIRST_46,FIRST_47,FIRST_48,FIRST_49,FIRST_50,FIRST_51,FIRST_52,FIRST_53,FIRST_54,FIRST_55,FIRST_56,FIRST_57,FIRST_58,FIRST_59,FIRST_60,FIRST_61,FIRST_62,FIRST_63,FIRST_64,FIRST_65,FIRST_66,FIRST_67,FIRST_68,FIRST_69,FIRST_70,Date,Average_Polarity
20150103,3101.0,3126.0,3070.0,3119.0,6491077,3006.0,3243.0,3372.0,3200.0,3045.0,3020.0,2828.0,2950.0,2617.0,2491.0,2451.0,2566.0,2753.0,2863.0,2977.0,3025.0,3180.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,,0.0
20150104,3243.0,3243.0,3243.0,3243.0,2238344,3119.0,3372.0,3200.0,3045.0,3020.0,2828.0,2950.0,2617.0,2491.0,2451.0,2566.0,2753.0,2863.0,2977.0,3025.0,3180.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,,0.0
20150105,3372.0,3372.0,3166.0,3298.0,12501573,3243.0,3200.0,3045.0,3020.0,2828.0,2950.0,2617.0,2491.0,2451.0,2566.0,2753.0,2863.0,2977.0,3025.0,3180.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,,0.0
20150106,3200.0,3200.0,3167.0,3171.0,2815801,3298.0,3045.0,3020.0,2828.0,2950.0,2617.0,2491.0,2451.0,2566.0,2753.0,2863.0,2977.0,3025.0,3180.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,,0.0
20150107,3045.0,3140.0,3045.0,3052.0,10368391,3171.0,3020.0,2828.0,2950.0,2617.0,2491.0,2451.0,2566.0,2753.0,2863.0,2977.0,3025.0,3180.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,,0.0
20150110,3020.0,3020.0,2930.0,2945.0,2815771,3052.0,2828.0,2950.0,2617.0,2491.0,2451.0,2566.0,2753.0,2863.0,2977.0,3025.0,3180.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,,0.0
20150111,2828.0,2997.0,2828.0,2870.0,8222409,2945.0,2950.0,2617.0,2491.0,2451.0,2566.0,2753.0,2863.0,2977.0,3025.0,3180.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,,0.0
20150112,2950.0,2984.0,2900.0,2967.0,10351991,2870.0,2617.0,2491.0,2451.0,2566.0,2753.0,2863.0,2977.0,3025.0,3180.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,2898.0,,0.0
20150125,2617.0,2617.0,2540.0,2567.0,1411964,2788.0,2491.0,2451.0,2566.0,2753.0,2863.0,2977.0,3025.0,3180.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,2898.0,2929.0,,0.0
20150126,2491.0,2655.0,2475.0,2528.0,3136548,2567.0,2451.0,2566.0,2753.0,2863.0,2977.0,3025.0,3180.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,2898.0,2929.0,2999.0,,0.0
20150127,2451.0,2599.0,2451.0,2552.0,2269749,2528.0,2566.0,2753.0,2863.0,2977.0,3025.0,3180.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,2898.0,2929.0,2999.0,3183.0,,0.0
20150128,2566.0,2654.0,2566.0,2648.0,933542,2552.0,2753.0,2863.0,2977.0,3025.0,3180.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,2898.0,2929.0,2999.0,3183.0,3100.0,,0.0
20150131,2753.0,2753.0,2753.0,2753.0,622477,2648.0,2863.0,2977.0,3025.0,3180.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,2898.0,2929.0,2999.0,3183.0,3100.0,3035.0,,0.0
20150201,2863.0,2863.0,2863.0,2863.0,1751415,2753.0,2977.0,3025.0,3180.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,2898.0,2929.0,2999.0,3183.0,3100.0,3035.0,3051.0,,0.0
20150202,2977.0,2977.0,2911.0,2972.0,17304260,2863.0,3025.0,3180.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,2898.0,2929.0,2999.0,3183.0,3100.0,3035.0,3051.0,3040.0,,0.0
20150203,3025.0,3090.0,3010.0,3080.0,14625990,2972.0,3180.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,2898.0,2929.0,2999.0,3183.0,3100.0,3035.0,3051.0,3040.0,2921.0,,0.0
20150204,3180.0,3203.0,3105.0,3186.0,10770785,3080.0,3220.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,2898.0,2929.0,2999.0,3183.0,3100.0,3035.0,3051.0,3040.0,2921.0,2947.0,,0.0
20150207,3220.0,3299.0,3110.0,3209.0,9479650,3186.0,3153.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,2898.0,2929.0,2999.0,3183.0,3100.0,3035.0,3051.0,3040.0,2921.0,2947.0,2950.0,,0.0
20150208,3153.0,3198.0,3081.0,3104.0,7041154,3209.0,3050.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,2898.0,2929.0,2999.0,3183.0,3100.0,3035.0,3051.0,3040.0,2921.0,2947.0,2950.0,2885.0,,0.0
20150209,3050.0,3069.0,2980.0,2994.0,5963812,3104.0,2882.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,2898.0,2929.0,2999.0,3183.0,3100.0,3035.0,3051.0,3040.0,2921.0,2947.0,2950.0,2885.0,2901.0,,0.0
20150210,2882.0,3113.0,2875.0,3019.0,16780879,2994.0,3139.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,2898.0,2929.0,2999.0,3183.0,3100.0,3035.0,3051.0,3040.0,2921.0,2947.0,2950.0,2885.0,2901.0,2950.0,,0.0
20150214,3139.0,3139.0,3121.0,3139.0,18077943,3019.0,3190.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,2898.0,2929.0,2999.0,3183.0,3100.0,3035.0,3051.0,3040.0,2921.0,2947.0,2950.0,2885.0,2901.0,2950.0,2906.0,,0.0
20150215,3190.0,3249.0,3130.0,3191.0,11893703,3139.0,3201.0,3169.0,3040.0,2981.0,3075.0,2900.0,2870.0,2894.0,2806.0,2749.0,2900.0,2970.0,3080.0,3000.0,2900.0,2900.0,2860.0,2828.0,2900.0,3065.0,2932.0,2800.0,2870.0,2851.0,2999.0,3102.0,3030.0,2899.0,3070.0,3192.0,3230.0,3101.0,3100.0,3070.0,3050.0,2923.0,2979.0,3108.0,3200.0,3070.0,3095.0,2950.0,3001.0,3030.0,3002.0,3040.0,3060.0,3110.0,3117.0,3024.0,3016.0,3019.0,3030.0,2876.0,2898.0,2929.0,2999.0,3183.0,3100.0,3035.0,3051.0,3040.0,2921.0,2947.0,2950.0,2885.0,2901.0,2950.0,2906.0,3020.0,,0.0
