DTYYYYMMDD,FIRST,HIGH,LOW,CLOSE,VOL,OPEN,FIRST_1,FIRST_2,FIRST_3,FIRST_4,FIRST_5,FIRST_6,FIRST_7,FIRST_8,FIRST_9,FIRST_10,FIRST_11,FIRST_12,FIRST_13,FIRST_14,FIRST_15,FIRST_16,FIRST_17,FIRST_18,FIRST_19,FIRST_20,FIRST_21,FIRST_22,FIRST_23,FIRST_24,FIRST_25,FIRST_26,FIRST_27,FIRST_28,FIRST_29,FIRST_30,FIRST_31,FIRST_32,FIRST_33,FIRST_34,FIRST_35,FIRST_36,FIRST_37,FIRST_38,FIRST_39,FIRST_40,FIRST_41,FIRST_42,FIRST_43,FIRST_44,FIRST_45,FIRST_46,FIRST_47,FIRST_48,FIRST_49,FIRST_50,FIRST_51,FIRST_52,FIRST_53,FIRST_54,FIRST_55,FIRST_56,FIRST_57,FIRST_58,FIRST_59,FIRST_60,FIRST_61,FIRST_62,FIRST_63,FIRST_64,FIRST_65,FIRST_66,FIRST_67,FIRST_68,FIRST_69,FIRST_70,Date,Average_Polarity
20150103,1560.0,1629.0,1560.0,1616.0,6348380,1567.0,1615.0,1600.0,1515.0,1450.0,1427.0,1346.0,1413.0,1443.0,1450.0,1450.0,1462.0,1424.0,1417.0,1344.0,1330.0,1301.0,1340.0,1285.0,1261.0,1339.0,1369.0,1340.0,1390.0,1473.0,1517.0,1492.0,1463.0,1392.0,1425.0,1410.0,1413.0,1431.0,1493.0,1443.0,1405.0,1375.0,1469.0,1470.0,1429.0,1457.0,1520.0,1502.0,1602.0,1640.0,1540.0,1580.0,1549.0,1455.0,1530.0,1616.0,1597.0,1540.0,1579.0,1600.0,1599.0,1722.0,1695.0,1610.0,1721.0,1789.0,1817.0,1728.0,1695.0,1749.0,1808.0,1830.0,1840.0,1790.0,1734.0,1690.0,,0.0
20150104,1615.0,1646.0,1594.0,1627.0,3492529,1616.0,1600.0,1515.0,1450.0,1427.0,1346.0,1413.0,1443.0,1450.0,1450.0,1462.0,1424.0,1417.0,1344.0,1330.0,1301.0,1340.0,1285.0,1261.0,1339.0,1369.0,1340.0,1390.0,1473.0,1517.0,1492.0,1463.0,1392.0,1425.0,1410.0,1413.0,1431.0,1493.0,1443.0,1405.0,1375.0,1469.0,1470.0,1429.0,1457.0,1520.0,1502.0,1602.0,1640.0,1540.0,1580.0,1549.0,1455.0,1530.0,1616.0,1597.0,1540.0,1579.0,1600.0,1599.0,1722.0,1695.0,1610.0,1721.0,1789.0,1817.0,1728.0,1695.0,1749.0,1808.0,1830.0,1840.0,1790.0,1734.0,1690.0,1753.0,,0.0
20150105,1600.0,1625.0,1562.0,1565.0,6783048,1627.0,1515.0,1450.0,1427.0,1346.0,1413.0,1443.0,1450.0,1450.0,1462.0,1424.0,1417.0,1344.0,1330.0,1301.0,1340.0,1285.0,1261.0,1339.0,1369.0,1340.0,1390.0,1473.0,1517.0,1492.0,1463.0,1392.0,1425.0,1410.0,1413.0,1431.0,1493.0,1443.0,1405.0,1375.0,1469.0,1470.0,1429.0,1457.0,1520.0,1502.0,1602.0,1640.0,1540.0,1580.0,1549.0,1455.0,1530.0,1616.0,1597.0,1540.0,1579.0,1600.0,1599.0,1722.0,1695.0,1610.0,1721.0,1789.0,1817.0,1728.0,1695.0,1749.0,1808.0,1830.0,1840.0,1790.0,1734.0,1690.0,1753.0,1700.0,,0.0
20150106,1515.0,1519.0,1503.0,1508.0,2981984,1565.0,1450.0,1427.0,1346.0,1413.0,1443.0,1450.0,1450.0,1462.0,1424.0,1417.0,1344.0,1330.0,1301.0,1340.0,1285.0,1261.0,1339.0,1369.0,1340.0,1390.0,1473.0,1517.0,1492.0,1463.0,1392.0,1425.0,1410.0,1413.0,1431.0,1493.0,1443.0,1405.0,1375.0,1469.0,1470.0,1429.0,1457.0,1520.0,1502.0,1602.0,1640.0,1540.0,1580.0,1549.0,1455.0,1530.0,1616.0,1597.0,1540.0,1579.0,1600.0,1599.0,1722.0,1695.0,1610.0,1721.0,1789.0,1817.0,1728.0,1695.0,1749.0,1808.0,1830.0,1840.0,1790.0,1734.0,1690.0,1753.0,1700.0,1712.0,,0.0
20150107,1450.0,1500.0,1448.0,1453.0,5010422,1508.0,1427.0,1346.0,1413.0,1443.0,1450.0,1450.0,1462.0,1424.0,1417.0,1344.0,1330.0,1301.0,1340.0,1285.0,1261.0,1339.0,1369.0,1340.0,1390.0,1473.0,1517.0,1492.0,1463.0,1392.0,1425.0,1410.0,1413.0,1431.0,1493.0,1443.0,1405.0,1375.0,1469.0,1470.0,1429.0,1457.0,1520.0,1502.0,1602.0,1640.0,1540.0,1580.0,1549.0,1455.0,1530.0,1616.0,1597.0,1540.0,1579.0,1600.0,1599.0,1722.0,1695.0,1610.0,1721.0,1789.0,1817.0,1728.0,1695.0,1749.0,1808.0,1830.0,1840.0,1790.0,1734.0,1690.0,1753.0,1700.0,1712.0,1731.0,,0.0
20150110,1427.0,1459.0,1395.0,1396.0,16267878,1453.0,1346.0,1413.0,1443.0,1450.0,1450.0,1462.0,1424.0,1417.0,1344.0,1330.0,1301.0,1340.0,1285.0,1261.0,1339.0,1369.0,1340.0,1390.0,1473.0,1517.0,1492.0,1463.0,1392.0,1425.0,1410.0,1413.0,1431.0,1493.0,1443.0,1405.0,1375.0,1469.0,1470.0,1429.0,1457.0,1520.0,1502.0,1602.0,1640.0,1540.0,1580.0,1549.0,1455.0,1530.0,1616.0,1597.0,1540.0,1579.0,1600.0,1599.0,1722.0,1695.0,1610.0,1721.0,1789.0,1817.0,1728.0,1695.0,1749.0,1808.0,1830.0,1840.0,1790.0,1734.0,1690.0,1753.0,1700.0,1712.0,1731.0,1700.0,,0.0
20150111,1346.0,1447.0,1341.0,1359.0,5389654,1396.0,1413.0,1443.0,1450.0,1450.0,1462.0,1424.0,1417.0,1344.0,1330.0,1301.0,1340.0,1285.0,1261.0,1339.0,1369.0,1340.0,1390.0,1473.0,1517.0,1492.0,1463.0,1392.0,1425.0,1410.0,1413.0,1431.0,1493.0,1443.0,1405.0,1375.0,1469.0,1470.0,1429.0,1457.0,1520.0,1502.0,1602.0,1640.0,1540.0,1580.0,1549.0,1455.0,1530.0,1616.0,1597.0,1540.0,1579.0,1600.0,1599.0,1722.0,1695.0,1610.0,1721.0,1789.0,1817.0,1728.0,1695.0,1749.0,1808.0,1830.0,1840.0,1790.0,1734.0,1690.0,1753.0,1700.0,1712.0,1731.0,1700.0,1676.0,,0.0
20150112,1413.0,1413.0,1413.0,1388.0,637856,1359.0,1443.0,1450.0,1450.0,1462.0,1424.0,1417.0,1344.0,1330.0,1301.0,1340.0,1285.0,1261.0,1339.0,1369.0,1340.0,1390.0,1473.0,1517.0,1492.0,1463.0,1392.0,1425.0,1410.0,1413.0,1431.0,1493.0,1443.0,1405.0,1375.0,1469.0,1470.0,1429.0,1457.0,1520.0,1502.0,1602.0,1640.0,1540.0,1580.0,1549.0,1455.0,1530.0,1616.0,1597.0,1540.0,1579.0,1600.0,1599.0,1722.0,1695.0,1610.0,1721.0,1789.0,1817.0,1728.0,1695.0,1749.0,1808.0,1830.0,1840.0,1790.0,1734.0,1690.0,1753.0,1700.0,1712.0,1731.0,1700.0,1676.0,1658.0,,0.0
20150113,1443.0,1443.0,1391.0,1440.0,10712548,1388.0,1450.0,1450.0,1462.0,1424.0,1417.0,1344.0,1330.0,1301.0,1340.0,1285.0,1261.0,1339.0,1369.0,1340.0,1390.0,1473.0,1517.0,1492.0,1463.0,1392.0,1425.0,1410.0,1413.0,1431.0,1493.0,1443.0,1405.0,1375.0,1469.0,1470.0,1429.0,1457.0,1520.0,1502.0,1602.0,1640.0,1540.0,1580.0,1549.0,1455.0,1530.0,1616.0,1597.0,1540.0,1579.0,1600.0,1599.0,1722.0,1695.0,1610.0,1721.0,1789.0,1817.0,1728.0,1695.0,1749.0,1808.0,1830.0,1840.0,1790.0,1734.0,1690.0,1753.0,1700.0,1712.0,1731.0,1700.0,1676.0,1658.0,1710.0,,0.0
20150114,1450.0,1497.0,1450.0,1487.0,5227066,1440.0,1450.0,1462.0,1424.0,1417.0,1344.0,1330.0,1301.0,1340.0,1285.0,1261.0,1339.0,1369.0,1340.0,1390.0,1473.0,1517.0,1492.0,1463.0,1392.0,1425.0,1410.0,1413.0,1431.0,1493.0,1443.0,1405.0,1375.0,1469.0,1470.0,1429.0,1457.0,1520.0,1502.0,1602.0,1640.0,1540.0,1580.0,1549.0,1455.0,1530.0,1616.0,1597.0,1540.0,1579.0,1600.0,1599.0,1722.0,1695.0,1610.0,1721.0,1789.0,1817.0,1728.0,1695.0,1749.0,1808.0,1830.0,1840.0,1790.0,1734.0,1690.0,1753.0,1700.0,1712.0,1731.0,1700.0,1676.0,1658.0,1710.0,1655.0,,0.0
