<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPEN>,FIRST_1,FIRST_2,FIRST_3,FIRST_4,FIRST_5,FIRST_6,FIRST_7,FIRST_8,FIRST_9,FIRST_10,FIRST_11,FIRST_12,FIRST_13,FIRST_14,FIRST_15,FIRST_16,FIRST_17,FIRST_18,FIRST_19,FIRST_20,FIRST_21,FIRST_22,FIRST_23,FIRST_24,FIRST_25,FIRST_26,FIRST_27,FIRST_28,FIRST_29,FIRST_30,FIRST_31,FIRST_32,FIRST_33,FIRST_34,FIRST_35,FIRST_36,FIRST_37,FIRST_38,FIRST_39,FIRST_40,FIRST_41,FIRST_42,FIRST_43,FIRST_44,FIRST_45,FIRST_46,FIRST_47,FIRST_48,FIRST_49,FIRST_50,FIRST_51,FIRST_52,FIRST_53,FIRST_54,FIRST_55,FIRST_56,FIRST_57,FIRST_58,FIRST_59,FIRST_60,FIRST_61,FIRST_62,FIRST_63,FIRST_64,FIRST_65,FIRST_66,FIRST_67,FIRST_68,FIRST_69,FIRST_70
20160822,5199.0,5199.0,5051.0,5100.0,3998759,5266.0,5139.0,5079.0,5049.0,5000.0,4900.0,4989.0,4994.0,4864.0,4780.0,4620.0,4770.0,5098.0,4933.0,4882.0,4867.0,4780.0,4812.0,4844.0,4870.0,4848.0,4830.0,4920.0,4952.0,4900.0,4772.0,4994.0,5000.0,4930.0,4900.0,4900.0,4949.0,5090.0,4970.0,5099.0,5150.0,5050.0,5055.0,5040.0,5020.0,5219.0,5210.0,5250.0,5195.0,5229.0,5182.0,5260.0,5190.0,5062.0,5020.0,4800.0,4921.0,4977.0,4673.0,4799.0,4700.0,4749.0,4856.0,4812.0,4750.0,4718.0,4800.0,4769.0,4705.0,4698.0,4666.0,4904.0,4880.0,4720.0,4743.0,4780.0
20160821,5310.0,5400.0,5120.0,5266.0,13505054,5214.0,5199.0,5139.0,5079.0,5049.0,5000.0,4900.0,4989.0,4994.0,4864.0,4780.0,4620.0,4770.0,5098.0,4933.0,4882.0,4867.0,4780.0,4812.0,4844.0,4870.0,4848.0,4830.0,4920.0,4952.0,4900.0,4772.0,4994.0,5000.0,4930.0,4900.0,4900.0,4949.0,5090.0,4970.0,5099.0,5150.0,5050.0,5055.0,5040.0,5020.0,5219.0,5210.0,5250.0,5195.0,5229.0,5182.0,5260.0,5190.0,5062.0,5020.0,4800.0,4921.0,4977.0,4673.0,4799.0,4700.0,4749.0,4856.0,4812.0,4750.0,4718.0,4800.0,4769.0,4705.0,4698.0,4666.0,4904.0,4880.0,4720.0,4743.0
20160820,5070.0,5260.0,5010.0,5214.0,11501077,5010.0,5310.0,5199.0,5139.0,5079.0,5049.0,5000.0,4900.0,4989.0,4994.0,4864.0,4780.0,4620.0,4770.0,5098.0,4933.0,4882.0,4867.0,4780.0,4812.0,4844.0,4870.0,4848.0,4830.0,4920.0,4952.0,4900.0,4772.0,4994.0,5000.0,4930.0,4900.0,4900.0,4949.0,5090.0,4970.0,5099.0,5150.0,5050.0,5055.0,5040.0,5020.0,5219.0,5210.0,5250.0,5195.0,5229.0,5182.0,5260.0,5190.0,5062.0,5020.0,4800.0,4921.0,4977.0,4673.0,4799.0,4700.0,4749.0,4856.0,4812.0,4750.0,4718.0,4800.0,4769.0,4705.0,4698.0,4666.0,4904.0,4880.0,4720.0
20160817,5000.0,5079.0,4931.0,5010.0,2261613,4986.0,5070.0,5310.0,5199.0,5139.0,5079.0,5049.0,5000.0,4900.0,4989.0,4994.0,4864.0,4780.0,4620.0,4770.0,5098.0,4933.0,4882.0,4867.0,4780.0,4812.0,4844.0,4870.0,4848.0,4830.0,4920.0,4952.0,4900.0,4772.0,4994.0,5000.0,4930.0,4900.0,4900.0,4949.0,5090.0,4970.0,5099.0,5150.0,5050.0,5055.0,5040.0,5020.0,5219.0,5210.0,5250.0,5195.0,5229.0,5182.0,5260.0,5190.0,5062.0,5020.0,4800.0,4921.0,4977.0,4673.0,4799.0,4700.0,4749.0,4856.0,4812.0,4750.0,4718.0,4800.0,4769.0,4705.0,4698.0,4666.0,4904.0,4880.0
20160816,4998.0,5081.0,4901.0,4986.0,3900265,5066.0,5000.0,5070.0,5310.0,5199.0,5139.0,5079.0,5049.0,5000.0,4900.0,4989.0,4994.0,4864.0,4780.0,4620.0,4770.0,5098.0,4933.0,4882.0,4867.0,4780.0,4812.0,4844.0,4870.0,4848.0,4830.0,4920.0,4952.0,4900.0,4772.0,4994.0,5000.0,4930.0,4900.0,4900.0,4949.0,5090.0,4970.0,5099.0,5150.0,5050.0,5055.0,5040.0,5020.0,5219.0,5210.0,5250.0,5195.0,5229.0,5182.0,5260.0,5190.0,5062.0,5020.0,4800.0,4921.0,4977.0,4673.0,4799.0,4700.0,4749.0,4856.0,4812.0,4750.0,4718.0,4800.0,4769.0,4705.0,4698.0,4666.0,4904.0
20160815,5198.0,5198.0,4993.0,5066.0,3391864,5214.0,4998.0,5000.0,5070.0,5310.0,5199.0,5139.0,5079.0,5049.0,5000.0,4900.0,4989.0,4994.0,4864.0,4780.0,4620.0,4770.0,5098.0,4933.0,4882.0,4867.0,4780.0,4812.0,4844.0,4870.0,4848.0,4830.0,4920.0,4952.0,4900.0,4772.0,4994.0,5000.0,4930.0,4900.0,4900.0,4949.0,5090.0,4970.0,5099.0,5150.0,5050.0,5055.0,5040.0,5020.0,5219.0,5210.0,5250.0,5195.0,5229.0,5182.0,5260.0,5190.0,5062.0,5020.0,4800.0,4921.0,4977.0,4673.0,4799.0,4700.0,4749.0,4856.0,4812.0,4750.0,4718.0,4800.0,4769.0,4705.0,4698.0,4666.0
20160814,5172.0,5300.0,5113.0,5214.0,6942859,5071.0,5198.0,4998.0,5000.0,5070.0,5310.0,5199.0,5139.0,5079.0,5049.0,5000.0,4900.0,4989.0,4994.0,4864.0,4780.0,4620.0,4770.0,5098.0,4933.0,4882.0,4867.0,4780.0,4812.0,4844.0,4870.0,4848.0,4830.0,4920.0,4952.0,4900.0,4772.0,4994.0,5000.0,4930.0,4900.0,4900.0,4949.0,5090.0,4970.0,5099.0,5150.0,5050.0,5055.0,5040.0,5020.0,5219.0,5210.0,5250.0,5195.0,5229.0,5182.0,5260.0,5190.0,5062.0,5020.0,4800.0,4921.0,4977.0,4673.0,4799.0,4700.0,4749.0,4856.0,4812.0,4750.0,4718.0,4800.0,4769.0,4705.0,4698.0
20160813,5060.0,5200.0,4963.0,5071.0,10207599,5047.0,5172.0,5198.0,4998.0,5000.0,5070.0,5310.0,5199.0,5139.0,5079.0,5049.0,5000.0,4900.0,4989.0,4994.0,4864.0,4780.0,4620.0,4770.0,5098.0,4933.0,4882.0,4867.0,4780.0,4812.0,4844.0,4870.0,4848.0,4830.0,4920.0,4952.0,4900.0,4772.0,4994.0,5000.0,4930.0,4900.0,4900.0,4949.0,5090.0,4970.0,5099.0,5150.0,5050.0,5055.0,5040.0,5020.0,5219.0,5210.0,5250.0,5195.0,5229.0,5182.0,5260.0,5190.0,5062.0,5020.0,4800.0,4921.0,4977.0,4673.0,4799.0,4700.0,4749.0,4856.0,4812.0,4750.0,4718.0,4800.0,4769.0,4705.0
20160810,5220.0,5230.0,4946.0,5047.0,9068628,5205.0,5060.0,5172.0,5198.0,4998.0,5000.0,5070.0,5310.0,5199.0,5139.0,5079.0,5049.0,5000.0,4900.0,4989.0,4994.0,4864.0,4780.0,4620.0,4770.0,5098.0,4933.0,4882.0,4867.0,4780.0,4812.0,4844.0,4870.0,4848.0,4830.0,4920.0,4952.0,4900.0,4772.0,4994.0,5000.0,4930.0,4900.0,4900.0,4949.0,5090.0,4970.0,5099.0,5150.0,5050.0,5055.0,5040.0,5020.0,5219.0,5210.0,5250.0,5195.0,5229.0,5182.0,5260.0,5190.0,5062.0,5020.0,4800.0,4921.0,4977.0,4673.0,4799.0,4700.0,4749.0,4856.0,4812.0,4750.0,4718.0,4800.0,4769.0
20160809,5183.0,5323.0,5170.0,5205.0,13220795,5183.0,5220.0,5060.0,5172.0,5198.0,4998.0,5000.0,5070.0,5310.0,5199.0,5139.0,5079.0,5049.0,5000.0,4900.0,4989.0,4994.0,4864.0,4780.0,4620.0,4770.0,5098.0,4933.0,4882.0,4867.0,4780.0,4812.0,4844.0,4870.0,4848.0,4830.0,4920.0,4952.0,4900.0,4772.0,4994.0,5000.0,4930.0,4900.0,4900.0,4949.0,5090.0,4970.0,5099.0,5150.0,5050.0,5055.0,5040.0,5020.0,5219.0,5210.0,5250.0,5195.0,5229.0,5182.0,5260.0,5190.0,5062.0,5020.0,4800.0,4921.0,4977.0,4673.0,4799.0,4700.0,4749.0,4856.0,4812.0,4750.0,4718.0,4800.0
