<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPEN>,FIRST_1,FIRST_2,FIRST_3,FIRST_4,FIRST_5,FIRST_6,FIRST_7,FIRST_8,FIRST_9,FIRST_10,FIRST_11,FIRST_12,FIRST_13,FIRST_14,FIRST_15,FIRST_16,FIRST_17,FIRST_18,FIRST_19,FIRST_20,FIRST_21,FIRST_22,FIRST_23,FIRST_24,FIRST_25,FIRST_26,FIRST_27,FIRST_28,FIRST_29,FIRST_30,FIRST_31,FIRST_32,FIRST_33,FIRST_34,FIRST_35,FIRST_36,FIRST_37,FIRST_38,FIRST_39,FIRST_40,FIRST_41,FIRST_42,FIRST_43,FIRST_44,FIRST_45,FIRST_46,FIRST_47,FIRST_48,FIRST_49,FIRST_50,FIRST_51,FIRST_52,FIRST_53,FIRST_54,FIRST_55,FIRST_56,FIRST_57,FIRST_58,FIRST_59,FIRST_60,FIRST_61,FIRST_62,FIRST_63,FIRST_64,FIRST_65,FIRST_66,FIRST_67,FIRST_68,FIRST_69,FIRST_70
20160824,2294.0,2333.0,2293.0,2305.0,2587817,2305.0,2296.0,2280.0,2242.0,2224.0,2240.0,2202.0,2211.0,2221.0,2247.0,2277.0,2240.0,2260.0,2240.0,2252.0,2250.0,2211.0,2239.0,2240.0,2210.0,2250.0,2250.0,2210.0,2220.0,2261.0,2278.0,2255.0,2255.0,2232.0,2230.0,2239.0,2212.0,2231.0,2223.0,2229.0,2209.0,2200.0,2200.0,2240.0,2308.0,2300.0,2270.0,2289.0,2260.0,2250.0,2223.0,2215.0,2208.0,2152.0,2155.0,2185.0,2135.0,2100.0,2085.0,2075.0,2111.0,2081.0,2040.0,2050.0,2100.0,2115.0,2075.0,2042.0,2051.0,2144.0,2080.0,2040.0,2039.0,2039.0,2022.0,2019.0
20160823,2292.0,2338.0,2292.0,2305.0,2167959,2310.0,2294.0,2296.0,2280.0,2242.0,2224.0,2240.0,2202.0,2211.0,2221.0,2247.0,2277.0,2240.0,2260.0,2240.0,2252.0,2250.0,2211.0,2239.0,2240.0,2210.0,2250.0,2250.0,2210.0,2220.0,2261.0,2278.0,2255.0,2255.0,2232.0,2230.0,2239.0,2212.0,2231.0,2223.0,2229.0,2209.0,2200.0,2200.0,2240.0,2308.0,2300.0,2270.0,2289.0,2260.0,2250.0,2223.0,2215.0,2208.0,2152.0,2155.0,2185.0,2135.0,2100.0,2085.0,2075.0,2111.0,2081.0,2040.0,2050.0,2100.0,2115.0,2075.0,2042.0,2051.0,2144.0,2080.0,2040.0,2039.0,2039.0,2022.0
20160822,2333.0,2358.0,2300.0,2310.0,6136979,2386.0,2292.0,2294.0,2296.0,2280.0,2242.0,2224.0,2240.0,2202.0,2211.0,2221.0,2247.0,2277.0,2240.0,2260.0,2240.0,2252.0,2250.0,2211.0,2239.0,2240.0,2210.0,2250.0,2250.0,2210.0,2220.0,2261.0,2278.0,2255.0,2255.0,2232.0,2230.0,2239.0,2212.0,2231.0,2223.0,2229.0,2209.0,2200.0,2200.0,2240.0,2308.0,2300.0,2270.0,2289.0,2260.0,2250.0,2223.0,2215.0,2208.0,2152.0,2155.0,2185.0,2135.0,2100.0,2085.0,2075.0,2111.0,2081.0,2040.0,2050.0,2100.0,2115.0,2075.0,2042.0,2051.0,2144.0,2080.0,2040.0,2039.0,2039.0
20160821,2400.0,2454.0,2320.0,2386.0,10063366,2383.0,2333.0,2292.0,2294.0,2296.0,2280.0,2242.0,2224.0,2240.0,2202.0,2211.0,2221.0,2247.0,2277.0,2240.0,2260.0,2240.0,2252.0,2250.0,2211.0,2239.0,2240.0,2210.0,2250.0,2250.0,2210.0,2220.0,2261.0,2278.0,2255.0,2255.0,2232.0,2230.0,2239.0,2212.0,2231.0,2223.0,2229.0,2209.0,2200.0,2200.0,2240.0,2308.0,2300.0,2270.0,2289.0,2260.0,2250.0,2223.0,2215.0,2208.0,2152.0,2155.0,2185.0,2135.0,2100.0,2085.0,2075.0,2111.0,2081.0,2040.0,2050.0,2100.0,2115.0,2075.0,2042.0,2051.0,2144.0,2080.0,2040.0,2039.0
20160820,2296.0,2397.0,2296.0,2383.0,19471341,2283.0,2400.0,2333.0,2292.0,2294.0,2296.0,2280.0,2242.0,2224.0,2240.0,2202.0,2211.0,2221.0,2247.0,2277.0,2240.0,2260.0,2240.0,2252.0,2250.0,2211.0,2239.0,2240.0,2210.0,2250.0,2250.0,2210.0,2220.0,2261.0,2278.0,2255.0,2255.0,2232.0,2230.0,2239.0,2212.0,2231.0,2223.0,2229.0,2209.0,2200.0,2200.0,2240.0,2308.0,2300.0,2270.0,2289.0,2260.0,2250.0,2223.0,2215.0,2208.0,2152.0,2155.0,2185.0,2135.0,2100.0,2085.0,2075.0,2111.0,2081.0,2040.0,2050.0,2100.0,2115.0,2075.0,2042.0,2051.0,2144.0,2080.0,2040.0
20160817,2299.0,2300.0,2261.0,2283.0,3103426,2289.0,2296.0,2400.0,2333.0,2292.0,2294.0,2296.0,2280.0,2242.0,2224.0,2240.0,2202.0,2211.0,2221.0,2247.0,2277.0,2240.0,2260.0,2240.0,2252.0,2250.0,2211.0,2239.0,2240.0,2210.0,2250.0,2250.0,2210.0,2220.0,2261.0,2278.0,2255.0,2255.0,2232.0,2230.0,2239.0,2212.0,2231.0,2223.0,2229.0,2209.0,2200.0,2200.0,2240.0,2308.0,2300.0,2270.0,2289.0,2260.0,2250.0,2223.0,2215.0,2208.0,2152.0,2155.0,2185.0,2135.0,2100.0,2085.0,2075.0,2111.0,2081.0,2040.0,2050.0,2100.0,2115.0,2075.0,2042.0,2051.0,2144.0,2080.0
20160816,2288.0,2302.0,2260.0,2289.0,11877630,2274.0,2299.0,2296.0,2400.0,2333.0,2292.0,2294.0,2296.0,2280.0,2242.0,2224.0,2240.0,2202.0,2211.0,2221.0,2247.0,2277.0,2240.0,2260.0,2240.0,2252.0,2250.0,2211.0,2239.0,2240.0,2210.0,2250.0,2250.0,2210.0,2220.0,2261.0,2278.0,2255.0,2255.0,2232.0,2230.0,2239.0,2212.0,2231.0,2223.0,2229.0,2209.0,2200.0,2200.0,2240.0,2308.0,2300.0,2270.0,2289.0,2260.0,2250.0,2223.0,2215.0,2208.0,2152.0,2155.0,2185.0,2135.0,2100.0,2085.0,2075.0,2111.0,2081.0,2040.0,2050.0,2100.0,2115.0,2075.0,2042.0,2051.0,2144.0
20160815,2300.0,2300.0,2264.0,2274.0,2524113,2301.0,2288.0,2299.0,2296.0,2400.0,2333.0,2292.0,2294.0,2296.0,2280.0,2242.0,2224.0,2240.0,2202.0,2211.0,2221.0,2247.0,2277.0,2240.0,2260.0,2240.0,2252.0,2250.0,2211.0,2239.0,2240.0,2210.0,2250.0,2250.0,2210.0,2220.0,2261.0,2278.0,2255.0,2255.0,2232.0,2230.0,2239.0,2212.0,2231.0,2223.0,2229.0,2209.0,2200.0,2200.0,2240.0,2308.0,2300.0,2270.0,2289.0,2260.0,2250.0,2223.0,2215.0,2208.0,2152.0,2155.0,2185.0,2135.0,2100.0,2085.0,2075.0,2111.0,2081.0,2040.0,2050.0,2100.0,2115.0,2075.0,2042.0,2051.0
20160814,2305.0,2342.0,2282.0,2301.0,4567004,2305.0,2300.0,2288.0,2299.0,2296.0,2400.0,2333.0,2292.0,2294.0,2296.0,2280.0,2242.0,2224.0,2240.0,2202.0,2211.0,2221.0,2247.0,2277.0,2240.0,2260.0,2240.0,2252.0,2250.0,2211.0,2239.0,2240.0,2210.0,2250.0,2250.0,2210.0,2220.0,2261.0,2278.0,2255.0,2255.0,2232.0,2230.0,2239.0,2212.0,2231.0,2223.0,2229.0,2209.0,2200.0,2200.0,2240.0,2308.0,2300.0,2270.0,2289.0,2260.0,2250.0,2223.0,2215.0,2208.0,2152.0,2155.0,2185.0,2135.0,2100.0,2085.0,2075.0,2111.0,2081.0,2040.0,2050.0,2100.0,2115.0,2075.0,2042.0
20160813,2300.0,2334.0,2281.0,2305.0,3092465,2284.0,2305.0,2300.0,2288.0,2299.0,2296.0,2400.0,2333.0,2292.0,2294.0,2296.0,2280.0,2242.0,2224.0,2240.0,2202.0,2211.0,2221.0,2247.0,2277.0,2240.0,2260.0,2240.0,2252.0,2250.0,2211.0,2239.0,2240.0,2210.0,2250.0,2250.0,2210.0,2220.0,2261.0,2278.0,2255.0,2255.0,2232.0,2230.0,2239.0,2212.0,2231.0,2223.0,2229.0,2209.0,2200.0,2200.0,2240.0,2308.0,2300.0,2270.0,2289.0,2260.0,2250.0,2223.0,2215.0,2208.0,2152.0,2155.0,2185.0,2135.0,2100.0,2085.0,2075.0,2111.0,2081.0,2040.0,2050.0,2100.0,2115.0,2075.0
20160810,2309.0,2309.0,2263.0,2284.0,4689626,2296.0,2300.0,2305.0,2300.0,2288.0,2299.0,2296.0,2400.0,2333.0,2292.0,2294.0,2296.0,2280.0,2242.0,2224.0,2240.0,2202.0,2211.0,2221.0,2247.0,2277.0,2240.0,2260.0,2240.0,2252.0,2250.0,2211.0,2239.0,2240.0,2210.0,2250.0,2250.0,2210.0,2220.0,2261.0,2278.0,2255.0,2255.0,2232.0,2230.0,2239.0,2212.0,2231.0,2223.0,2229.0,2209.0,2200.0,2200.0,2240.0,2308.0,2300.0,2270.0,2289.0,2260.0,2250.0,2223.0,2215.0,2208.0,2152.0,2155.0,2185.0,2135.0,2100.0,2085.0,2075.0,2111.0,2081.0,2040.0,2050.0,2100.0,2115.0
20160809,2300.0,2325.0,2284.0,2296.0,7044419,2287.0,2309.0,2300.0,2305.0,2300.0,2288.0,2299.0,2296.0,2400.0,2333.0,2292.0,2294.0,2296.0,2280.0,2242.0,2224.0,2240.0,2202.0,2211.0,2221.0,2247.0,2277.0,2240.0,2260.0,2240.0,2252.0,2250.0,2211.0,2239.0,2240.0,2210.0,2250.0,2250.0,2210.0,2220.0,2261.0,2278.0,2255.0,2255.0,2232.0,2230.0,2239.0,2212.0,2231.0,2223.0,2229.0,2209.0,2200.0,2200.0,2240.0,2308.0,2300.0,2270.0,2289.0,2260.0,2250.0,2223.0,2215.0,2208.0,2152.0,2155.0,2185.0,2135.0,2100.0,2085.0,2075.0,2111.0,2081.0,2040.0,2050.0,2100.0
20160808,2300.0,2310.0,2271.0,2287.0,4843169,2303.0,2300.0,2309.0,2300.0,2305.0,2300.0,2288.0,2299.0,2296.0,2400.0,2333.0,2292.0,2294.0,2296.0,2280.0,2242.0,2224.0,2240.0,2202.0,2211.0,2221.0,2247.0,2277.0,2240.0,2260.0,2240.0,2252.0,2250.0,2211.0,2239.0,2240.0,2210.0,2250.0,2250.0,2210.0,2220.0,2261.0,2278.0,2255.0,2255.0,2232.0,2230.0,2239.0,2212.0,2231.0,2223.0,2229.0,2209.0,2200.0,2200.0,2240.0,2308.0,2300.0,2270.0,2289.0,2260.0,2250.0,2223.0,2215.0,2208.0,2152.0,2155.0,2185.0,2135.0,2100.0,2085.0,2075.0,2111.0,2081.0,2040.0,2050.0
20160807,2310.0,2348.0,2285.0,2303.0,7020571,2317.0,2300.0,2300.0,2309.0,2300.0,2305.0,2300.0,2288.0,2299.0,2296.0,2400.0,2333.0,2292.0,2294.0,2296.0,2280.0,2242.0,2224.0,2240.0,2202.0,2211.0,2221.0,2247.0,2277.0,2240.0,2260.0,2240.0,2252.0,2250.0,2211.0,2239.0,2240.0,2210.0,2250.0,2250.0,2210.0,2220.0,2261.0,2278.0,2255.0,2255.0,2232.0,2230.0,2239.0,2212.0,2231.0,2223.0,2229.0,2209.0,2200.0,2200.0,2240.0,2308.0,2300.0,2270.0,2289.0,2260.0,2250.0,2223.0,2215.0,2208.0,2152.0,2155.0,2185.0,2135.0,2100.0,2085.0,2075.0,2111.0,2081.0,2040.0
20160806,2350.0,2365.0,2280.0,2317.0,6725200,2361.0,2310.0,2300.0,2300.0,2309.0,2300.0,2305.0,2300.0,2288.0,2299.0,2296.0,2400.0,2333.0,2292.0,2294.0,2296.0,2280.0,2242.0,2224.0,2240.0,2202.0,2211.0,2221.0,2247.0,2277.0,2240.0,2260.0,2240.0,2252.0,2250.0,2211.0,2239.0,2240.0,2210.0,2250.0,2250.0,2210.0,2220.0,2261.0,2278.0,2255.0,2255.0,2232.0,2230.0,2239.0,2212.0,2231.0,2223.0,2229.0,2209.0,2200.0,2200.0,2240.0,2308.0,2300.0,2270.0,2289.0,2260.0,2250.0,2223.0,2215.0,2208.0,2152.0,2155.0,2185.0,2135.0,2100.0,2085.0,2075.0,2111.0,2081.0
