<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPEN>,FIRST_1,FIRST_2,FIRST_3,FIRST_4,FIRST_5,FIRST_6,FIRST_7,FIRST_8,FIRST_9,FIRST_10,FIRST_11,FIRST_12,FIRST_13,FIRST_14,FIRST_15,FIRST_16,FIRST_17,FIRST_18,FIRST_19,FIRST_20,FIRST_21,FIRST_22,FIRST_23,FIRST_24,FIRST_25,FIRST_26,FIRST_27,FIRST_28,FIRST_29,FIRST_30,FIRST_31,FIRST_32,FIRST_33,FIRST_34,FIRST_35,FIRST_36,FIRST_37,FIRST_38,FIRST_39,FIRST_40,FIRST_41,FIRST_42,FIRST_43,FIRST_44,FIRST_45,FIRST_46,FIRST_47,FIRST_48,FIRST_49,FIRST_50,FIRST_51,FIRST_52,FIRST_53,FIRST_54,FIRST_55,FIRST_56,FIRST_57,FIRST_58,FIRST_59,FIRST_60,FIRST_61,FIRST_62,FIRST_63,FIRST_64,FIRST_65,FIRST_66,FIRST_67,FIRST_68,FIRST_69,FIRST_70
20160814,1050.0,1058.0,1025.0,1040.0,35821421,1042.0,1039.0,1011.0,1024.0,1015.0,1015.0,1040.0,1048.0,1025.0,1037.0,1021.0,1002.0,1017.0,1000.0,1000.0,985.0,999.0,990.0,1010.0,1000.0,996.0,986.0,995.0,981.0,976.0,979.0,995.0,999.0,1042.0,1019.0,1011.0,1009.0,1040.0,1019.0,1020.0,1108.0,1094.0,1160.0,1137.0,1120.0,1170.0,1147.0,1100.0,1127.0,1101.0,1101.0,1097.0,1090.0,1075.0,1085.0,1077.0,1090.0,1070.0,1061.0,1056.0,1058.0,1030.0,1040.0,1102.0,1046.0,1049.0,1030.0,1025.0,1050.0,1021.0,1033.0,1035.0,1030.0,1018.0,1025.0,1012.0
20160813,1027.0,1051.0,1027.0,1042.0,28311176,1032.0,1050.0,1039.0,1011.0,1024.0,1015.0,1015.0,1040.0,1048.0,1025.0,1037.0,1021.0,1002.0,1017.0,1000.0,1000.0,985.0,999.0,990.0,1010.0,1000.0,996.0,986.0,995.0,981.0,976.0,979.0,995.0,999.0,1042.0,1019.0,1011.0,1009.0,1040.0,1019.0,1020.0,1108.0,1094.0,1160.0,1137.0,1120.0,1170.0,1147.0,1100.0,1127.0,1101.0,1101.0,1097.0,1090.0,1075.0,1085.0,1077.0,1090.0,1070.0,1061.0,1056.0,1058.0,1030.0,1040.0,1102.0,1046.0,1049.0,1030.0,1025.0,1050.0,1021.0,1033.0,1035.0,1030.0,1018.0,1025.0
20160810,1017.0,1042.0,1017.0,1032.0,39426027,1015.0,1027.0,1050.0,1039.0,1011.0,1024.0,1015.0,1015.0,1040.0,1048.0,1025.0,1037.0,1021.0,1002.0,1017.0,1000.0,1000.0,985.0,999.0,990.0,1010.0,1000.0,996.0,986.0,995.0,981.0,976.0,979.0,995.0,999.0,1042.0,1019.0,1011.0,1009.0,1040.0,1019.0,1020.0,1108.0,1094.0,1160.0,1137.0,1120.0,1170.0,1147.0,1100.0,1127.0,1101.0,1101.0,1097.0,1090.0,1075.0,1085.0,1077.0,1090.0,1070.0,1061.0,1056.0,1058.0,1030.0,1040.0,1102.0,1046.0,1049.0,1030.0,1025.0,1050.0,1021.0,1033.0,1035.0,1030.0,1018.0
20160809,1021.0,1030.0,1005.0,1015.0,37012271,1024.0,1017.0,1027.0,1050.0,1039.0,1011.0,1024.0,1015.0,1015.0,1040.0,1048.0,1025.0,1037.0,1021.0,1002.0,1017.0,1000.0,1000.0,985.0,999.0,990.0,1010.0,1000.0,996.0,986.0,995.0,981.0,976.0,979.0,995.0,999.0,1042.0,1019.0,1011.0,1009.0,1040.0,1019.0,1020.0,1108.0,1094.0,1160.0,1137.0,1120.0,1170.0,1147.0,1100.0,1127.0,1101.0,1101.0,1097.0,1090.0,1075.0,1085.0,1077.0,1090.0,1070.0,1061.0,1056.0,1058.0,1030.0,1040.0,1102.0,1046.0,1049.0,1030.0,1025.0,1050.0,1021.0,1033.0,1035.0,1030.0
20160808,1032.0,1037.0,1010.0,1024.0,27697330,1027.0,1021.0,1017.0,1027.0,1050.0,1039.0,1011.0,1024.0,1015.0,1015.0,1040.0,1048.0,1025.0,1037.0,1021.0,1002.0,1017.0,1000.0,1000.0,985.0,999.0,990.0,1010.0,1000.0,996.0,986.0,995.0,981.0,976.0,979.0,995.0,999.0,1042.0,1019.0,1011.0,1009.0,1040.0,1019.0,1020.0,1108.0,1094.0,1160.0,1137.0,1120.0,1170.0,1147.0,1100.0,1127.0,1101.0,1101.0,1097.0,1090.0,1075.0,1085.0,1077.0,1090.0,1070.0,1061.0,1056.0,1058.0,1030.0,1040.0,1102.0,1046.0,1049.0,1030.0,1025.0,1050.0,1021.0,1033.0,1035.0
20160807,1035.0,1048.0,1010.0,1027.0,54313288,1027.0,1032.0,1021.0,1017.0,1027.0,1050.0,1039.0,1011.0,1024.0,1015.0,1015.0,1040.0,1048.0,1025.0,1037.0,1021.0,1002.0,1017.0,1000.0,1000.0,985.0,999.0,990.0,1010.0,1000.0,996.0,986.0,995.0,981.0,976.0,979.0,995.0,999.0,1042.0,1019.0,1011.0,1009.0,1040.0,1019.0,1020.0,1108.0,1094.0,1160.0,1137.0,1120.0,1170.0,1147.0,1100.0,1127.0,1101.0,1101.0,1097.0,1090.0,1075.0,1085.0,1077.0,1090.0,1070.0,1061.0,1056.0,1058.0,1030.0,1040.0,1102.0,1046.0,1049.0,1030.0,1025.0,1050.0,1021.0,1033.0
20160806,1040.0,1054.0,1016.0,1027.0,48131576,1045.0,1035.0,1032.0,1021.0,1017.0,1027.0,1050.0,1039.0,1011.0,1024.0,1015.0,1015.0,1040.0,1048.0,1025.0,1037.0,1021.0,1002.0,1017.0,1000.0,1000.0,985.0,999.0,990.0,1010.0,1000.0,996.0,986.0,995.0,981.0,976.0,979.0,995.0,999.0,1042.0,1019.0,1011.0,1009.0,1040.0,1019.0,1020.0,1108.0,1094.0,1160.0,1137.0,1120.0,1170.0,1147.0,1100.0,1127.0,1101.0,1101.0,1097.0,1090.0,1075.0,1085.0,1077.0,1090.0,1070.0,1061.0,1056.0,1058.0,1030.0,1040.0,1102.0,1046.0,1049.0,1030.0,1025.0,1050.0,1021.0
20160803,1050.0,1080.0,1028.0,1045.0,27359060,1038.0,1040.0,1035.0,1032.0,1021.0,1017.0,1027.0,1050.0,1039.0,1011.0,1024.0,1015.0,1015.0,1040.0,1048.0,1025.0,1037.0,1021.0,1002.0,1017.0,1000.0,1000.0,985.0,999.0,990.0,1010.0,1000.0,996.0,986.0,995.0,981.0,976.0,979.0,995.0,999.0,1042.0,1019.0,1011.0,1009.0,1040.0,1019.0,1020.0,1108.0,1094.0,1160.0,1137.0,1120.0,1170.0,1147.0,1100.0,1127.0,1101.0,1101.0,1097.0,1090.0,1075.0,1085.0,1077.0,1090.0,1070.0,1061.0,1056.0,1058.0,1030.0,1040.0,1102.0,1046.0,1049.0,1030.0,1025.0,1050.0
20160802,1050.0,1060.0,1020.0,1038.0,63568205,1051.0,1050.0,1040.0,1035.0,1032.0,1021.0,1017.0,1027.0,1050.0,1039.0,1011.0,1024.0,1015.0,1015.0,1040.0,1048.0,1025.0,1037.0,1021.0,1002.0,1017.0,1000.0,1000.0,985.0,999.0,990.0,1010.0,1000.0,996.0,986.0,995.0,981.0,976.0,979.0,995.0,999.0,1042.0,1019.0,1011.0,1009.0,1040.0,1019.0,1020.0,1108.0,1094.0,1160.0,1137.0,1120.0,1170.0,1147.0,1100.0,1127.0,1101.0,1101.0,1097.0,1090.0,1075.0,1085.0,1077.0,1090.0,1070.0,1061.0,1056.0,1058.0,1030.0,1040.0,1102.0,1046.0,1049.0,1030.0,1025.0
20160801,1071.0,1073.0,1041.0,1051.0,61062988,1095.0,1050.0,1050.0,1040.0,1035.0,1032.0,1021.0,1017.0,1027.0,1050.0,1039.0,1011.0,1024.0,1015.0,1015.0,1040.0,1048.0,1025.0,1037.0,1021.0,1002.0,1017.0,1000.0,1000.0,985.0,999.0,990.0,1010.0,1000.0,996.0,986.0,995.0,981.0,976.0,979.0,995.0,999.0,1042.0,1019.0,1011.0,1009.0,1040.0,1019.0,1020.0,1108.0,1094.0,1160.0,1137.0,1120.0,1170.0,1147.0,1100.0,1127.0,1101.0,1101.0,1097.0,1090.0,1075.0,1085.0,1077.0,1090.0,1070.0,1061.0,1056.0,1058.0,1030.0,1040.0,1102.0,1046.0,1049.0,1030.0
