<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPEN>,MA_VALUE,EMA_VALUE,Returns,<CLOSE>_lag1,<CLOSE>_lag2,<CLOSE>_lag3,<CLOSE>_lag4,<CLOSE>_lag5,<CLOSE>_lag6,<CLOSE>_lag7,<OPEN>_lag1,<OPEN>_lag2,<OPEN>_lag3,<OPEN>_lag4,<OPEN>_lag5,<OPEN>_lag6,<OPEN>_lag7,<VOL>_lag1,<VOL>_lag2,<VOL>_lag3,<VOL>_lag4,<VOL>_lag5,<VOL>_lag6,<VOL>_lag7,<HIGH>_lag1,<HIGH>_lag2,<HIGH>_lag3,<HIGH>_lag4,<HIGH>_lag5,<HIGH>_lag6,<HIGH>_lag7,<LOW>_lag1,<LOW>_lag2,<LOW>_lag3,<LOW>_lag4,<LOW>_lag5,<LOW>_lag6,<LOW>_lag7,MA_VALUE_lag1,MA_VALUE_lag2,MA_VALUE_lag3,MA_VALUE_lag4,MA_VALUE_lag5,MA_VALUE_lag6,MA_VALUE_lag7,EMA_VALUE_lag1,EMA_VALUE_lag2,EMA_VALUE_lag3,EMA_VALUE_lag4,EMA_VALUE_lag5,EMA_VALUE_lag6,EMA_VALUE_lag7,Returns_lag1,Returns_lag2,Returns_lag3,Returns_lag4,Returns_lag5,Returns_lag6,Returns_lag7,Estimated_Action_lag1,Estimated_Action_lag2,Estimated_Action_lag3,Estimated_Action_lag4,Estimated_Action_lag5,Estimated_Action_lag6,Estimated_Action_lag7
2016-11-19,3118.0,3139.0,3075.0,3101.0,21290196801,6865186,3076.0,35583794396.0,34004620583.60605,0.008127438231469442,3075.0,3038.0,3039.0,2987.0,2983.0,2894.0,2755.0,3101.0,3075.0,3038.0,3039.0,2987.0,2983.0,2894.0,5821793.0,12354609.0,6455549.0,15599427.0,12287150.0,24013025.0,30716044.0,3127.0,3100.0,3078.0,3030.0,3035.0,2972.0,2828.0,3059.0,3026.0,3028.0,2952.0,2953.0,2856.0,2750.0,44632592772.14286,51214723068.28571,51559871568.14286,58820104482.0,71591796289.28572,74689577037.71428,70540666639.42857,38242761844.47473,45022646257.96631,47519676808.62174,56820984255.16232,60230398462.8831,68087797427.5108,67618728873.014404,-0.00838439213157046,-0.012032520325203253,0.0003291639236339697,-0.017110891740704178,-0.0013391362571141614,-0.029835735836406304,-0.04803040774015204,0,0,0,0,0,0,0
2016-11-16,3098.0,3119.0,3060.0,3076.0,32504681786,10566784,3124.0,30299462781.0,33629635884.204536,-0.015364916773367477,3101.0,3075.0,3038.0,3039.0,2987.0,2983.0,2894.0,3076.0,3101.0,3075.0,3038.0,3039.0,2987.0,2983.0,6865186.0,5821793.0,12354609.0,6455549.0,15599427.0,12287150.0,24013025.0,3139.0,3127.0,3100.0,3078.0,3030.0,3035.0,2972.0,3075.0,3059.0,3026.0,3028.0,2952.0,2953.0,2856.0,35583794396.0,44632592772.14286,51214723068.28571,51559871568.14286,58820104482.0,71591796289.28572,74689577037.71428,34004620583.60605,38242761844.47473,45022646257.96631,47519676808.62174,56820984255.16232,60230398462.8831,68087797427.5108,0.008127438231469442,-0.00838439213157046,-0.012032520325203253,0.0003291639236339697,-0.017110891740704178,-0.0013391362571141614,-0.029835735836406304,0,0,0,0,0,0,0
2016-11-15,3186.0,3230.0,3040.0,3124.0,35715066249,11434229,3181.0,30164729163.857143,34150993475.403404,-0.017918893429739076,3076.0,3101.0,3075.0,3038.0,3039.0,2987.0,2983.0,3124.0,3076.0,3101.0,3075.0,3038.0,3039.0,2987.0,10566784.0,6865186.0,5821793.0,12354609.0,6455549.0,15599427.0,12287150.0,3119.0,3139.0,3127.0,3100.0,3078.0,3030.0,3035.0,3060.0,3075.0,3059.0,3026.0,3028.0,2952.0,2953.0,30299462781.0,35583794396.0,44632592772.14286,51214723068.28571,51559871568.14286,58820104482.0,71591796289.28572,33629635884.204536,34004620583.60605,38242761844.47473,45022646257.96631,47519676808.62174,56820984255.16232,60230398462.8831,-0.015364916773367477,0.008127438231469442,-0.00838439213157046,-0.012032520325203253,0.0003291639236339697,-0.017110891740704178,-0.0013391362571141614,0,0,0,0,0,0,0
2016-11-14,3120.0,3239.0,3120.0,3181.0,45667744744,14357155,3115.0,30032586751.285713,37030181292.55255,0.02118780096308186,3124.0,3076.0,3101.0,3075.0,3038.0,3039.0,2987.0,3181.0,3124.0,3076.0,3101.0,3075.0,3038.0,3039.0,11434229.0,10566784.0,6865186.0,5821793.0,12354609.0,6455549.0,15599427.0,3230.0,3119.0,3139.0,3127.0,3100.0,3078.0,3030.0,3040.0,3060.0,3075.0,3059.0,3026.0,3028.0,2952.0,30164729163.857143,30299462781.0,35583794396.0,44632592772.14286,51214723068.28571,51559871568.14286,58820104482.0,34150993475.403404,33629635884.204536,34004620583.60605,38242761844.47473,45022646257.96631,47519676808.62174,56820984255.16232,-0.017918893429739076,-0.015364916773367477,0.008127438231469442,-0.00838439213157046,-0.012032520325203253,0.0003291639236339697,-0.017110891740704178,0,0,0,0,0,0,0
2016-11-13,3101.0,3155.0,3090.0,3115.0,33637655649,10798448,3106.0,32035715491.285713,36182049881.66441,0.0028976175144880875,3181.0,3124.0,3076.0,3101.0,3075.0,3038.0,3039.0,3115.0,3181.0,3124.0,3076.0,3101.0,3075.0,3038.0,14357155.0,11434229.0,10566784.0,6865186.0,5821793.0,12354609.0,6455549.0,3239.0,3230.0,3119.0,3139.0,3127.0,3100.0,3078.0,3120.0,3040.0,3060.0,3075.0,3059.0,3026.0,3028.0,30032586751.285713,30164729163.857143,30299462781.0,35583794396.0,44632592772.14286,51214723068.28571,51559871568.14286,37030181292.55255,34150993475.403404,33629635884.204536,34004620583.60605,38242761844.47473,45022646257.96631,47519676808.62174,0.02118780096308186,-0.017918893429739076,-0.015364916773367477,0.008127438231469442,-0.00838439213157046,-0.012032520325203253,0.0003291639236339697,0,0,0,0,0,0,0
2016-11-12,3200.0,3240.0,3070.0,3106.0,123999733482,39926960,3231.0,44388312473.57143,58136470781.74831,-0.0386877127824203,3115.0,3181.0,3124.0,3076.0,3101.0,3075.0,3038.0,3106.0,3115.0,3181.0,3124.0,3076.0,3101.0,3075.0,10798448.0,14357155.0,11434229.0,10566784.0,6865186.0,5821793.0,12354609.0,3155.0,3239.0,3230.0,3119.0,3139.0,3127.0,3100.0,3090.0,3120.0,3040.0,3060.0,3075.0,3059.0,3026.0,32035715491.285713,30032586751.285713,30164729163.857143,30299462781.0,35583794396.0,44632592772.14286,51214723068.28571,36182049881.66441,37030181292.55255,34150993475.403404,33629635884.204536,34004620583.60605,38242761844.47473,45022646257.96631,0.0028976175144880875,0.02118780096308186,-0.017918893429739076,-0.015364916773367477,0.008127438231469442,-0.00838439213157046,-0.012032520325203253,0,0,0,0,0,0,0
2016-11-09,3231.0,3246.0,3231.0,3231.0,167472892166,51831253,3401.0,65755424411.0,85470576127.81123,-0.049985298441634816,3106.0,3115.0,3181.0,3124.0,3076.0,3101.0,3075.0,3231.0,3106.0,3115.0,3181.0,3124.0,3076.0,3101.0,39926960.0,10798448.0,14357155.0,11434229.0,10566784.0,6865186.0,5821793.0,3240.0,3155.0,3239.0,3230.0,3119.0,3139.0,3127.0,3070.0,3090.0,3120.0,3040.0,3060.0,3075.0,3059.0,44388312473.57143,32035715491.285713,30032586751.285713,30164729163.857143,30299462781.0,35583794396.0,44632592772.14286,58136470781.74831,36182049881.66441,37030181292.55255,34150993475.403404,33629635884.204536,34004620583.60605,38242761844.47473,-0.0386877127824203,0.0028976175144880875,0.02118780096308186,-0.017918893429739076,-0.015364916773367477,0.008127438231469442,-0.00838439213157046,0,0,0,0,0,0,0
2016-11-08,3418.0,3450.0,3361.0,3401.0,50530618172,14858947,3338.0,69932627464.0,76735586638.85843,0.018873576992210903,3231.0,3106.0,3115.0,3181.0,3124.0,3076.0,3101.0,3401.0,3231.0,3106.0,3115.0,3181.0,3124.0,3076.0,51831253.0,39926960.0,10798448.0,14357155.0,11434229.0,10566784.0,6865186.0,3246.0,3240.0,3155.0,3239.0,3230.0,3119.0,3139.0,3231.0,3070.0,3090.0,3120.0,3040.0,3060.0,3075.0,65755424411.0,44388312473.57143,32035715491.285713,30032586751.285713,30164729163.857143,30299462781.0,35583794396.0,85470576127.81123,58136470781.74831,36182049881.66441,37030181292.55255,34150993475.403404,33629635884.204536,34004620583.60605,-0.049985298441634816,-0.0386877127824203,0.0028976175144880875,0.02118780096308186,-0.017918893429739076,-0.015364916773367477,0.008127438231469442,0,0,0,0,0,0,0
2016-11-07,3210.0,3360.0,3210.0,3338.0,68072971187,20393192,3200.0,75013811664.14285,74569932775.89383,0.043125,3401.0,3231.0,3106.0,3115.0,3181.0,3124.0,3076.0,3338.0,3401.0,3231.0,3106.0,3115.0,3181.0,3124.0,14858947.0,51831253.0,39926960.0,10798448.0,14357155.0,11434229.0,10566784.0,3450.0,3246.0,3240.0,3155.0,3239.0,3230.0,3119.0,3361.0,3231.0,3070.0,3090.0,3120.0,3040.0,3060.0,69932627464.0,65755424411.0,44388312473.57143,32035715491.285713,30032586751.285713,30164729163.857143,30299462781.0,76735586638.85843,85470576127.81123,58136470781.74831,36182049881.66441,37030181292.55255,34150993475.403404,33629635884.204536,0.018873576992210903,-0.049985298441634816,-0.0386877127824203,0.0028976175144880875,0.02118780096308186,-0.017918893429739076,-0.015364916773367477,0,0,0,0,0,0,0
2016-11-06,3180.0,3245.0,3155.0,3200.0,20953134861,6548347,3211.0,72904964323.0,61165733297.17037,-0.003425724073497353,3338.0,3401.0,3231.0,3106.0,3115.0,3181.0,3124.0,3200.0,3338.0,3401.0,3231.0,3106.0,3115.0,3181.0,20393192.0,14858947.0,51831253.0,39926960.0,10798448.0,14357155.0,11434229.0,3360.0,3450.0,3246.0,3240.0,3155.0,3239.0,3230.0,3210.0,3361.0,3231.0,3070.0,3090.0,3120.0,3040.0,75013811664.14285,69932627464.0,65755424411.0,44388312473.57143,32035715491.285713,30032586751.285713,30164729163.857143,74569932775.89383,76735586638.85843,85470576127.81123,58136470781.74831,36182049881.66441,37030181292.55255,34150993475.403404,0.043125,0.018873576992210903,-0.049985298441634816,-0.0386877127824203,0.0028976175144880875,0.02118780096308186,-0.017918893429739076,0,0,0,0,0,0,0
